"Accessories","Atlanta","Name","started","Joined","olchevy","Bill","For","See","","Messages","trade","information","file_name","Description","FT","Price","mags"
"Ammunition","","","sledgehammer","Feb 8, 2011","Tracker"," No","",":  .338     Willing to Ship:  No","14","173","2015","","7BDF8F4FE5176FF1B61FCBC115FC1DE2EE6B6AD9C74A12CDD9CFA72915F6D8F4.html","Two boxes available. One cartridge shot from one box. I no longer have the Marlin .338 Express and would like someone else to enjoy this ammo. Two boxes of twenty minus one round. Well taken care of, been stored in a military container in my man cave. Check the price online, this is a sweet deal. $20 for both boxes. Thanks. -Cj","","",":  Located between Gainesville and Cumming off Hwy 369(Browns Bridge Road)     Zip Code:  30506"
"Ammunition","","","brenso1","Jan 15, 2013","Survivalist"," No","",":  7.62x39     Willing to Ship:  No","28","340","2015","","861146AFFF7C0F7FDDA435FB93F96D8DD9A87430D54F1E7535F762A65FF78B75.html","I have up for sale approx 525 rounds of non-corrosive, berdan primed 7.62x39 ammo.    443 rounds are Wolf 122 Gr Steel Case Hollow Points  82 Rounds are TulAmmo 122Gr Steel Case FMJ  Most are still in the boxes, but I loaded the mags up with the loose ammo.    I also am including 6 steel AK mags.    Willing to meet within 20 min of Kennesaw.    Thanks for looking.","","",":  Kennesaw     Zip Code:  30152"
"Rifles","","","TROPER","Jun 29, 2010","Outdoorsman"," No","",":  5.56 /.223     Willing to Ship:  No","6","26","2015","   Last edited:  Nov 14, 2015 at 10:57 AM","880B5D91045DE833896DE82B4096EF2F07576040EE4BF66ACC1BC7B29DF06121.html","Head Down PV15 built for me by Head Down in Feb. I have only fired @20 rounds to sight in the NEW Vortex. I have added the screen shot from their website with specs. This gun also has a 15 key mod rail and custom trigger. This is not your average low end mass produced AR. It retails for $1600 without the new Vortex Spark II, key mod rail and custom trigger. $1250 as is or $1000 without the Vortex. Comes with HEAD Down case and one mag. Cash only no trades. Call or text Tony 678-836-9574","","",":  Dallas     Zip Code:  30157"
"Rifles","Page 2 | Rifles","","TommyT","Today","New to The Trader!","","","","0","4","2015","","8A4FE7F17B3BE49414632B3E3998DF4B6DD2D601A9933A8E7EE6D155B6D9BA20.html","","IO INC Sporter Wood Furniture AK47 7.62x39","",""
"Shotguns","Shotguns","winchester ranger model 120","james00","Jan 5, 2012","Survivalist"," No","???????????????",":  12 gauge     Willing to Ship:  No","9","324","2015","","8E72B09298FA156E7F327D554713CE490A2A5A1F46D1FF93AC2360F8F407D495.html","winchester ranger model 120 12 gauge pump with a 24 inch barrel with rifle sights. i also have a 26 inch barrel that takes screw in chokes","winchester ranger model 120","300",":  Dahlonega ga     Zip Code:  30533"
"Rifles","Rifles","Savage 14 American Classic .308 stainless","k_c_bass","Jun 17, 2013","Outdoorsman"," No","Other Rifles, nice shotguns, ect.",":  .308     Willing to Ship:  Yes","1","23","2015","","9167319F91EDA83DDB2DEDC3545220F309E992600C31101C282D4C08FB5B5980.html","I am wanting to sell or trade my savage American Classic. I am interested in a wide variety of guns, but would prefer other nice rifles in .308 or nice lever guns in rifle or pistol calibers. Ruger skeleton stocks, ruger mini 30, Remington mountain rifles or Winchester extreme weather are at the top of my list. I will also consider shotguns of equal value. Sale price for the gun is 600 without the scope, 775 with. PM call or text @ 912-288-0444","Savage 14 American Classic .308 stainless","600",":  Nahunta     Zip Code:  31553"
"Handguns","Handguns","Smith and Wesson MP 9c","Taz0327","May 15, 2013","Frontiersman"," No","Please see ad",":  9mm     Willing to Ship:  No","79","691","2015","   Last edited:  Nov 13, 2015 at 9:22 PM","9542A393487900172133F0F20F3D0E03BA07CC9019118132E9D069576014C773.html","Smith and Wesson MP 9c with everything it should have new. Two 12 round mags, three back straps, lock, docs, box. Just a few rounds fired. Way less than a box down the pipe. Test Fire date was 10/21/14...........Please see pics.......    Would love to trade for an MP 9c with Thumb Safety or a Full size MP 9 with a Thumb safety. Not really looking for anything else but if you think you have something I might want then by all means try me. If Im not interested Ill just say No Thanks     Sell for $415 cash  [MSRP is $569 Academy gets $479 plus tax and paper work]    Face to Face in Loganville, Youth, Walton County    Contact through the ODT PM system or    Text or Call    678-414-0327","Smith and Wesson MP 9c","$415",":  Loganville / Youth     Zip Code:  30052"
"Accessories","","","georgiaborn","Oct 15, 2012","Tracker"," No","",":  5.56     Willing to Ship:  No","25","214","2015","","9F08F66016FBEBAF616408D5954511D9B28CCD04B14C4D6D6D53AF9C7D433F34.html","Have up for sale a pv9 upper from head down products 16in 1/7 twist melonite barrel. Bcg and charging handle included","","",":  Dallas     Zip Code:  30157"
"Handguns","Handguns","Auto Ordnance .45 ACP 1911","Stantheman12","Jan 28, 2014","Outdoorsman"," No","",":  .45 acp     Willing to Ship:  No","7","37","2015","","A1816A87F876C7DA8B46B7FC3C0508455B6AC031DDC7EFE71C2751F088385D65.html","auto ordnance .45 acp 1911 frame.these guns are made by Kahr Arms co and very well made for a cheaper priced .45.i have owned for a short time and have only shot it 100 times or less.it shows a little holster wear from carry use.it also has a a little place from the holster you can see in the pictures.i have the box, manual,2 clips and the original polmer walnut colored grips.i changed them to the black shown in the pictures.would consider a trade for decent .357 or .44 magnum","Auto Ordnance .45 ACP 1911","400",":  lagrange     Zip Code:  30241"
"Shotguns","","","biker13","May 19, 2010","The Hen that laid the Golden Legos"," No","",":  12 gauge     Willing to Ship:  No","450","35,608","2015","","A3123B8BD111EC5C4A09E6F6B63F1C5863040E2249C55ACED2EF978724A1138B.html","Springfield 12 gauge pump.28 full .$170.Pick up. Rust place on barrel. Pm for info","","",":  Northside     Zip Code:  30360"
"Handguns","Handguns","Sig Sauer P229 SAS","CCSO","Oct 30, 2011","Frontiersman"," No","What do you have?",":  .40     Willing to Ship:  No","103","787","2015","","A467525B39A3B1FE423A0BB181DE1F7AA3A1AA465EE8422E5F7306CE261C4EBE.html","For sale or trade is a beautiful Sig Sauer P229 SAS DAK two tone. It has trijicon night sights, 4x 12 round mags (two blue, two phosphate), box and docs. Willing to drive reasonable distances.","Sig Sauer P229 SAS","$650",":  Dallas     Zip Code:  30157"
"Shotguns","","","Kojay","Mar 2, 2015","Hunter"," No","",":  12 ga     Willing to Ship:  No","25","132","2015","   Last edited:  Nov 18, 2015 at 8:38 PM","A64F20DE00B7EC85476A0887333FCA5787790761A3B11CFE1C7EA871F558C442.html","","","",":  Marietta/Kennesaw     Zip Code:  30066"
"Handguns","Handguns","Ruger p95","Frostborn","Oct 25, 2014","Outdoorsman"," No","Small 380 bersa, taurus, etc.",":  9mm     Willing to Ship:  No","3","14","2015","","A7971EA8145EA1FA0D82063956AB4E325DA717AAEDC128FF1743930365E2A377.html","Looking to trade in my reliable tank for something a little easier to carry. The old girl comes with 2 10 and 1 15 round ruger mag, as well as a 15 round pro mag thats worked well for me.","Ruger p95","$300.00",":  Atlanta     Zip Code:  30324"
"Handguns","","","jimj1954","Aug 7, 2010","Frontiersman"," No","450",":  9mm     Willing to Ship:  No","22","736","2015","   Last edited:  Nov 14, 2015 at 2:25 PM","AF27F0867D79D1A594447C3CBED25A52FDF5C4CCF35779B969D5CB6C2DFCB59C.html","Beautiful duo tone pt92 décocker-very sweet gun that you dont see everyday-like new condition-looking for 4 357-can match ammo up to about 200 rounds-close to Douglasville-3 17 round mags","","",":  Douglasville     Zip Code:  30134"
"Accessories","Accessories","Chiappa .22lr Upper and Mag","davidmu39","Dec 29, 2012","ODT Junkie!"," No","$75.00 See Ad",":  .22lr     Willing to Ship:  No","59","1,266","2015","","B18B212453B188F75DE0CF94E8617B02FD856A1E02CD8ABBCD76C3AF29BC4298.html","","Chiappa .22lr Upper and Mag","$75.00",":  Rockmart/Paulding County     Zip Code:  30153"
"Handguns","","","Ceman","Jun 27, 2010","ODT Junkie!"," No","",":  45 acp     Willing to Ship:  No","52","1,265","2015","","B2A74F9CD12E88903EA1AFD487641668AE98814ADA47C651EE15E5C7E529F1D5.html","","","",":  West Cobb     Zip Code:  30106"
"Accessories","Accessories","Glock 27 Magazine","JHW","Aug 2, 2014","The Hen that laid the Golden Legos"," No","full size glock mags",":  40     Willing to Ship:  Yes","54","5,267","2015","","B30ADA9114F86BFB9BA6A10812EEB8BDC698B7DA82F9F4FFBAFDC96C9D248AB3.html","For sale a Glock 27 magazine holds nine rounds. Used one time at the range.     will ship for $24 using paypal","Glock 27 Magazine","20",":  Rome     Zip Code:  30165"
"Handguns","Handguns","BNIB Ruger SR1911 Talo Night Watchmen Edition and Custom OWB Holster","jacobcoley","May 23, 2013","Survivalist"," No","1,000",":  .45 ACP     Willing to Ship:  No","15","323","2015","","B41CECF775EE894419F36C9813A6659FBBE95641674B0A5513E4E0CC2A627980.html","","BNIB Ruger SR1911 Talo Night Watchmen Edition and Custom OWB Holster","820",":  Near Cabelas     Zip Code:  30102"
"Accessories","Accessories","factory psa handguard","Justin P.","Feb 22, 2015","Hunter"," No","anything firearm related","","14","147","2015","","B45B19D15BAFE02022FEC0F659997A692133D8E5518F1741C1D22352F40BD195.html","","factory psa handguard","$10",":  cobb     Zip Code:  30127"
"Accessories","","","SemperFi","Aug 29, 2012","Frontiersman"," No","Need a double rifle bag/case and AR15 flip-up sight set or holster for PX4 subcompact","","16","671","2015","","BAC3FFFDD95CBB1EBF4F9234A4821E441EC90C776D2D30020A5C7DCFAD1A4660.html","Looking to trade the Beretta bags, Wilson Combat .45 compact/Officer 7rd, (1) ProMag 8 rds, NC Star MAR4L Quadrail Handguard, 1 Accushot Universal Picatinny/weaver rings new    1: Beretta range bag  $60  2: Beretta 92/96 hardcase  $15  3: Wilson combat .45 comact/Officer 7rd  $20  4: Promag 8 rds  $10  5: NC Star MAR4L (round)  $30  6: 1 Accushot Universal Picatinny/weaver rings new  $10","","",":  paulding     Zip Code:  30157"
"Accessories","","","flybiwire","Nov 24, 2012","Frontiersman"," No","",":  12 or 20 Guage Saiga Shotguns     Willing to Ship:  No","10","507","2015","","C1235E8A3945B2DA45AD0C592DAC7F31539C5F5443FDA0CC6E65F6E04A048610.html","I have a used SGM Tactical stock for non converted models of the Saiga 20 or 12 guage shotgun. I am asking $40.00. The handguard has been sold.","","",":  Cumming     Zip Code:  30040"
"Rifles","","","James_woods","Jan 7, 2013","Hunter"," No","",":  .308     Willing to Ship:  No","2","60","2015","","C1A0FF06842BC8AA8E7D67EBCAA0B8218950CB83D8382ADFBD4F3A05EC7A8F26.html","Century arms.   Custom flash hides/muzzle brake  Lower reciever re-blued  4 mags   20rds target  8 rds hunting","","",":  ft benning     Zip Code:  31905"
"Accessories","Accessories","Galco hoslter super chea","Andrew25","Aug 28, 2014","Tracker"," No","10","","10","205","2015","","C94ABE4624EAB671690CF99C0CFCC1376D2209054D413E6AD4F76B95479F4436.html","I have a nice lightly use galco holster for sig sauer p226s. It might fit other handguns as well. Super cheap $10 or trade for a box on 9mm ammo","Galco hoslter super chea","10",":  Hiram     Zip Code:  30141"
"Dealer Listings - Firearms  Accessories","","","Nfa Arms Dealer","Aug 5, 2011","The Hen that laid the Golden Legos"," No","","","24","5,679","2015","","CC1EB061C22C8A5833FDBADE3A459EBF81275DE30F051AA27681ADCF90723F2C.html","RARE Pivoting Grip Pod             They were imported from Israel  Only a few hundred sold before being sent back by Customs. These were never supposed to be exported to the USA.        Made from high-density polymer, offers a comfortable and secure grasp with its 4 finger grooves. Pushbutton instantaneously releases the bipod. The bipod legs are reinforced with a 1.2mm steel insert for extra strength and are serrated for improved gripping.         The Pivoting Pod Grip has all the features of the Pod Grip, plus it can pivot 60-degrees off center in both directions for a total of 120-degrees and the legs auto-center for immediate repositioning of the weapon. It also cants 30 degrees on the vertical axis for use on uneven surfaces.         Securely attach to any Picatinny rail with a spring loaded clamping mechanism that tightens with a thumbnut.             NO PAYPAL or CC        USPS $$$ ORDER ONLY for FASTEST TURNAROUND          David@ 21st Century Weapons        FFL/SOT Since 1998","","",":  Cumming     Zip Code:  30041"
"Handguns","Handguns","","JohnR","Jan 25, 2011","Tracker"," No","",":  9mm     Willing to Ship:  No","17","202","2015","","D3C046CA258A74069C7B99BEF92330D0BF3DCCE5DC64C06DD5CDA40C3FFEA67B.html","Smith  Wesson 5943 DAO 9mm with (2) 15rd mags and bulldog holster. Light weight and slim double stack. $385.00","Smith  Wesson 5943","385.00",":  Dalton     Zip Code:  30721"
"Revolvers","","","WarrantMafi","Dec 26, 2012","Survivalist"," Yes     Billing Information:  Peak and DL and Carry permit.","",":  .357 Mag     Willing to Ship:  No","46","318","2015","","D75E3F7B1DC5A8DB44CA38423F121F9953A28E42D55D11377FF3F0FC43B20D59.html","Hate to let her go, but I have never fired it and its just sitting in a dark safe. Here is the exact description when I bought it. Smith  Wesson Model 28-2 .357 Highway Patrolman thats been improved over factory. This revolver wears the 4  pinned  barrel and has the  recessed (counter-bored) chambers. This revolver received an action job by Teddy Jacobson (Actions by T) and is marked with his logo on the right side of the frame. Jacobsons crane ball lock has also been installed to help keep things tight and the trigger face has been smoothed. Overall condition is excellent with about 97-98% finish remaining. There are a few minor handling marks and the usual cylinder turn line, but no rust or any pitting. The custom grips are reminiscent of the old SW diamond Magnas, but the are actually ebony wood and there is a grip adapter installed for a vintage look and improved purchase. Over 450.00 in custom work. The mechanics are in good working order and both timing and lock-up are excellent. The bore is likewise in excellent shape with bright/sharp rifling, this Smith was manufactured in about 1971. Meet in Loganville, Grayson, Monroe, Walnut Grove or Covington. Trades, maybe....colt 1911, other smith and Wessons. HERE THE LINK to TEDDYs website:       http://www.actionsbyt.com","","",":  Loganville     Zip Code:  30052"
"Handguns","","","will4me","Dec 12, 2010","ODT Junkie!"," No","looking for a AK rifle in 7.62x39",":  7.62x39     Willing to Ship:  No","127","2,987","2015","","D81F3199232081298D479B0F0B6AFA223BEB687AF5C3C9BF5DDC01B6379C8D90.html","Up for Trade is a Romanian Draco Pistol in 7.62x39.  Looking to Trade for a AK Rifle in 7.62x39 with wood stock on it.  Need to be 18 to get this from me and be a GA Resident with Proof by GA DL or GWCL.  PM is best Contact.  Might consider other things.","","",":  Dallas, GA     Zip Code:  30157"
"Handguns","","","SafeCrack","Jul 18, 2013","The Hen that laid the Golden Legos"," No","",":  9mm     Willing to Ship:  No","97","6,573","2015","","D89A13B0BFF03ADCA7ED99B06471A7E82F673F1DB4C7A9A624E139B9CA47F095.html","LNIB SW Shield 9mm (w/Safety) maybe 50 rounds down range, night sights (less then 6 months old)    Comes with:    Box  docs  2- 8rd mags  1-7rd mag  1-Pearce pinky extender  1-Fobus paddle holster     $425 picked-up in Newnan","","",":  Newnan     Zip Code:  30265"
"Shotguns","","","brenso1","Jan 15, 2013","Survivalist"," No","","","29","346","2015","   Last edited:  Nov 16, 2015 at 8:03 AM","D9D8D564D3D915E902F5D0AF74F8F5CB491AE72B5F7D364ACF6FC61C3D41CE49.html","Mossberg 930 JM Series Tactical Shotgun 8+1    This model is 12ga, has the 22 barrel, and is in very nice condition, I have the box, docs and it comes with 3 chokes.    It does have a couple of small marks on the barrel where the previous owner put a light mount, I have included a close up of the marks.    Im not looking for any trades at this time.    Thanks for looking.","","",":  Kennesaw     Zip Code:  30152"
"Rifles","","","benjamin","Mar 15, 2011","ODT Junkie!"," No","",":  270 Win     Willing to Ship:  No","209","2,824","2015","","DBADFD11F6786DE62E6BF29BE5A1DA49AE20BD58B1A17CA000E3DB38BF44F5AD.html","New in box, never shot or put together. These rifles are guaranteed one inch at 100 yds. They have adjustable trigger which is easy to adj, just take the bolt out and use a allen to adj.","","",":  Jefferson     Zip Code:  30549"
"Handguns","Handguns","Glock 26 gen 3 FDE","turko","Dec 15, 2013","Hunter"," No","glock 43 package",":  9mm     Willing to Ship:  No","34","147","2015","","DD3C8A9E1AB1D3862DF04FE29D0F82DA03C847EB7D3182CDB02290C0AD93EBFE.html","Excellent condition glock 26 gen 3 FDE. Less than 100 rounds through it. Build in 2014. 2 mags one with Vickers FDE baseplate one with pearce pinky extention baseplate. I put glock factory night sights on it that I had laying around, the finish on the sights are worn pretty bad from a bad install but they function fine and are still brite.","Glock 26 gen 3 FDE","",":  Duluth     Zip Code:  30096"
"Shotguns","","","benjamin","Mar 15, 2011","ODT Junkie!"," No","",":  12 gauge     Willing to Ship:  No","209","2,798","2015","","DF8AF8EA1F4D7840A5224F3333164614E43B0143E39204D92F5D98F52EE36CBC.html","These are very nice vintage 1100s with poly chokes, these are real nice, you can take your pick local pick up as there are four of them, all are ribbed with poly chokes. Only two now.","","",":  Jefferson     Zip Code:  30549"
"Handguns","Handguns","Kimber TLE/TL II","biggus","Jul 13, 2010","Survivalist"," No","Maybe???",":  .45acp     Willing to Ship:  No","93","338","2015","","F02B9858925DDA83944E1AED7E848B88E154EF710351F5947EAE6FDEB5CC11AB.html","","Kimber TLE/RL II","$750 firm",":  Tucker     Zip Code:  30084"
"Rifles","","","sublimebeer","Nov 6, 2011","The Hen that laid the Golden Legos"," No","glocks keltec sub2000 see details","","88","5,231","2015","div class=""attachedFiles"">  Attached Files:                    image.jpeg     File size:   104.1 KB     Views:   0                         image.jpeg     File size:   107.1 KB     Views:   0                         image.jpeg     File size:   99.2 KB     Views:   0                         image.jpeg     File size:   98.7 KB     Views:   0                 Last edited:  Nov 15, 2015 at 10:52 AM","F10789FDA2DDAB15926EA0C464DB2CE27E934413702CCF3CF9AA9E0810DF8A11.html","","","",":  East Cobb     Zip Code:  30068"
"Handguns","","","gunslinger069","Feb 18, 2013","ODT Junkie!"," No","",":  9mm     Willing to Ship:  No","220","1,395","2015","","F3D865CC96B8CE45FF0E4977BF9426A74C933B1C106921D408BCA4F049088572.html","Caliber: 9mm  Capacity: 1~6 rd  Operation: Trigger cocking DAO; lock breech; Browning - type recoil lug; passive striker block; no  Barrel: 3.0, conventional rifling; 1 - 10 right-hand twist  Length O/A: 5.42  Height: 4.0  Slide Width: .90  Weight: Pistol 14 ounces, Magazine 1.9 ounces  Grips: Textured polymer  Sights: Drift adjustable, white bar-dot combat sights  Finish: Black polymer frame, matte stainless steel slide  Magazine: 1 - 6 rd flush OR 1 - 7 rd extended  Box, Docs  Lock","","",":  Snellville     Zip Code:  30078"
"Dealer Listings - Firearms  Accessories","","","Stone Mountain Gun Pawn","Aug 28, 2015","Hunter"," Yes     Billing Information:  FFL-4473","",":  5.56     Willing to Ship:  No","1","90","2015","","F51A1A225260BDC63C3A728E578F0170775478E9CF6706222BF10F0A931E67E0.html","CENTURY C93 RIFLE WITH ONE MAG STRAIGHT FROM DISTRIBUTOR","","",":  STN MTN     Zip Code:  30083"
"Accessories","Accessories","5.56 custom built upper  Prs Stock","Sigweld17","May 3, 2015","Hunter"," No","800",":  5.56     Willing to Ship:  No","10","107","2015","","F8EB13FF6C9F342A6A56189C0F9635C765C209E612B7D8266BF7BEA380DA8ACA.html","Ive got an unfired SPR built upper for sale. All items are practically new so price is firm. I just built it and then just decided to go a different route. Parts list as follows:    Spikes flat top upper receiver ($80)  FN 18 1/7 twist CHF barrel (rifle gas) ($375)  15 Troy M-lok Rail ($200)  Aac 5.56 Blackout flash hider ($90)    No bcg or charging handle included.  Patrial trades are welcomed, but mainly looking for cash. Thanks for looking.","5.56 custom built upper  Prs Stock","650 upper w/ no bcg or ch",":  Gainesville     Zip Code:  30504"
"Rifles","","","Reecep14","Jan 6, 2012","Outdoorsman"," No","",":  .308     Willing to Ship:  No","3","21","2015","","FC6A200D94324AC23AEE687EF4DAB3BA59E4CEB70ED822B5C3A78A8F4CEBAD59.html","I have a used TC Venture for sale. It looks and works fine. I have shot less than 100 rounds through it. I bought it in 2011 for deer hunting and inherited another rifle, so I just want cash. The scope is NOT included. Contact me for more pictures. Call/text Reece at 334-603-1842.","","",":  Buckhead     Zip Code:  30342"
"Rifles","Rifles","Kel-Tec SU-2000 Carbine, NIB","parolebear","May 20, 2010","ODT Junkie!"," No","no shotguns, bows or black powder, will listen to others",":  .40 cal     Willing to Ship:  No","82","1,541","2015","","FD7B6CEE70A94834439EC2ABECE3FACD1B5815E059EC741313172CFFCF9B6C22.html","Brand new, never fired, in the box with all the extras, Kel-Tec SU-2000 in .40 cal. This one accepts Glock 22 mags, comes with one mag. It has the sling attached and a grip sleeve. These are real neat as the fold up into a very compact package for a GET  GO bag. Pair it with a Glock 22, takes the same mags and ammo but allows for more range and steadier shooting platform. I live in Fitzgerald. Trades will be listened to but I am trying to cut back on my addiction.","Kel-Tec SU-2000 Carbine, NIB","500",":  Fitzgerald     Zip Code:  31750"
"Rifles","Rifles","Winchester model 94 1947","CRMolock","Jan 11, 2013","Tracker"," No","Ruger Skeleton stocks",":  30-30     Willing to Ship:  No","15","202","2015","","FE81276656EAA19ED8F97A675449108AD14A23FEB77BF1CD53C07D7D4D1F8672.html","1947 I believe. Gun is in good condition with some surface rust. Serial number starts 141xxx.","Winchester model 94 1947","$650",":  Dallas     Zip Code:  30157"
