"additionalInfo","object_uri","title","imageUrl","artist_uri","dimensions","technique_uri","technique","ethnicity_uri","enthnicity","artist_appellation_uri","artist","provenance"
"Glazed fish facing right, beige and brown coloring. Possibly Southern Californian bass species.","","Untitled (Fish)","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CDoyle+Lane%5CFish1%2Ejpg","","6.75"" H x 14.5"" W x 0.3125"" D","","Glazed earthenware","","African American","","Doyle Lane","Gift of Ben Serar"
"Glazed fish facing left, beige and brown coloring. Possibly Southern Californian snapper species.","","Untitled (Fish)","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CDoyle+Lane%5CFish2%2Ejpg","","5"" H x 17.5"" W x 0.3125"" D","","Glazed earthenware","","African American","","Doyle Lane","Gift of Ben Serar"
"Glazed fish facing right,gold and brown coloring. Possibly Southern Californian bass species.","","Untitled (Fish)","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CDoyle+Lane%5CFish3%2Ejpg","","6.75"" H x 14.75"" W x 0.3125"" D","","Glazed earthenware","","African American","","Doyle Lane","Gift of Ben Serar"
"Glazed fish facing right,gold and brown coloring, crackle pattern on face and tail. Possibly Southern Californian bass species.","","Untitled (Fish)","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CDoyle+Lane%5CFish4%2Ejpg","","6.75"" H x 14.75"" W x 0.3125"" D","","Glazed earthenware","","African American","","Doyle Lane","Gift of Ben Serar"
"Glazed fish facing left, blue and tan coloring, raised beaded surface. Possibly Southern Californian barracuda species.","","Untitled (Fish)","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CDoyle+Lane%5CFish5%2Ejpg","","5.25"" H x 15.75"" W x 0.3125"" D","","Glazed earthenware","","African American","","Doyle Lane","Gift of Ben Serar"
"Glazed fish facing left, blue coloring, speckled pattern on face. Possibly Southern Californian bass species.","","Untitled (Fish)","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CDoyle+Lane%5CFish6%2Ejpg","","6.75"" H x 15"" W x 0.3125"" D","","Glazed earthenware","","African American","","Doyle Lane","Gift of Ben Serar"
"Glazed fish facing left, red, gold and black coloring. Possibly Southern Californian barracuda species.","","Untitled (Fish)","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CDoyle+Lane%5CFish7%2Ejpg","","5.75"" H x 16.75"" W x 0.3125"" D","","Glazed earthenware","","African American","","Doyle Lane","Gift of Ben Serar"
"Glazed fish facing left, gun metal grey coloring, crackle pattern on fins, face and tail. Possibly Southern Californian bass species.","","Untitled (Fish)","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CDoyle+Lane%5CFish8%2Ejpg","","6.75"" H x 15"" W x 0.375"" D","","Glazed earthenware","","African American","","Doyle Lane","Gift of Ben Serar"
"Glazed fish facing left, brown, beige and gold coloring. Possibly Southern Californian snapper species.","","Untitled (Fish)","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CDoyle+Lane%5CFish9%2Ejpg","","5"" H x 17.25"" W x 0.3125"" D","","Glazed earthenware","","African American","","Doyle Lane","Gift of Ben Serar"
"Sixteen (16) page souvenir program from a performance of the Katherine Dunham Dance Revue ""Bamboche!!"" at the Fifty-Fourth Street Theatre in New York City. The production opened October 22nd, 1962 and ran for a limited engagement of only eight performances.","","Katherine Dunham in ""Bamboche!""","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5CTrioImages%5CMusic%5Fprograms%5CDunham%5FBamboche+copy%2Ejpg","","12"" H x 9"" W","","rotogravure","","African American","","Dunetz and Lovett Publishers","Gift of Fran Cooper, Administrator of the Howard Morehead Estate"
"WWI Black soldier poster depicting cavalryman saying goodbye to his wife with a battalion shown marching in the background.","","""Colored Man is No Slacker""","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CMilitary%5CWWI%5FSoldierPoster%2Ejpg","","20"" H x 16"" W","","Rotogravure print","","American","","E.G. Renesch, Chicago","Gift of Edward T. Garcia"
"Bronze sculpture of musician, Lionel Hampton on marble base.","","Lionel Hampton","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CEd%5FDwight%5Clg%5Flionel%5Fhampton%2Ejpg","","28"" x 18"" x 11""","","bronze on marble base","","African American","","Ed Dwight","Gift of Calvin B. & Marilyn B. Gross"
"Bronze sculpture of blues singer Bessie Smith on marble base.","","Bessie Smith","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CEd%5FDwight%5Clg%5Fbessie%5Fsmith%2Ejpg","","26"" x 16"" x  12""","","Patinated bronze and brass mounted on marble base","","African American","","Ed Dwight","Gift of Calvin B. & Marilyn B. Gross"
"Bronze sculpture of jazz trumpeter Dizzy Gillespie on marble base.","","Dizzy Gillespie","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CEd%5FDwight%5Clg%5Fdizzie%5Fgillespie%2Ejpg","","28"" x 29"" x 15""","","bronze on marble base","","African American","","Ed Dwight","Gift of Calvin B. & Marilyn B. Gross"
"Bronze sculpture of jazz trumpeter Louis Armstrong on marble base.","","Louis ""Satchmo"" Armstrong","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CEd%5FDwight%5Clg%5Fsatchmo%2Ejpg","","28"" x 30"" x 12""","","bronze on marble base","","African American","","Ed Dwight","Gift of Calvin B. & Marilyn B. Gross"
"Sculpture projects the sense of motion of three calvary men on horses. Two of the three African American soldiers hold pistols and the third man brandishes a rifle. The men wear calvary uniforms.","","Battle of Clay Creek Mission, Dakota Territory","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CEd%5FDwight%5Clg%5Fbattle%5Fclay%5Fcreek%2Ejpg","","24"" H x 28.5"" W x 20"" D","","Bronze, brown patina with touches of verdigris","","African American","","Ed Dwight","Gift of Sydney Goldfarb"
"Male figure playing a horn, Benin-style","","","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CCampbell+Family%5CFlutist%2Ebmp","","31"" x 14.25""","","Cast Brass","","Edo","","Edo People of Benin","Gift of the Scott Campbell Family"
"Bronze Oba, Nigerian, with empty hands","","","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CCampbell+Family%5COba%2Ebmp","","36.75"" x 8.5"" x 11""","","Cast Brass","","Edo","","Edo People of Nigeria/Benin","Gift of the Scott Campbell Family"
"Stereo card showing nine African Americans working the fields.","","Plantation Life","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CStereo+cards%5CPlantation+Life+copy%2Ejpg","","3.5"" H x 7"" W","","Stereograph photography","","African American","","Edward and Benjamin West Kilburn, a.k.a. Kilburn Brothers","Gift of Paul Kiler"
"Center horizontal beam flanked by two semi-circles.","","Circular II (Paris Series)","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5CTrioImages%5CEd%5FClark%5CCircular+II%2Ejpg","","74"" H x 81"" W","","acrylic on canvas","","African American","","Edward Clark","California Afro-American Museum Foundation purchase"
"Correspondence, books, plaques, ephemera, a personal journal, historic documents, flight logs and paraphernalia pertaining to the life of Tuskegee Airman, Captain Edward L. Toppins.","","Captain Edward L. Toppins Tuskegee Airman Collection","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CMilitary%5CToppins%5FCollection%5CTuskegee%5FToppins%2Ejpg","","1.666 cubic feet","","Printed and hand-written materials","","African American","","Edward Lucien Toppins","Gift of Kenneth Severin"
"Landscape scene of woman walking down dirt road in woods, two cows graze in field nearby.","","Landscape Scene","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CBannister%5CLandscape+scene%2Ejpg","","30 x 42""","","Oil on canvas","","African American born Nova Scotia","","Edward Mitchell Bannister","Gift of Richard F. Connally, Jr."
"framed pencil drawing","","Evening Landscape","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CBannister%5CEvening%2Ejpg","","3"" x 5""","","Pencil on paper","","African American born Nova Scotia","","Edward Mitchell Bannister","Anonymous Gift"
"framed pencil drawing","","Landscape with Figure","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CBannister%5CFigure%2Ejpg","","6 x 8¼""","","Charcoal on paper","","African American born Nova Scotia","","Edward Mitchell Bannister","Anonymous Gift"
"framed pencil drawing","","Landscape, Dockside","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CBannister%5CLandscape+dockside%2Ejpg","","3½ x 6½""","","Pencil on paper.","","African American born Nova Scotia","","Edward Mitchell Bannister","Anonymous Gift"
"framed pencil drawing","","Landscape, Shack, Figure, and Boat","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CBannister%5CShack%2Ejpg","","4¼ x 7¼""","","Pencil on paper.","","African American born Nova Scotia","","Edward Mitchell Bannister","Anonymous Gift"
"framed pencil drawing","","Escutney Mountain/Landscape, River and Mountain","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CBannister%5CEscutney%2Ejpg","","6 x 9""","","Pencil on paper.","","African American born Nova Scotia","","Edward Mitchell Bannister","Anonymous Gift"
"framed pencil drawing","","Landscape, Rocky outcrop","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CBannister%5CRocky+Outcrop%2Ejpg","","6¼ x 8½""","","Pencil on paper.","","African American born Nova Scotia","","Edward Mitchell Bannister","Anonymous Gift"
"framed pencil drawing","","Landscape with Cows","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CBannister%5CCows%2Ejpg","","6½ x 9½""","","Charcoal on paper","","African American born Nova Scotia","","Edward Mitchell Bannister","Anonymous Gift"
"framed pencil drawing","","Landscape, Cows and Figure","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CBannister%5CCows+Figure%2Ejpg","","5½ x 8½""","","Pencil on paper.","","African American born Nova Scotia","","Edward Mitchell Bannister","Anonymous Gift"
"framed pencil drawing","","Landscape, Meadow, House on a Hill","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CBannister%5CMeadow+House%2Ejpg","","4½  x 6½""","","Pencil on paper.","","African American born Nova Scotia","","Edward Mitchell Bannister","Anonymous Gift"
"framed pencil drawing","","Oxen, Cart and Two figures","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CBannister%5COxen%2Ejpg","","8½ x 5¼""","","Pencil on paper.","","African American born Nova Scotia","","Edward Mitchell Bannister","Anonymous Gift"
"old woman sitting down with basket signed lower right.","","The Old Servant","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5COld+Servant%2Ejpg","","27½ x 24½ x ¾""","","Oil on canvas","","African American","","Edwin Augustus Harleston","Gift of M. Earl and Flora C. Grant"
"Eldridge Cleaver depicted as red cartoon character wearing a cross around his neck (possibly symbolic of Christian fundamentalist politics) and tearing off his spotted shirt (""changing spots"" of former the Black Panther Party politics?). United States flag in background and Black protester in foreground (neglected constituents?).","","Le Monde Diplomatique - Fevrier 1977","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CPosters%5CCleaver%2Ejpg","","19"" H x 25"" W","","Photomechanical reproduction","","African American","","Eldridge Cleaver Legal Defense Fund, Jean Plantu (animation)","Gift of Robert A. Grimm"
"Two Turkana women in a conversation distorted by elongating their reflections through a flexible Plexiglas-mounted mirror.","","Conversation (Africa II: The Turkana, Kenya)","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CSunday%5FConversation%2Ejpg","","21.75"" x 17.25"" W","","Gold-toned gelatin silver print","","African American","","Elisabeth Sunday","Gift of Alice Weston"
"Portrait of young man in an Elite Studio portfolio","","Collection of historic photographs","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CKOSTMAN%5CE4%2EBMP","","6¾ x 9¾""","","Photograph","","African American","","Elite Studios","Gift of Wayne & Shelby Kostman"
"Geometric rendering portrait of an African American woman.","","Untitled","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CCatlett%5CCatlett%5FUntitled%2Ejpg","","18.75"" x 15.5""","","Woodcut on rice paper","","African American","","Elizabeth Catlett","Gift of the Arts Council"
"Originally released on Atlantic as ""Ella Loves Cole"" and then reissued on Pablo with two extra cuts from 1978, this set features the great Ella Fitzgerald (still in excellent form) backed by an orchestra arranged by Nelson Riddle performing an extensive set of Cole Porter songs. Fifteen years earlier Fitzgerald had had great success with her Cole Porter Songbook and this date, even with a few hokey arrangements, almost reaches the same level. Trumpeter Harry ""Sweets"" Edison and pianist Tommy Flanagan are among the supporting cast. Highlights include ""I Get a Kick out of You, I've Got You Under My Skin, All of You, My Heart Belongs to Daddy and Just One of Those Things."" --Scott Yanow","","Dream Dancing [test pressing]","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CElla+Fitzgerald%5C19995%2E13%2E11e%2Ejpg","","Diameter: 12""","","vinyl LP record, paper album sleeve, plastic cover","","African American","","Ella Fitzgerald","Museum purchase"
"A good title cut, strickly by the book.--Ron Wynn","","Fine and Mellow [test pressing]","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CElla+Fitzgerald%5C19995%2E13%2E11f%2Ejpg","","Diameter: 12""","","vinyl LP record, paper album sleeve, plastic cover","","African American","","Ella Fitzgerald","Museum purchase"
"Ella Fitzgerald, 42 years after her recording debut, showed on this late concert recording that she still had the magic. Backed by pianist Tommy Flannagan, bassist Keter Betts and drummer bobby Durham, she sounds pretty strong at times, mostly singing veteran ballads but also getting hot on ""Billie's Bounce."" It's not essential but worth checking out. --Scott Yanow","","Montreux '77 [test pressing]","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CElla+Fitzgerald%5C19995%2E13%2E11a%2Ejpg","","Diameter: 12""","","vinyl LP record, paper album sleeve, plastic cover","","African American","","Ella Fitzgerald with the Tommy Flanagan Trio","Museum purchase"
"Ella Fitzgerald, 42 years after her recording debut, showed on this late concert recording that she still had the magic. Backed by pianist Tommy Flannagan, bassist Keter Betts and drummer bobby Durham, she sounds pretty strong at times, mostly singing veteran ballads but also getting hot on ""Billie's Bounce."" It's not essential but worth checking out. --Scott Yanow","","Montreux '77 [test pressing]","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CElla+Fitzgerald%5C19995%2E13%2E11b%2Ejpg","","Diameter: 12""","","vinyl LP record, paper album sleeve, plastic cover","","African American","","Ella Fitzgerald with the Tommy Flanagan Trio","Museum purchase"
"Collage of guns, reclining people, brand name logos, flags and provocative signs surrounding a human skull.","","Stop The Shooting","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CPinkney%5FStopShooting+copy%2Ejpg","","34"" H x 48"" W","","mixed media collage","","African American","","Elliott Pinkney","Gift of Elliott Pinkney"
"Professional portrait of Thomas Bradley at beginning of his term as mayor of Los Angeles (1973 - 1993).","","Mayor Tom Bradley","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CTom+Bradley%5CPhotograph%2Ejpg","","14"" H x 11"" W","","Chromogenic print","","African American","","Elson-Alexander Studios","Gift of Ethel Arnold Bradley and daughters"
"Boy and watermelon depicted with a wasp in foreground, poem reads ""Watermellion's awful good, Possum's awful sweet, But EPICURE TEA is dreffel nice, And both of them can beat.""","","Advertising card, ""Watermellion's Awful Good...""","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CWatermelon%2Ebmp","","14½ x 12""","","Paper","","African American","","Epicure Tea","Gift of Helen Colvig, In Memory of Mrs. Louise Roy"
"Robust woman carrying two large brown bags.","","My Miss America","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CErnie%5FBarnes%5CAmerica%5FBarnes%2Ejpg","","49"" x 37""","","Oil on canvas","","African American","","Ernie Barnes","Gift of Mr. & Mrs. Ron Meyer"
"Group of men playing pool at a local recreation center.","","Pool Hall","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CErnie%5FBarnes%5CBarnes%5FUntitled%2Ejpg","","24"" H x  36"" W","","Oil on canvas","","African American","","Ernie Barnes","Gift of Beatrice and Irving Zeiger"
"Salt shaker molded in the form of a Black housemaid wearing a kerchief, apron and carrying a platter.","","","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CBlack%5FAmericana%5CAunt+Jemima%2Ejpg","","5.25"" H x 2.5"" Diameter","","Molded plastic with paint","","American","","F & F Mold & Die Works","Gift of Patricia M. Moore"
"Hand-separated printer's proof serigraph signed by Faith Ringgold. Depicts historic African American women quilting with Vincent Van Gogh admiring.","","The Sunflower Quilting Bee at Arles","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CDASFOT%7E1%5CSUNFLO%7E1%2EBMP","","33.5"" H x 35"" W","","Serigraph, ink on paper","","African American","","Faith Ringgold","Gift of Impressions Limited Atelier"
"Hand-separated printer's proof serigraph signed by Faith Ringgold. Depicts dancing couples at the Savoire in Harlem. Celebrates the jazz of Dizzy Gillespie and Charlie Parker.","","Groovin' High","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CGroovin%2Ejpg","","32.25"" H x 44"" W","","Serigraph, ink on paper","","African American","","Faith Ringgold","Gift of Impressions Limited Atelier"
"Sheet music composed by Abe Holzmann; photo of twenty African American boys in shirt and ties in an oval surrounded by decorative elements including a drawing of blackberries.","","""Bunch O' Blackberries"" (Cake Walk and Two-Step)","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CSheet%5Fmusic%5CGarcia%5Fsheetmusic%5CBunch%5FBlackberries+copy%2Ejpg","","14"" x 11""","","Rotogravure","","American","","Feist & Frankenthaler","Gift of Edward T. Garcia"
"Sheet music composed by Abe Holzmann; photo of four African American boys in shirt and ties surrounded by decorative elements including smoke.","","""Smoky Mokes"" (Cake Walk and Two-Step)","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CSheet%5Fmusic%5CGarcia%5Fsheetmusic%5CSmokyMokes+copy%2Ejpg","","14"" x 11""","","Rotogravure","","American","","Feist & Frankenthaler","Gift of Edward T. Garcia"
"Program listing obituary and order of service for Tom Bradley's funeral.","","","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CTom+Bradley%5CFuneral%2Ejpg","","11"" x 17"" W","","Ink on paper [brochure]","","African American","","First African Methodist Espiscopal Church","Gift of Ethel Arnold Bradley and daughters"
"Company ""L"" 24th infantry military role call; Captain Raymond S. Stripling, Commander","","Company ""L"" 24th Infantry - Ft. Benning, Georgia","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CMilitary%5CCoL%5F24ID%2Ejpg","","39"" x 29"" each","","Gelatin silver prints mounted on board","","African American","","Fort Des Moines Studio","Gift of Melvin Orsben"
"Hazel Scott wearing burka with husband Reverend Adam Clayton Powell, Jr. (married 1945-1956) and son, Adam Clayton Powell, III photographed in Florence, Italy.","","","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CHazel+Scott%5CFamily+in+Italy%2Ejpg","","9"" H x 6.75"" W","","Photograph","","African American","","Foto Levi","Gift of Meredith Livingston"
"Oil painting depicting the story of How Malice Sent the Donkey to Marry the King.","","Conte Vaudouesque","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5Cdes+Pres%5CVaudouesque%2Ejpg","","36"" x 44""","","Haitian oils on canvas","","Haitian","","Francois Turenne des Pres","Gift of the artist"
"Four women in foreground seated on the Caribbean seashore, basket of fruit on a blanket.","","Dans Une Plage Caraïbe","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5Cdes+Pres%5CPlage%2Ejpg","","37 x 31½""","","Haitian oils on canvas","","Haitian","","Francois Turenne des Pres","Gift of the artist"
"2 women with fruit","","Lidie et Tina","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5Cdes+Pres%5CLidie%2Ejpg","","25 x 30""","","Oil on canvas","","Haitian","","Francois Turenne des Pres","Gift of the artist"
"Two young women seated cross legged in an orchard.","","Deux Bonnes Femmes","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5Cdes+Pres%5CFemmes%2Ejpg","","30 x 24""","","Haitian oils on canvas","","Haitian","","Francois Turenne des Pres","Gift of the artist"
"oil painting no frame or glass","","Lone Woman","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5CTrioImages%5Cdes+Pres%5CWoman%2Ejpg","","24 x 30""","","Haitian oils on canvas","","Haitian","","Francois Turenne des Pres","Gift of the artist"
"painting of three women talking in Haitian village with straw houses to the right of them in background","","Conversation a Trois","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5Cdes+Pres%5CTrois%2Ejpg","","20 x 24""","","Haitian oils, masonite","","Haitian","","Francois Turenne des Pres","Gift of the artist"
"Portrait of woman with head scarf and crossed arms.","","Humilite","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5Cdes+Pres%5CHumilite%2Ejpg","","29"" x 20""","","Haitian oils on masonite","","Haitian","","Francois Turenne des Pres","Gift of the artist"
"top-suspended with footstool, made in Japanese oak on wooden bearings of lignin vitae which are capped in ivory; coverings are gold-brown matching African goat skins.","","Woman","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CDAS+Foto%5CWoman%2Ejpg","","43"" x 36"" x 24""","","wood, ivory, leather, goat","","African American","","Frank E. Cummings III","Gift of Dr. and Mrs. Harland Goldwater"
"Tree occupying center of composition lit by moonlight from behind. Shrubbery surrounding the foreground in a vibrant color palette.","","Abstract Landscape","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CFrank+Williams%5CWilliams%5FLandscape%2Ejpg","","14"" H x 10"" W","","Oil on paper","","African American","","Frank James Williams","Gift of Myron and Dawn Glenn"
"Woman seated with her arms around her ankles gazing upwards to her right.","","The Call","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CFrank+Williams%5CWilliams%5FTheCall%2Ejpg","","38.5"" H x 28.25"" W","","Charcoal pencil on paper","","African American","","Frank James Williams","Gift of Myron and Dawn Glenn"
"An engraving that shows an armed white plantation police man with a dog by his side inspecting passes of three black males with the use of a hand lamp. In the back four white armed men on horse can be seen roaming with the moon and the lake as a backdrop.","","The Plantation Police, or Home Guard, Examining Passes on the Road Leading to the Levee of the Mississippi River","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CHarper%27s+Weekly%5CCivilWar%5FPlantationPolice+copy%2Ejpg","","15.5 H x 10.25 W","","engraving on newsprint","","African American","","Frederick B. Schell","Gift of Friends, The Foundation of the California African American Museum"
"large scale work; images of Candice Bergen, Elizabeth Taylor, Nat King Cole and others on the mind of a black male in front of a fireplace with a red fox.","","After the Hunt","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CAFTERH%7E1%2EBMP","","60 x 48""","","Oil on linen","","African American","","Frederick James Brown","California Afro-American Museum Foundation purchase"
"Full-face straight on stylized portrait of African American male in uniform.","","U.S. Made","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CBrown%5FTurman%2Ejpg","","30"" H x 22"" W","","Oil on paper","","African American","","Frederick James Brown","Gift of Lauree and Larry Turman"
"Sheet music with illustration of cityscape in lower right portion of cover page. Total of six pages.","","""Oh! What A Beautiful City""","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5CTrioImages%5CSheet%5Fmusic%5CPooleJohnson%5Fsheetmusic+copy%2Ejpg","","12 H x 9 W","","Sheet music","","African American","","G. Schirmer, Inc","Gift of Estate of Marjorie P. Johnson"
"Black female figure with blue and white polka dot kerchief and matching ample dress to cover a toaster with her arms upraised.","","","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CDolls%5CJemima%5FtoasterCover%2Ejpg","","16"" H x 12"" W x 3"" D","","Cotton, fabric, cardboard, metal safety pin and plastic buttons","","African American","","Gertrude Alden","Gift of Kenneth Bartmess"
"fabric GPA crest with steel pins","","","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CSpiller%5CGPA+crest%2Ejpg","","3 x 3¼""","","Fabric and brass","","","","Golf Professional Association","Gift of William Spiller, Jr."
"LIFE magazine featuring Gordon Parks cover photography; signed by Gordon Parks November 2000.","","LIFE Magazine ""The Cry That Will Be Heard""","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CLIFE%2Ebmp","","13.5"" H x 10.5"" W","","printed paper","","African American","","Gordon Parks","Museum purchase"
"lithograph","","Levi Strauss and Company [bill head]","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CGrafton+T%2E+Brown%5CLevi%2Ejpg","","8.5"" H x 8.5"" W","","paper, lithography ink","","African American","","Grafton Tyler Brown","California Afro-American Museum Foundation purchase"
"stock certificate","","Wells Fargo Mining Co. Virginia District, Storey County, NV [stock certificate]","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CGrafton+T%2E+Brown%5CWells+Fargo%2Ejpg","","5.25"" H x 9.25"" W","","paper, lithography ink","","African American","","Grafton Tyler Brown","California Afro-American Museum Foundation purchase"
"Two (2) stock certificates","","Queen Mining Co.","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CGRAFTO%7E1%2EBRO%5CQUEEN%2EJPG","","4 x 9½""","","paper, lithography ink","","African American","","Grafton Tyler Brown","California Afro-American Museum Foundation purchase"
"lithographed billhead","","Ghirardelli, Coffee, Chocolate and Spice Manufactory [billhead]","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CGRAFTO%7E1%2EBRO%5CGHIRAD%7E1%2EJPG","","5"" H x 9.5"" W","","paper, lithography ink","","African American","","Grafton Tyler Brown","California Afro-American Museum Foundation purchase"
"landscape and buildings","","Residence, Ranch and Dairy of V. Guerrero, Half Moon Bay, San Mateo, California","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CGrafton+T%2E+Brown%5CGuerrero%2Ejpg","","18"" x 33""","","paper, lithography ink","","African American","","Grafton Tyler Brown","California Afro-American Museum Foundation purchase"
