"Artist_URI","Linktodata","Titleofartwork","ImageURL","birthYear","deathYear","Dimensions","Technique_uri","Typeofartwork","Nationality_uri","Nationality","Artist_Appellation_URI","Artistname","Credit"
"","http://www.artic.edu/aic/collections/artwork/58399?search_no=13&index=257","Chest of Drawers, 1760/90","http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000133/4733_1378021.jpg","","","79.7 x 91.8 x 50.8 cm (31 3/8 x 36 1/8 x 20 in.)","","Mahogany with white pine","","American","","Attributed to John Cogswell","Mark: chalk inscription on base possibly reading ""Bottom""; sticker back left upper corner with printing: ""No./Property of/Edith Cluett""

Helen Bowen Blair Fund"
"","http://www.artic.edu/aic/collections/artwork/189131?search_no=13&index=258","Chest of Drawers, 1780/1810","http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000075/67635_637775.jpg","","","96.8 x 99.7 x 50.2 cm (38 1/8 x 39 1/4 x 19 3/4 in.)","","Soft maple eastern white pine faux painted wood-grain","","(American","","Attributed to John Dunlap","Vance American Art Fund; restricted gifts of Carol W. Wardlaw Jamee J. and Marshall Field; Americana Fund"
"","http://www.artic.edu/aic/collections/artwork/56087?search_no=14&index=264","Chest-over-drawer, c. 1725","http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000130/171497_1320001.jpg","","","52.8 x 57.2 x 32.6 cm (20 3/4 x 22 1/2 x 12 13/16 in.)","","White pine iron brass and painted decoration","","American","","Attributed to Robert Crosman","Roman capital initials in white on either side of original iron lock plate: ""H B""

Wirt D. Walker Fund"
"","http://www.artic.edu/aic/collections/artwork/65061?search_no=14&index=265","Chief Tja-Yo-Ni, 1904","http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000006/398_360082.jpg","","","6.8 cm (2 3/4 in.)","","Silver","","American","","Edward Warren Sawyer","Gift of Charles L. Hutchinson"
"","http://www.artic.edu/aic/collections/artwork/16662?search_no=15&index=273","Choral Sea, 1915","http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000073/1821_625213.jpg","","","45.1 x 100 cm (17 x 39 3/8 in.)","","Oil on canvas","","American","","Arthur B. Davies","Mr. and Mrs. Martin A. Ryerson Collection"
"","http://www.artic.edu/aic/collections/artwork/154495?search_no=15&index=275","Civil War Regalia of Major Levi Gheen McCauley, 1887","http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000143/6632_1490468.jpg","","","127 x 92.7 cm (50 x 46 1/2 in.)","","Oil on canvas","","American","","George Cope","Quinn E. Delaney and Chauncey and Marion McCormick funds; Wesley M. Dixon Endowment"
"","http://www.artic.edu/aic/collections/artwork/102119?search_no=15&index=277","Clasp, 1720/50","http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000142/185653_1477562.jpg","","","2.1 x 3 x 3 cm (13/16 x 1 3/16 x 1/8 in.)","","Gold","","American","","Attributed to Henricus Boelen","Restricted gift of Charles C. Haffner III"
"","http://www.artic.edu/aic/collections/artwork/136988?search_no=15&index=278","Clear Strawberry Diamond Bowl with Cross, before 1830","http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000094/6107_762630.jpg","","","4.5 x 30.5 cm (1 3/4 x 12 in.)","","Pressed glass","","American","","Boston and Sandwich Glass Company","Through prior acquisitions of David Adler Robert Allerton Ada K. Rew in memory of her parents Mr. and Mrs. Irwin Rew The School of the Art Institute of Chicago and Elizabeth R. Vaughan"
"","http://www.artic.edu/aic/collections/artwork/14309?search_no=16&index=282","Coast Scene, Bathers, 1884�85","http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000131/173261_1338088.jpg","","","13.8 x 22.1 cm (5 7/16 x 8 11/16 in.)","","Oil on panel","","American","","James McNeill Whistler","Butterfly monogram lower right

Walter S. Brewster Collection"
"","http://www.artic.edu/aic/collections/artwork/188520?search_no=16&index=284","Cobalt Blue, 1991","http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000118/55355_1181844.jpg","","","47 x 20.3 cm (18 1/2 x 8 in.)","","Glazed stoneware","","American","","Toshiko Takaezu","Gift of Toshiko Takaezu"
"","http://www.artic.edu/aic/collections/artwork/8971?search_no=16&index=283","Coast of Maine, 1893","http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000131/173665_1341968.jpg","","","61 x 76.2 cm (24 x 30 in.)","","Oil on canvas","","American","","Winslow Homer","Signed lower left: ""Homer 93""

Arthur Jerome Eddy Memorial Collection"
"","http://www.artic.edu/aic/collections/artwork/97918?search_no=17&index=302","Coming Through the Rye (Over the Range), modeled 1902, cast in bronze 1902/06","http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000095/19164_763626.jpg","","","72.4 x 71.1 x 47 cm (28 1/2 x 28 x 18 1/2 in.)","","Bronze with brown patina","","American","","Frederic Remington","Right side front edge of base: Frederic Remington
Right side back edge of base: Copyrighted 1902 by / Frederic Remington
Back side of base: Roman Bronze Works NY

The George F. Harding Collection"
"","http://www.artic.edu/aic/collections/artwork/185185?search_no=17&index=301","Coming Squall (Nahant Beach with a Summer Shower), 1835","http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000006/36510_361294.jpg","","","52.1 x 71.4 cm (20 1/2 x 28 1/8 in.)","","Oil on canvas mounted on cradled panel","","American","","Thomas Doughty","Restricted gift of Mrs. Herbert A. Vance"
"","http://www.artic.edu/aic/collections/artwork/73707?search_no=17&index=303","Communion Dish, 1781","http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000016/83415_383151.jpg","","","33.2 x 3.8 cm (13 1/16 x 1 1/2 in.)
Marked near center on underside of bowl: ""B.BURT"" (in rectangle)","","Silver","","American","","Benjamin Burt","; engraved around rim of dish: a cherub's head and the words ""The Legacy of the Honble ISAAC ROYALL ESQ. to the CHURCH OF CHRIST in Medford 1781.""

Gift of the Antiquarian Society"
"","http://www.artic.edu/aic/collections/artwork/5352?search_no=18&index=318","Connecticut Hillside, c. 1920","http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000073/7425_623003.jpg","","","74.3 x 69.5 cm (29 1/4 x 27 3/8 in.)","","Oil on canvas","","American","","Emil Carlsen","Walter H. Schulze Memorial Collection"
"","http://www.artic.edu/aic/collections/artwork/55706?search_no=18&index=323","Cornelius Allerton, 1821/22","http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000074/114832_628153.jpg","","","83.8 x 69.9 cm (33 x 27 1/2 in.)","","Oil on canvas","","American","","Ammi Phillips","Gift of Robert Allerton"
"","http://www.artic.edu/aic/collections/artwork/208077?search_no=19&index=334","Covered Dish, 1835/40","http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000131/173698_1342298.jpg","","","12.7 x 26.7 x 22.2 cm (5 x 10 1/2 x 8 3/4 in.)","","Pressed glass","","Massachusetts","","Boston & Sandwich Glass Company Sandwich","Through prior gift of Emily Crane Chadbourne"
"","http://www.artic.edu/aic/collections/artwork/136987?search_no=19&index=336","Covered Sugar Bowl, 1820/30","http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000016/83398_382949.jpg","","","13 x 12.4 x 9.8 cm (5 1/8 x 4 7/8 x 3 7/8 in.)","","Pressed glass","","American","","New England Glass Company","Gift of the Antiquarian Society through Quinn E. Delaney"
"","http://www.artic.edu/aic/collections/artwork/61428?search_no=19&index=341","Cow's Skull with Calico Roses, 1931","http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000132/131385_1357734.jpg","","","91.4 x 61 cm (36 x 24 in.)","","Oil on canvas","","American","","Georgia O'Keeffe","Alfred Stieglitz Collection gift of Georgia O'Keeffe"
"","http://www.artic.edu/aic/collections/artwork/72398?search_no=19&index=342","Cows in a Pond at Sunset, 1860","http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000003/5563_354539.jpg","","","19.1 x 35.9 cm (7 1/2 x 14 1/8 in.)","","Oil on canvas","","American","","Sanford Robinson Gifford","signed lower left in wet paint: ""SR Gifford '60""

Through prior acquisition from the Charles H. and Mary F.S. Worcester Collection"
"","http://www.artic.edu/aic/collections/artwork/52262?search_no=19&index=344","Cream Pot, 1765/75","http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000094/4647_761160.jpg","","","10.8 x 5.7 cm (diam. at base) (4 1/4 x 2 1/4 in.)","","Silver","","American","","Bancroft Woodcock","Stamped on bottom in Roman capitals ""B. WOODCOCK"" in a rectangle conforming to letter shapes

Gift of the Antiquarian Society"
"","http://www.artic.edu/aic/collections/artwork/44018?search_no=19&index=349","Croquet Scene, 1866","http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000133/171650_1368515.jpg","","","40.3 x 66.2 cm (15 7/8 x 26 1/16 in.)","","Oil on canvas","","American","","Winslow Homer","Signed lower right: ""WINSLOW HOMER/-66-""

Friends of American Art Collection; Goodman Fund"
"","http://www.artic.edu/aic/collections/artwork/94127?search_no=20&index=351","Crossing the Ford, 1848","http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000117/4552_1171344.jpg","","","57.2 x 62.2 cm (22 1/2 x 24 1/2 in.)","","Oil on canvas","","American","","George Inness","Signed on reverse of canvas: ""Geo. Inness 1848""

Gift of Mrs. Edith Kepke MacDonald"
"","http://www.artic.edu/aic/collections/artwork/69530?search_no=20&index=354","Curley-Custer Scout-Crow.Crow Agency.Montana.1912, 1912","http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000005/399_357931.jpg","","","7 cm (2 3/4 in.)","","Bronze","","American","","Edward Warren Sawyer","Gift of Edward E. Ayer"
"","http://www.artic.edu/aic/collections/artwork/72198?search_no=20&index=357","Dancer and Gazelles, 1916","http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000117/37039_1171284.jpg","","","78.7 cm (31 in.)
base: 84.5 x 25.4 cm (33 1/4 x 10 in.)","","Bronze
h.","","American","","Paul Manship","Inscribed: ""Paul Manship c 1916""

Friends of American Art Collection"
"","http://www.artic.edu/aic/collections/artwork/188510?search_no=20&index=358","Dancing Brush, 1990","http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000118/55370_1181834.jpg","","","91.4 x 55.9 cm (42 1/2 x 22 in.)","","Glazed stoneware","","American","","Toshiko Takaezu","Gift of Toshiko Takaezu"
"","http://www.artic.edu/aic/collections/artwork/59784?search_no=20&index=359","Daniel Hubbard, 1764","http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000067/2605_587385.jpg","","","127.2 x 100.8 cm (50 1/8 x 39 11/16 in.)","","Oil on canvas","","American","","John Singleton Copley","Signed on base of column: ""John S. Copley pinx. 1764""

The Art Institute of Chicago Purchase Fund"
"","http://www.artic.edu/aic/collections/artwork/109442?search_no=20&index=360","Daniel Webster, modeled and cast 1853","http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000116/5316_1163604.jpg","","","76.2 x 30.4 x 27.9 cm (30 x 12 x 11 in.)","","Bronze","","American","","Thomas Ball","Incised at back of drapers: ""T Ball Sculpt/Boston Mass/1853/Patent assigned to / C W Nichols""

Gift of Richard and Mary L. Gray"
"","http://www.artic.edu/aic/collections/artwork/62581?search_no=20&index=369","Desk, 1775/1790","http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000132/83421_1354777.jpg","","","109.8 x 112.5 x 56 cm (43 1/4 x 44 1/4 x 22 in.)","","Mahogany zebrawood and white pine","","American","","Attributed to Felix Huntington","Gift of the Antiquarian Society through the Jessie Spalding Landon Fund"
"","http://www.artic.edu/aic/collections/artwork/38857?search_no=21&index=371","Desk, 1908","http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000094/4322_762498.jpg","","","144.9 x 102 x 60.6 cm (57 x 40 1/8 x 23 7/8 in.)","","Oak","","American","","Frank Lloyd Wright","Restricted gift of the Graham Foundation for Advanced Studies in the Fine Arts"
"","http://www.artic.edu/aic/collections/artwork/180489?search_no=21&index=370","Desk, c. 1880","http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000045/94002_475509.jpg","","","174.6 x 46.4 x 43.8 cm (68 3/4 x 17 1/2 x 16 1/2 in.)","","Maple and bird's-eye maple","","American","","Attributed to R. J. Horner and Company","Quinn E. Delaney fund"
"","http://www.artic.edu/aic/collections/artwork/38877?search_no=21&index=372","Desk, 1937/39","http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000094/4323_762522.jpg","","","96.5 x 212.7 x 138.8 cm (38 x 83 3/4 x 54 5/8 in.)","","Painted steel tubing maple work surface with later laminated surface","","American","","Designed by Frank Lloyd Wright","Gift of the Johnson Wax Company"
"","http://www.artic.edu/aic/collections/artwork/90596?search_no=21&index=375","Desk and Bookcase, 1893","http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000131/172726_1332987.jpg","","","190.5 x 149.8 x 67.3 cm (75 x 59 x 26 1/2 in.)","","Oak","","American","","Ladislaus Zdzieblowski","Gift of the family of Irene M. Groenier in her memory"
"","http://www.artic.edu/aic/collections/artwork/107051?search_no=22&index=380","Diana, modelled 1889, cast after 1900","http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000089/4965_728237.jpg","","","76.2 x 50.8 x 48.3 cm (30 x 20 x 19 in.)","","Bronze","","American","","Frederick W. Macmonnies","Roger McCormick Fund"
"","http://www.artic.edu/aic/collections/artwork/90048?search_no=22&index=386","Distant View of Niagara Falls, 1830","http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000081/10141_672686.jpg","","","47.9 x 60.6 cm (18 7/8 x 23 7/8 in.)","","Oil on panel","","American","","Thomas Cole","Signed lower right: ""Thomas Cole / 1830""

Friends of American Art Collection"
"","http://www.artic.edu/aic/collections/artwork/93808?search_no=22&index=387","Divided and Divided, 1941","http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000089/4537_728213.jpg","","","68.6 x 106.7 cm (27 x 42 in.)","","Oil on canvas","","American","","Ivan Albright","Signed lower left: Ivan Le Lorraine Albright

Gift of Ivan Albright"
"","http://www.artic.edu/aic/collections/artwork/65887?search_no=22&index=388","Dogs Chasing Each Other, 1929","http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000003/2751_354637.jpg","","","45.4 x 54.3 cm (17 7/8 x 21 3/8 in.)","","Oil on canvas","","American","","Arthur Dove","Alfred Stieglitz Collection"
"","http://www.artic.edu/aic/collections/artwork/145240?search_no=23&index=391","Dorian Gray, 1945","http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000128/6144_1301227.jpg","","","41.9 x 7.6 cm (16 1/2 x 3 in.)","","Gouache on silk","","American","","Ivan Albright","Gift of Mr. and Mrs. Joseph Randall Shapiro"
"","http://www.artic.edu/aic/collections/artwork/80499?search_no=23&index=392","Dorothea and Francesca, 1898","http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000128/169441_1299303.jpg","","","203.5 x 116.8 cm (80 1/8 x 46 in.)","","Oil on canvas","","American","","Cecilia Beaux","Signed lower left: ""Cecilia Beaux""

A. A. Munger Collection"
"","http://www.artic.edu/aic/collections/artwork/131880?search_no=23&index=393","Double-Plated Lamp, c. 1865","http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000094/6030_762414.jpg","","","97.8 cm (38 1/2 in.)","","Cobalt blue opaque white and clear glass gilt bronze and marble
h:","","American","","Boston and Sandwich Glass Company","to top of shade

The Mrs. Maurice H. Mandelbaum Collection"
"","http://www.artic.edu/aic/collections/artwork/119985?search_no=23&index=395","Dr. Jonathan Potts (1745-1781), 1770/76","http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000003/5707_355458.jpg","","","61.6 x 48.9 cm (24 1/4 x 19 1/4 in.)","","Oil on canvas","","American","","Henry Benbridge","Allan and Sallie Bulley Fund"
"","http://www.artic.edu/aic/collections/artwork/64729?search_no=24&index=409","Early Morning, Tarpon Springs, 1892","http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000116/373_1164114.jpg","","","107.2 x 82.2 cm (42 1/8 x 32 3/8 in.)","","Oil on canvas","","American","","George Inness","Signed lower left: ""G. Inness 1892""

Edward B. Butler Collection"
"","http://www.artic.edu/aic/collections/artwork/72320?search_no=25&index=412","Elaine, 1874","http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000131/437_1345331.jpg","","","97.9 x 158.8 cm (38 9/16 x 62 1/2 in.)","","Oil on canvas","","American","","Toby Edward Rosenthal","Signed lower right: ""Toby E. Rosenthal Munich. 1874""

Gift of Mrs. Maurice Rosenfeld"
"","http://www.artic.edu/aic/collections/artwork/97895?search_no=26&index=430","Fire-Eater Raised His Arms, c. 1900","http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000073/4990_625039.jpg","","","69.2 x 102.6 cm (27 1/4 x 40 3/8 in.)","","Oil on canvas","","American","","Frederic Remington","George F. Harding Collection"
"","http://www.artic.edu/aic/collections/artwork/104082?search_no=26&index=434","Fish, 1842","http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000073/5220_623323.jpg","","","17.2 x 27.3 cm (6 3/4 x 10 3/4 in.)","","Oil on panel","","American","","Shepard Alonzo Mount","Restricted gift of Charles C. Haffner III"
"","http://www.artic.edu/aic/collections/artwork/97896?search_no=26&index=433","First and Best Camp of the Trip, 1895","http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000143/4991_1490388.jpg","","","68.9 x 102.6 cm (27 1/8 x 40 3/8 in.)","","Oil on canvas","","American","","Frederic Remington","George F. Harding Collection"
"","http://www.artic.edu/aic/collections/artwork/32596?search_no=26&index=439","Flesh, 1928","http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000073/4160_623545.jpg","","","91.4 x 61 cm (36 x 24 in.)","","Oil on canvas","","American","","Ivan Albright","Signed 1.r.: Ivan Le Lorraine Albright.

Gift of Ivan Albright"
"","http://www.artic.edu/aic/collections/artwork/138?search_no=27&index=441","Flower Girl in Holland, 1887","http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000130/171649_1321650.jpg","","","79.1 x 147.3 cm (31 1/8 x 58 in.)","","Oil on canvas","","American","","George Hitchcock","Signed lower left: ""Geo. Hitchcock op. XXXV 1-8-8-7""

Potter Palmer Collection"
"","http://www.artic.edu/aic/collections/artwork/62275?search_no=27&index=442","Flowers and Lamp, 1942","http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000089/4849_728021.jpg","","","71.1 x 91.4 cm (28 x 36 in.)","","Oil on canvas","","American","","Milton Avery","Mary and Earle Ludgin Collection"
"","http://www.artic.edu/aic/collections/artwork/70038?search_no=27&index=446","From a Day with Juan IV, 1977","http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000073/5446_623197.jpg","","","121.9 x 91.4 cm (48 x 36 in.)","","Oil on canvas","","American","","Georgia O'Keeffe","Alfred Stieglitz Collection bequest of Georgia O'Keeffe"
"","http://www.artic.edu/aic/collections/artwork/156596?search_no=27&index=448","Fruit Piece, 1860","http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000005/7048_359696.jpg","","","50.8 x 60.6 cm (20 x 23 7/8 in.)","","Oil on canvas","","American","","Hannah Brown Skeele","Restricted gifts of Charles C. Haffner III Mrs. Harold T. Martin Mrs. Herbert A Vance and Mrs. Jill B. Zeno; through prior acquisition of the George F. Harding Collection"
"","http://www.artic.edu/aic/collections/artwork/104094?search_no=28&index=452","General Andrew Jackson, 1819","http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000094/5223_760608.jpg","","","50.5 x 47.9 x 22.2 cm (19 7/8 x 18 7/8 x 8 3/4 in.)","","Terracotta","","American","","William Rush","Restricted gift of Jamee J. and Marshall Field the Brooks and Hope B. McCormick Foundation and the Bessie Bennett W. G. Field Ada Turnbull Hertle Laura T. Magnuson and Major Acquisitions funds"
"","http://www.artic.edu/aic/collections/artwork/68931?search_no=28&index=453","George Franklin Archer and the Archer Residence, 1871","http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000128/169405_1298989.jpg","","","62.2 x 76.5 cm (24 1/2 x 30 1/8 in.)","","Oil on canvas","","American","","Charles Spencer Humphreys","Signed lower right by impression in point: ""Chas. S. Humphries. 1871""

Through prior acquisition of the George F. Harding Collection"
"","http://www.artic.edu/aic/collections/artwork/34048?search_no=29&index=464","Golden Sea Garden, c. 1912","http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000073/1491_623743.jpg","","","43.5 x 54.3 cm (16 3/8 x 21 3/8 in.)","","Oil on canvas","","American","","Arthur B. Davies","George F. Porter Collection"
"","http://www.artic.edu/aic/collections/artwork/2895?search_no=29&index=467","Green Mountains, Canada, 1932","http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000094/3269_760716.jpg","","","30.5 x 91 cm (12 x 36 in.)","","Oil on canvas","","American","","Georgia O'Keeffe","Alfred Stieglitz Collection gift of Georgia O'Keeffe"
"","http://www.artic.edu/aic/collections/artwork/81574?search_no=29&index=469","Grey and Silver: Old Battersea Reach, 1863","http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000133/166067_1378332.jpg","","","50.8 x 68.6 cm (20 x 27 in.)","","Oil on canvas","","American","","James McNeill Whistler","Signed lower left: ""Whistler 63""

Gift of Honor� and Potter Palmer"
