"artist_uri","provenance","object_uri","title","imageURL","birth","death","date","dimensions","medium_URI","medium","classification_URI","classification","nationality_URI","nationality","artist_appellation_uri","name","credit"
"","Private collection, house on Mission Hill, milton, Mass.  Mrs. Brundidge of Milton, Mass., or of Hyde Park, ca. 1916.  Adelson Gallery, Boston.  Ira Spanierman, New York.  Drawing Shop-Galerie, now Shepherd Gallery, New York 1966.  On consignment at Kennedy Galleries, New York.  Richard Manoogian, Detroit.  Kennedy Galleries, New York.   Shepherd Gallery, New York 1984.  Private collector, 1984.  Joseph Feldman, Mich., 1984.  His wife, Sally Feldman.  DIA 1993.","","Scene from Macbeth","http://www.dia.org/user_area/comping/1994.36.jpg","1816","1879","c. 1850","36 x 26 in. 91.4 x 66.0 cmFramed: 46 3/4 x 36 3/4 x 3 3/4 in.118.7 x 93.4 x 9.5 cm","","Oil on canvas","","Paintings","","American","","William S. Rimmer","Gift of Sally A. Feldman in memory of Joseph D. Feldman"
"","Private collection, house on Mission Hill, Milton, Mass.Mrs. Brundidge of Milton, Mass., or of Hyde Park, close to Milton, ca. 1916. Adelson Gallery, Boston.Ira Spanierman, New YorkDrawing Shop-Galerie, now Shepherd Gallery, New York, 1966.On consignment at Kennedy Galleries, New York.Richard Manoogian, DetroitKennedy Galleries, New YorkShepherd Gallery, New York, 1984Private collector, 1984Joseph Feldman, Mich., 1984; His wife, Sally Feldman.Acquired in 1993","","Scene from the Tempest","http://www.dia.org/user_area/comping/1994.37.jpg","1816","1879","c. 1850","36 x 26 in.91.4 x 66.0 cm","","Oil on canvas","","Paintings","","American","","William S. Rimmer","Gift of Sally A. Feldman in memory of Joseph D. Feldman"
"","The artist to Emil Rothengatter, New YorkBy Family descent to his great-granddaughter.Adelson Gallery, New York, 1994.Acquired in 1994.","","The Baptism","http://www.dia.org/user_area/comping/1994.88-S1.jpg","1820","1910","1868","19 x 27 in.  (48.3 x 68.6 cm)Framed: 28 1/4 x 36 1/8 x 3 in.","","Oil on canvas","","Paintings","","American","","Thomas Worthington Whittredge","Founders Society Purchase, Robert H. Tannahill Foundation Fund"
"","Maxim Karolik collection, Newport, RI., 1959.  Mr. J. Watson Webb.  His wife, Electra Havemeyer Webb.  Shelburne Museum, Shelburne, Vt. Altman/Burke, New York.  Acquired in 1991.","","Seascape: Sunset","http://www.dia.org/user_area/comping/1995.26-S1.jpg","1819","1904","1861","26 x 44 in.  (66.0 x 111.8 cm)Framed: 39 1/4 x 57 1/4 x 4 1/2 in.","","Oil on canvas","","Paintings","","American","","Martin Johnson Heade","Founders Society Purchase, Robert H. Tannahill Foundation Fund"
"","Robert Barr.  Barr's widow.Kennedy Gallery, New York, through a London dealer who acquired it from Mrs. Barr.Witenagemote Club, Detroit, 1920.Acquired in 1920","","Robert Barr","http://www.dia.org/user_area/comping/20.42.jpg","1834","1903","1894/1895","15 1/2 x 12 3/4 in.  (39.4 x 32.4 cm)Framed: 24 x 22 x 3 in.","","Oil on canvas","","Paintings","","American","","James Abbott McNeill Whistler","Gift of the Witenagemote Club"
"","Gift of Ralph Harmon Booth on 12/31/19.","","Entrance of the Ballet","http://www.dia.org/user_area/comping/20.8.jpg","1878","1957","c. 1904","26 x 32 1/2 in.66.0 x 82.6 cm","","Oil on canvas","","Paintings","","American","","Maurice Sterne","Gift of Ralph Harman Booth"
"","","","Flowers","http://www.dia.org/user_area/comping/2001.36.jpg","1816","1871","c. 1865","35 3/4 x 28 1/2 in.  (90.8 x 72.4 cm)","","Oil on canvas","","Paintings","","American","","Severin Roesen","Founders Society Purchase, gifts from Mr. Hyman M. Beale, Mr. and Mrs. James O. Keene, George G. Booth and various donors by exchange"
"","Presented by the artist through his sister, Mrs. Ellie Stewart Brolemann.DIA in 1921.","","THE GLADE","http://www.dia.org/user_area/comping/21.14.jpg","1855","1919","1900","59 1/2 x 48 in.  (151.1 x 121.9 cm)Framed: 69 1/8 x 57 1/4 x 2 1/2 in.","","Oil on canvas","","Paintings","","American","","Julius L. Stewart","Gift of the artist through his sister, Mrs. Ellie Stewart Brolemann"
"","William McGregor Paxton  (purchased from the artist by the Founders Society, Merrill Fund)DIA in 1921","","Woman Sewing","http://www.dia.org/user_area/comping/21.70-S1.jpg","1869","1941","c. 1913","30 x 25 in.76.2 x 63.5 cmFramed: 42 9/16 x 37 9/16 x 3 in.","","Oil on canvas","","Paintings","","American","","William McGregor Paxton","Founders Society Purchase, Merrill Fund"
"","John Singer Sargentto Frank Bramley, Worcestershire, England, until 1920sold at Christie's London, May 28, 1920, lot 131M. Knoedler & Co., New York, 1920 (lot no. 15064)John Levy Galleries, New York, May 1921DIA in 1921.","","Home Fields","http://www.dia.org/user_area/comping/21.72-S1.jpg","1856","1925","c. 1885","28 3/4 x 38 in.73.0 x 96.5 cmFramed: 37 1/4 x 46 5/8 x 3 1/4 in.with frame: 37 1/4 x 46 3/4 x 2 3/4 in.94.6 x 118.7 x 6.8 cm","","Oil on canvas","","Paintings","","American","","John Singer Sargent","City of Detroit Purchase"
"","Dr. Charles Hitchcock, until 1922.Acquired in 1922","","A Lake in the Mountains","http://www.dia.org/user_area/comping/22.139-S1.jpg","1822","1900","1888","Framed: 29 3/4 x 45 5/8 x 3 1/4 in. (75.57 x 115.89 x 8.26 cm)20 x 36 in.50.8 x 91.4 cm","","Oil  on canvas","","Paintings","","American","","William Louis Sonntag","Gift of Dr. Charles W. Hitchcock"
"","Mary Cassatt, ParisDurand-Ruel, New York Cyrus J. Lawrence, New York American Art Galleries, New York, Cyrus J. Lawrence Sale, 1910. James Stillman, Paris.Dr. Ernest G. Stillman, New YorkDIA in 1922, from an anonymous donor [Dr. Ernest G. Stillman].","","In the Garden","http://www.dia.org/user_area/comping/22.6-S1.jpg","1844","1926","1903/1904","26 3/4 x 32 1/2 in.  (68 x 82.6 cm)Framed: 35 3/4 x 41 7/8 x 3 in. (90.8 x 106.7 x 7.6 cm)","","Oil on canvas","","Paintings","","American","","Mary Cassatt","Gift of Dr. Ernest G. Stillman"
"","Henry Brockholst Ledyard.  To his children, Baroness Von Ketteler, Henry Ledyard, and Hugh Ledyard.  Acquired in 1923.","","Apple Orchard","http://www.dia.org/user_area/comping/23.100.jpg","1825","1894","1892","30 x 45 1/8 in.  (76.2 x 114.6 cm)Framed: 36 1/8 x 51 x 2 1/4 in.  (91.8 x 129.5 x 5.6 cm)","","Oil on canvas","","Paintings","","American","","George Inness","Gift of Baroness von Ketteler, Henry Ledyard and Hugh Ledyard, in memory of Henry Brockholst Ledyard"
"","Jacob H. Schiff,  New York.On consignment, Anderson Galleries, New  York, 1922.Acquired in 1923.","","Hudson River Valley","http://www.dia.org/user_area/comping/23.145-S1.jpg","1825","1894","1867","24 x 34 1/2 in.   (61.0 x 87.6 cm)Framed: 36 1/2 x 46 3/4 x 4 1/4 in.","","Oil on canvas","","Paintings","","American","","George Inness","Founders Society Purchase"
"","Ernest LawsonRichard H. Webber (purchased directly from the artist through his dealer, Charles Daniel).Gift of Richard Webber to DIA in 1923.","","Winter","http://www.dia.org/user_area/comping/23.19-D1.jpg","1873","1939","c. 1920","40 x 50 1/4 in.101.6 x 127.6 cmFramed: 49 5/8 x 59 3/4 x 3 in.","","Oil on canvas","","Paintings","","American","","Ernest Lawson","Gift of Richard H. Webber"
"","Founder's Society Purchase directly from artist, 1924.","","McSorley's Bar","http://www.dia.org/user_area/comping/24.2-D2.jpg","1871","1951","1912","26 x 32 in.66.0 x 81.3 cmFramed: 32 7/8 x 39 1/4 x 3 in.","","Oil on canvas","","Paintings","","American","","John Sloan","Founders Society Purchase, General Membership Fund"
"","Maurice Prendergast until 1924;to Charles Prendergast (brother), 1924; to Daniel Gallery, 1924; purchased by Dexter M. Ferry, Jr., 20 May 1924;to Detroit Museum of Art, 1924.","","Landscape with Figures","http://www.dia.org/user_area/comping/24.30-D1.jpg","1858","1924","c.1918/1923","29 3/4 x 43 in.75.6 x 109.2 cmFramed: 36 1/2 x 49 3/4 x 2 7/8 in.","","Oil on canvas","","Paintings","","American","","Maurice Brazil Prendergast","Gift of Dexter M. Ferry, Jr."
"","George LuksDIA on Feb 18, 1925 (City of Detroit purchase, directly from the artist through his dealer, Macbeth)","","Three Top Sergeants","http://www.dia.org/user_area/comping/25.6-D1.jpg","1867","1933","1925","30 x 36 in. (76.2 x 91.4 cm)Framed: 38 1/4 x 44 1/8 x 2 7/8 in.","","Oil on canvas","","Paintings","","American","","George Benjamin Luks","City of Detroit Purchase"
"","","","Sea Babies","http://www.dia.org/user_area/comping/26.4-S1.jpg","1868","1923","1914","49 x 49 in. (124.5 x 124.5 cm)Frame: 56 3/4 x 56 7/8 x 2 5/8 in.","","Oil on canvas","","Paintings","","American","","Max Bohm","Gift of Dexter M. Ferry, Jr."
"","The sitter's grandson, Thomas A. Sutherland, San Diego; an unidentified descendant, 1926. Gump's Gallery, San Francisco, 1926.  William Macbeth, Inc., New York, 1926.Acquired in 1926.","","Dr. Edward Hudson","http://www.dia.org/user_area/comping/26.89-S1.jpg","1783","1872","1810","29 x 23 3/4 in.  (73.7 x 60.3 cm)Framed: 36 x 31 x 3 in.","","Oil on canvas","","Paintings","","American","","Thomas Sully","City of Detroit Purchase"
"","Formerly in the collection of:The sitter's grandson, Thomas A. Sutherland, San Diego; an unidentified descendant, 1926Gump's Gallery, San Francisco, 1926.William Macbeth, Inc., New York, 1926.Acquired in 1926.","","Mrs. Edward Hudson","http://www.dia.org/user_area/comping/26.90.jpg","1783","1872","1814","29 x 23 3/4 in.  (73.7 x 60.3 cm)Framed: 36 x 31 x 3 in.","","Oil on canvas","","Paintings","","American","","Thomas Sully","City of Detroit Purchase"
"","A. B. Davies John Quinn, New York, purchased in 1915 (conflicting views say it was commissoned and purchased from the artist or purchased from Montross Gallery). Ralph Booth, purchased through the American Art Association Association, New York, Feb. 10, 1927 DIA on Feb. 27, 1927. ","","Dances","http://www.dia.org/user_area/comping/27.158-D1.jpg","1862","1928","1914/1915","84 x 138 in.  (213.4 x 350.5 cm)","","Oil on canvas","","Paintings","","American","","Arthur Bowen Davies","Gift of Ralph Harman Booth"
"","Montross Gallery, ca. 1914; John Quinn, 1915; Estate of John Quinn, 1924; American Art Association, 1927 City of Detroit purchase for DIA, 1927","","Promenade","http://www.dia.org/user_area/comping/27.159-S1.jpg","1858","1924","1914/1915","Framed: 88 5/8 x 139 x 2 5/16 in. (225 x 353.06 x 5.87 cm)85 x 134 in.225.4 x 340.4 cm","","Oil on canvas","","Paintings","","American","","Maurice Brazil Prendergast","City of Detroit Purchase"
"","Colonel Frank J. HeckerDIA in 1927","","Autumn","http://www.dia.org/user_area/comping/27.314-S1.jpg","1849","1925","1893","40 1/2 x 31 1/2 in.102.9 x 80.0 cmFramed: 53 7/16 x 43 15/16 x 2 1/8 in.","","Oil on canvas","","Paintings","","American","","Dwight William Tryon","Bequest of Colonel Frank J. Hecker"
"","Colonel Frank J. HeckerDIA in 1927","","Spring","http://www.dia.org/user_area/comping/27.315.jpg","1849","1925","1893","40 1/2 x 31 1/2 in.102.9 x 80.0 cmFramed: 53 7/16 x 43 7/8 x 2 in.","","Paint on canvas","","Paintings","","American","","Dwight William Tryon","Bequest of Colonel Frank J. Hecker"
"","Colonel Frank J. Hecker (Commissioned for the Hecker home)DIA in 1927","","Summer","http://www.dia.org/user_area/comping/27.316-S1.jpg","1851","1938","1893","50 1/2 x 32 1/2 in.  (128.3 x 82.6 cm)Framed: 63 7/8 x 45 x 2 1/2 in.","","Oil on canvas","","Paintings","","American","","Thomas Wilmer Dewing","Bequest of Colonel Frank J. Hecker"
"","Mrs. Clark Gayton, 1779-1809; Reverend James Pigott, 1809-22, her third husband; Lydia Pigott [Mrs. William Thresher], his daughter, Fareham, Hampshire, England. Captain W. Thresher; R.N., Avenue End, Fareham, Hampshire; Lucy Mabel Thresher, his niece. O'Hagan sale, Christie's, London, November 24, 1922, lot 106.M. Knoedler Co., London.Woolworth sale, American Art Association, January 5-6, 1927, lot 876Metropolitan Galleries, New York, 1927DIA in 1927.","","Mrs. Clark Gayton","http://www.dia.org/user_area/comping/27.556-S1.jpg","1738","1815","1779","50 x 40 in.  (127 x 101.6 cm.)Framed: 58 5/8 x 48 3/4 x 3 7/8 in.","","Oil on canvas","","Paintings","","American","","John Singleton Copley","Gift of Mr. D. J. Healy"
"","Purchased from Susan Macdowell Eakins, the artist's widow, through Clarence W. Cranmer, Philadelphia, in 1930.","","Dr. Horatio C. Wood","http://www.dia.org/user_area/comping/30.296-S1.jpg","1844","1916","1886","64 x 50 in.162.6 x 127.0 cmFramed: 82 1/4 x 68 3/8 x 4 1/2 in.","","Oil on canvas","","Paintings","","American","","Thomas Cowperthwaite Eakins","City of Detroit Purchase"
"","Purchased from the Kraushaar Galleries, New York, in 1930.","","The Promenade","http://www.dia.org/user_area/comping/30.322-D1.jpg","1870","1938","1927","Framed: 38 3/8 x 32 7/16 x 2 1/8 in.  ( 97.5 x 82.4 x 5.4 cm)32 x 25 3/4 in.  (81.3 x 65.4 cm)","","Oil on canvas","","Paintings","","American","","William James Glackens","City of Detroit Purchase"
"","The artist's family until 1917.Purchased by dealer William Macbeth, New York, 1917 (purchased for $600  from American Art Association sale of artist's works).Purchased by dealer Newman Montross, New York, 1923 (through the American Art Association for $325).Mrs. Arthur McGraw, ca. 1923 (most likely from Montross and the above sale) .Gift of Mrs. Arthur McGraw to DIA, 1931.","","My Little Daughter Dorothy","http://www.dia.org/user_area/comping/31.27-S1.jpg","1849","1916","c. 1894","48 x 33 in. (121.9 x 83.8 cm)Framed: 52 3/4 x 37 3/4 x 2 in.","","Oil on canvas","","Paintings","","American","","William Merritt Chase","Gift of Mrs. Arthur McGraw"
"","","","DETROIT INDUSTRY","http://www.dia.org/user_area/comping/33.10-S1.jpg","1886","1957","1932-1933","E. wall upper register left side p: 101 1/2 x 84 in.257.8 x 213.4 cmE. wall upper register right side: 101 1/2 x 84 in.257.8 x 213.4 cmE. wall lower register left side p: 26 7/8 x 73 in.68.3 x 185.4 cmE. wall lower register center pane: 52 1/2 x 313 1/2 in.133.4 x 796.3 cmE. wall lower register right side: 26 7/8 x 73 in.68.3 x 185.4 cmW. wall upper register left side p: 101 1/2 x 84 in.257.8 x 213.4 cmW. wall upper register center pane: 101 1/2 x 313 1/2 in.257.8 x 796.3 cmW. wall upper register right side: 101 1/2 x 84 in.257.8 x 213.4 cmW. wall middle register left side: 26 7/8 x 73 in.68.3 x 185.4 cmW. wall middle register center pan: 52 1/2 x 313 1/2 in.133.4 x 796.3 cmW. wall middle register right side: 26 7/8 x 73 in.68.3 x 185.4 cmW. wall lower register left side p: 204 x 66 1/2 in.518.2 x 169.0 cmW. wall lower register right side: 204 x 67 in.518.2 x 170.2 cmN. wall upper register left side p: 101 1/2 x 84 in.257.8 x 213.4 cmN. wall upper register center pane: 106 x 540 in.269.2 x 1371.6 cmN. wall upper register right side: 101 1/2 x 84 in.257.8 x 213.4 cmN. wall middle register left side: 26 3/4 x 73 in.68.0 x 185.4 cmN. wall middle register center pan: 52 1/4 x 540 in.132.7 x 1371.6 cmN. wall middle register right side: 26 3/4 x 73 in.68.0 x 185.4 cmN. wall lower panel: 212 1/2 x 540 in.539.8 x 1371.6 cmS. wall upper register left side p: 101 1/2 x 84 in.257.8 x 213.4 cmS. wall upper register center pane: 106 x 540 in","","Fresco","","Paintings","","Mexican","","Diego M. Rivera","Gift of Edsel B. Ford"
"","","","Detroit Industry: East Wall","http://www.dia.org/user_area/comping/33.10.E.jpg","1886","1957","1932-1933","","","Fresco","","Paintings","","Mexican","","Diego M. Rivera","Gift of Edsel B. Ford"
"","","","Detroit Industry, North Wall","http://www.dia.org/user_area/comping/33.10.N-S1.jpg","1886","1957","1932-1933","","","Fresco","","Paintings","","Mexican","","Diego M. Rivera","Gift of Edsel B. Ford"
"","","","Detroit Industry, South Wall","http://www.dia.org/user_area/comping/33.10.S.jpg","1886","1957","1932-1933","","","Fresco","","Paintings","","Mexican","","Diego M. Rivera","Gift of Edsel B. Ford"
"","","","Detroit Industry, West Wall","http://www.dia.org/user_area/comping/33.10.W.jpg","1886","1957","1932-1933","","","Fresco","","Paintings","","Mexican","","Diego M. Rivera","Gift of Edsel B. Ford"
"","Theodor Lagerquist (dealer), Berlin, Germany.DIA in 1934.","","View of Detroit in 1836","http://www.dia.org/user_area/comping/34.24-S1.jpg","","","1836/1837","51.  (44.5 x 63.5 cm)","","Oil on canvas","","Paintings","","","","","Gift of the Fred Sanders Company in memory of its founder, Fred Sanders"
"","Alexander Ionides.Alecco Ionides George McCulloch, London, 1895; to his widow, Mrs. Coutts Michie, 1907William O'Leary Fine Arts, Detroit, until 1911.Henry Glover Stevens, Detroit, 1911 Acquired in 1934","","Arrangement in Gray: Portrait of the Painter","http://www.dia.org/user_area/comping/34.27-S4.jpg","1834","1903","c. 1872","Framed: 39 1/2 x 31 9/16 x 2 1/4 in.29 1/2 x 21 in. (74.9 x 53.3 cm)","","Oil on canvas","","Paintings","","American","","James Abbott McNeill Whistler","Bequest of Henry Glover Stevens in memory of Ellen P. Stevens and Mary M. Stevens"
"","Philadelphia Art Union.Western Art Union, Cincinnati.Captain WatermanMrs. E. M. Brady.Dr. and Mrs. James Cleland, Jr.Acquired in 1934","","Domestic Happiness","http://www.dia.org/user_area/comping/34.274-S1.jpg","1822","1902","1849","55 1/4 x 45 3/4 in.  (140.3 x 116.2 cm)Framed: 6' x 57 1/4 x 4","","Oil on canvas","","Paintings","","American","","Lilly Martin Spencer","Bequest of Dr. and Mrs. James Cleland, Jr."
"","John D. Fisher, Boston, 1835Mrs. Samuel Hammond, BostonVose Galleries, Boston, 1935DIA in 1935","","In Nature's Wonderland","http://www.dia.org/user_area/comping/35.119.jpg","1793","1856","1835","24 1/2 x 30 in.62.2 x 76.2 cmFramed: 31 1/8 x 37 1/8 x 2 1/8 in.","","Oil on canvas","","Paintings","","American","","Thomas Doughty","Founders Society Purchase, Gibbs-Williams Fund"
"","Fomerly in the collection of:The artist's son, William S. Page, 1893; his son, George S. Page, Pittsburgh, 1936 (owned jointly with his wife, Delilla B. Page, his sons, Blinn S. Page, Grosse Pointe Park, Michigan and Lowell Briggs Page, and his daughter, Mrs. Leslie Stockton Howell, Philadelphia).Gift of George S. Page, Blinn S. Page, Lowell Briggs Page, and Mrs. Leslie Stockton Howell in 1937.","","Self Portrait","http://www.dia.org/user_area/comping/37.60-S1.jpg","1811","1885","1860/1861","59 x 36 in.  (149.9 x 91.4 cm)Framed: 67 3/8 x 44 x 4 1/4 in.  ( 170.8 x 111.8 x 10.8 cm)","","Oil on canvas","","Paintings","","American","","William Page","Gift of Mr. and Mrs. George S. Page, Blinn S. Page, Lowell Briggs Page and Mrs. Leslie Stockton Howell"
"","Fomerly in the collection of:The artist's son, William S. Page, 1893; his son, George S. Page, Pittsburgh, 1936 (owned jointly with his wife, Delilla B. Page, his sons, Blinn S. Page, Grosse Pointe Park, Michigan and Lowell Briggs Page, and his daughter, Mrs. Leslie Stockton Howell, Philadelphia).Acquired in 1937","","Mrs. William Page","http://www.dia.org/user_area/comping/37.61-S1.jpg","1811","1885","1860/1861","60 1/4 x 36 1/4 in.  (153.0 x 92.1 cm)Framed: 67 3/8 x 44 x 4 1/4 in.  ( 170.8 x 111.8 x 10.8 cm)","","Oil on canvas","","Paintings","","American","","William Page","Gift of Mr. and Mrs. George S. Page, Blinn S. Page, Lowell Briggs Page and Mrs. Leslie Stockton Howell"
"","The  A. B. Frost Family.Sold from the collection of Henry W. Lanier, American Art Association, Anderson Galleries, Inc., New York, Feb 11, 1937, lot 102.Purchased by Dr. Karl Lilienfeld, Lilienfeld Galleries, New York, for the Detroit Institute of Arts.Acquired in 1937.","","Arthur B. Frost","http://www.dia.org/user_area/comping/37.69-S1.jpg","","","c. 1886","27 x 22 1/4 in. (68.6 x 56.5 cm)Framed: 29 7/8 x 22 5/8 x 2 5/8 in.","","Oil on canvas","","Paintings","","American",""," Anonymous","Gift of Dexter M. Ferry, Jr."
"","Purchased from Frederic Frazier, Inc., New  York.Acquired in 1938.","","In the Fields","http://www.dia.org/user_area/comping/38.1-S1.jpg","1824","1906","c. 1878/1880","17 3/4 x 27 1/2 in.  (45.1 x 69.9cm)Framed: 23 1/8 x 32 13/16 x 2 1/4 in.","","Oil on board","","Paintings","","American","","Eastman Johnson","Founders Society Purchase, Dexter M. Ferry Fund"
"","Formerly in the collection of:The sitter's great-grand-daughter, Mrs. Charles H. Metcalf, Detroit.Acquired in 1938.","","John Trumbull","http://www.dia.org/user_area/comping/38.13-S1.jpg","1756","1843","1793","30 x 24 in.   (76.2 x 61.0 cm)Framed: 35 3/4 x 30 3/4 x 2 7/8 in.","","Oil on canvas","","Paintings","","American","","John Trumbull","Founders Society Purchase, Dexter M. Ferry, Jr. Fund"
"","The artist's descendants.Charles Q. Archdeacon, Stony Brook, New YorkCharles J. Werner, Stony Book, New York, until 1917.Norman Hirschl (dealer), New York, 1938Acquired in 1938.","","The Banjo Player","http://www.dia.org/user_area/comping/38.60.jpg","1807","1868","1850/1855","25 x 30 in.  (63.5 x 76.2 cm)Framed: 31 9/16 x 36 3/8 x 3 1/8 in.","","Oil on canvas","","Paintings","","American","","William Sydney Mount","Gift of Dexter M. Ferry, Jr."
"","Dalzell Hatfield (dealer), Los Angeles, 1938DIA in 1939","","Monument Mountain, Berkshires","http://www.dia.org/user_area/comping/39.6-S1.jpg","1796","1886","1855/1860","28 x 42 in.  (71.1 x 106.7 cm)Framed: 43 1/4 x 57 5/8 x 6 3/8 in.","","Oil on canvas","","Paintings","","American","","Asher Brown Durand","Founders Society Purchase, Dexter M. Ferry, Jr. Fund"
"","Thomson Gallery, 1939Acquired in 1939.","","Still Life with Wine Glass","http://www.dia.org/user_area/comping/39.7-S1.jpg","1774","1825","1818","10 1/4 x 13 5/8 in.  (26.0 x 34.6 cm)Framed: 15 7/8 x 19 3/8 x 2 1/4 in.","","Oil on panel","","Paintings","","American","","Raphaelle Peale","Founders Society Purchase, Laura H. Murphy Fund"
"","Mr. and Mrs. Charles Savage Homer, Jr.Mr. Arthur Homer.Macbeth Galleries, New York.Acquired in 1940.","","Girl and Laurel","http://www.dia.org/user_area/comping/40.56-S1.jpg","1836","1910","1879","22 5/8 x 15 3/4 in.57.5 x 40.0 cmwith frame: 28 1/4 x 21 1/4 x 1 7/8 in.71.6 x 53.8 x 4.8 cm","","Oil on canvas","","Paintings","","American","","Winslow Homer","Gift of Dexter M. Ferry, Jr."
"","Mr. and Mrs. William d. Biggers, until 1941.Acquired in 1941.","","Crow's Nest","http://www.dia.org/user_area/comping/41.12-S1.jpg","1820","1910","1848","39 3/4 x 56 in  (101.0 x 142.2 cm)Framed: 51 7/8 x 68 5/16 x 3 3/8 in.","","Oil on canvas","","Paintings","","American","","Thomas Worthington Whittredge","Gift of Mr. and Mrs. William D. Biggers"
"","John Montresor (the sitter), Belmont, Facersham, KentSir H. T. Montresor (his son), Dene Hill, KentLt. Col. H. E. MontresorCharles M. Montresor (his brother), Stoneley GrangeLt. Col. E. H. Montresor (his son)Mrs. Joan Montresor Read (his daughter) The Montresor Family Howard YoungFeragil Galleries, New York, 1941DIA in 1941.","","Colonel John Montresor","http://www.dia.org/user_area/comping/41.37-S1.jpg","1738","1815","c. 1771","30 x 25 in.76.2 x 63.5 cmFramed: 38 x 33 x 3 1/2 in.","","Oil on canvas","","Paintings","","American","","John Singleton Copley","Founders Society Purchase, Gibbs-Williams Fund"
"","The sitter's grandnephew, William Bradley, Greenfield Hill, Fairfield, Connecticut, 1948; his daughter, Mrs. E. B. Morehouse, Greenfield Hill; her son, Louis E. Morehouse, Westport, Connecticut, 1941Acquired in 1941","","Lucy Bradley","http://www.dia.org/user_area/comping/41.4-S1.jpg","1751","1801","1794","44 1/8 x 31 1/4 in.112.1 x 79.5 cmframed 52 x 39 5/8 x 3 in","","Oil on canvas","","Paintings","","American","","Ralph Earl","Founders Society Purchase, Dexter M. Ferry, Jr. Fund"
"","Malcolm Sands Wilson, New York, 1940John Levy Galleries, New York, 1941Acquired in 1941","","Jacob Houseman","http://www.dia.org/user_area/comping/41.55-S1.jpg","1780","1840","1809","34 x 26 1/2 in.  (86.4 x 67.3 cm)Framed: 42 1/2 x 35 x 3 5/8 in.","","Oil on wood panel","","Paintings","","American","","John Wesley Jarvis","Gift of Dexter M. Ferry, Jr."
"","Formerly in the collection of:Dexter M. Ferry, Detroit; Mrs. Blanche Ferry Hooker, Detroit, 1941.Acquired in 1941.","","Prairie Indian Encampment","http://www.dia.org/user_area/comping/41.63-S1.jpg","1814","1872","c. 1870","9 1/8 x 14 1/8 in. (23.2 x 35.9 cm)Framed: 12 3/8 x 17 3/8 x 1 1/2 in.","","Oil on canvas","","Paintings","","American","","John Mix Stanley","Gift of Mrs. Blanche Ferry Hooker"
"","Formerly in the Collection of:Blanche Ferry Hooker, Detroit, 1941.Acquired in 1941.","","Chinook Burial Grounds","http://www.dia.org/user_area/comping/41.64-D1.jpg","1814","1872","c. 1870","9 1/8 x 14 1/8 in. (23.2 x 35.9 cm)Frame: 12 3/8 x 17 3/8 x 1 1/2","","Oil on canvas","","Paintings","","American","","John Mix Stanley","Gift of Mrs. Blanche Ferry Hooker"
"","Formerly in the collection of:The sitter's family.John Levy Galleries, New York, 1942Acquired in 1942","","General William North","http://www.dia.org/user_area/comping/42.117-S1.jpg","1741","1827","1785","Framed: 31 1/8 x 27 1/8 x 3 15/16 in. (79.06 x 68.9 x 10 cm)23 x 19 in.58.4 x 48.3 cm","","Oil on canvas","","Paintings","","American","","Charles Willson Peale","Gift of Dexter M. Ferry, Jr."
"","Downtown Gallery, New York.Mrs. Lillian Henkel Haass, 1932.Acquired in 1943.","","Sleighing Scene","http://www.dia.org/user_area/comping/43.28.jpg","1836","1897","1873","Framed: 22 3/4 x 28 5/8 x 2 3/16 in. (57.79 x 72.71 x 5.56 cm)18 1/8 x 24 1/4 in.46.0 x 61.6 cm","","Oil on canvas","","Paintings","","American","","Martin Edgar Ferrill","Gift of Mrs. Lillian Henkel Haass"
"","John Gray, 1766-82Judge John Gray Otis, Boston, 1873Judge John Gray Rodgers, Boston, 1899The Misses Rogers, by 1908Mrs. W. Arthur Dupee, 1928-43M. Knoedler Co., New York, 1943DIA in 1943.","","John Gray","http://www.dia.org/user_area/comping/43.30-S1.jpg","1738","1815","1766","49 3/8 x 39 1/4 in.  (125.6 x 99.9 cm)Framed: 56 3/8 x 46 3/8 x 3 1/4 in.","","Oil on canvas","","Paintings","","American","","John Singleton Copley","Founders Society Purchase, Gibbs-Williams Fund"
"","Samuel A. Eliot (Mayor of Boston, commissioned this work)the family of Mrs. S. A. Eliot, 1876Mrs. Henry W. Foote, Boston, 1881Mrs. Roger B. Merriman (dealer), Boston, 1943DIA in 1943 (gift of Dexter M. Ferry, Jr.)","","Italian Landscape","http://www.dia.org/user_area/comping/43.31-S1.jpg","1779","1843","1828/1830","30 1/4 x 25 1/4 in.  (76.8 x 64.1 cm)Framed: 35 1/4 x 30 3/16 x 3 5/8 in.","","Oil on canvas","","Paintings","","American","","Washington Allston","Founders Society Purchase, Dexter M. Ferry, Jr. Fund"
"","Formerly in the collection of:Joseph Patterson; the Patterson family, Pittsburgh.A.F. Mondschein (dealer), New York.Acquired in 1943.","","Two Ruffed Grouse in Underbrush","http://www.dia.org/user_area/comping/43.41-S1.jpg","1784","1865","1864","19 1/4 x 27 1/4 in.48.9 x 69.2 cmFramed: 22 9/16 x 30 1/2 x 1 3/4 in.","","Oil on canvas","","Paintings","","American","","Rubens Peale","Gift of Dexter M. Ferry, Jr."
