"artistURI","objectURI","artworkTitle","birthDate","deathDate","dateOfStartOfCreation","dateOfEndOfCreation","dimensions","medium_URI","medium","classification_URI","classification","nationality_URI","nationality","artistAppellationURI","artistName","creditLine"
"","","Portrait of a Man","1823","1890","1850?","1850?","26 1/2 x 19 3/4 in. (66.5 x 49 cm)","","Oil on canvas","","Paintings","","American","","Formerly attributed to Thomas Hicks","Gift of The Chester Dale Collection, 1955"
"","","Elegy Number 12 (After MH's Iron Cross)","1961","MetDoesntKnow","1992","1992","H. 11, W. 11 inches (27.9 x 27.9 cm.)","","Oil on Masonite","","Paintings","","American","","Anthony Viti","George A. Hearn Fund, 1993"
"","","Undulation Series","1916","1992","1941?","1944","H. 23, W. 31-1/2 inches (58.4 x 80 cm.)","","Gouache, watercolor, and ink on paper","","Drawings","","American","","Richard Pousette-Dart","Anonymous Gift, 1991"
"","","From the Faraway, Nearby","1887","1986","1937","1937","36 x 40 1/8 in. (91.4 x 101.9 cm)","","Oil on canvas","","Paintings","","American","","Georgia O'Keeffe","Alfred Stieglitz Collection, 1959"
"","","Untitled Grey Number 11","1955","MetDoesntKnow","1987","1987","H. 72, W. 96 inches (182.9 x 243.8 cm.)","","Oil, enamel acrylic on canvas","","Paintings","","American","","Lydia Dona","Gift of Phyllis A. Goldman, 1988"
"","","The Student","1783","1872","1839","1839","23 1/2 x 19 1/2 in. (59.7 x 49.5 cm)","","Oil on canvas","","Paintings","","American","","Thomas Sully","Bequest of Francis T. Sully Darley, 1914"
"","","Daniel Crommelin Verplanck","1738","1815","1771","1771","49 1/2 x 40 in. (125.7 x 101.6 cm)","","Oil on canvas","","Paintings","","American","","John Singleton Copley","Gift of Bayard Verplanck, 1949"
"","","Untitled","1904","1989","1961","1961","H. 56, W. 48 inches (142.2 x 121.9 cm.)","","Oil on canvas","","Paintings","","MetDoesntKnow","","Giorgio Cavallon","Gift of Lari Stanton, 1986"
"","","Musidora","1783","1872","1813","1835","28 1/8 x 22 1/2 in. (71.4 x 57.2 cm)","","Oil on wood","","Paintings","","American","","Thomas Sully","Gift of Louis Allston Gillet, in memory of his uncles, Sully Gillet and Lorenzo M. Gillet, 1921"
"","","Martha Washington","1749","1831","1782","1782","1 1/2 x 1 in. (3.8 x 2.5 cm)","","Watercolor on ivory","","Paintings","","American","","James Peale","Purchase, Lila Acheson Wallace Gift, 2006"
"","","Goat","1880","1946","1935","1935","23 x 31 in. (58.4 x 78.7 cm)","","Oil on canvas, with selective varnish","","Paintings","","American","","Arthur Dove","Alfred Stieglitz Collection, 1949"
"","","Fairfield Osborn","1892","1959","null","null","H. 40, W. 32-1/2 inches (101.6 x 82.6 cm.)","","Oil on canvas","","Paintings","","American","","John Carroll","Gift of Mrs. Loretta H. Howard, 1959"
"","","Still Life with Two Figures","1955","MetDoesntKnow","1984","1984","H. 34-1/4, W. 34-1/4 inches (87 x 87 cm.)","","Oil on canvas","","Paintings","","American","","Sam Messer","Gift of Barbara and Eugene Schwartz, 1985"
"","","The Greatest Show on Earth","1953","MetDoesntKnow","1987","1987","H. 72, W. 96 inches (183.9 x 243.8 cm.)","","Oil on etched wood","","Paintings","","American","","Paul Marcus","The Metropolitan Museum of Art, New York George A. Hearn Fund, 1988"
"","","Key of Agenor III","1922","2007","1981","1981","H. 31, W. 23 inches (78.7 x 58.4 cm.)","","Oil base enamel on paper","","Drawings","","MetDoesntKnow","","Jules Olitski","George A. Hearn Fund, 1983"
"","","Rushing Water","1856","1925","1901?","198","14 x 9 15/16 in. (35.6 x 25.2 cm)","","Watercolor, gouache, and graphite on white wove paper","","Drawings","","American","","John Singer Sargent","Gift of Mrs. Francis Ormond, 1950"
"","","William M. Chase, N. A.","1856","1925","1902","1902","62 1/2 x 41 3/8 in. (158.8 x 105.1 cm)","","Oil on canvas","","Paintings","","American","","John Singer Sargent","Gift of the Pupils of Mr. Chase, 1905"
"","","My Father's Sketch Pad","1947","MetDoesntKnow","1987","1987","H. 66, W. 80 inches (167.6 x 203.2 cm.)","","Oil on canvas","","Paintings","","American","","Melissa Meyer","Gift of Mr. and Mrs. Charles A Krasne, 1987"
"","","The Flatiron Building","1884","1930","1919","1919","H. 40, W. 34 inches (101.6 x 86.4 cm.)","","Oil on canvas","","Paintings","","American","","Samuel Halpert","Gift of Dr. and Mrs. Wesley Halpert, 1981"
"","","On Point","1819","1905","1874","1874","10 x 13 3/4 in. (25.4 x 34.3 cm)","","Oil on wood","","Paintings","","MetDoesntKnow","","Arthur Fitzwilliam Tait","Gift of Mrs. J. Augustus Barnard, 1979"
"","","Mr. and Mrs. Anson Phelps Stokes","1855","1942","1898?","1898?","72 1/16 x 39 7/8 in. (183 x 101.3 cm)","","Oil on canvas","","Paintings","","American","","Cecilia Beaux","Gift of the family of the Rev. and Mrs. Anson Phelps Stokes, 1965"
"","","The Dog Killer","1800?","1880","1870s","1870s","6 1/8 x 9 1/4 in. (15.6 x 23.5 cm)","","Oil on slate paper","","Paintings","","American","","William P. Chappel","The Edward W. C. Arnold Collection of New York Prints, Maps, and Pictures, Bequest of Edward W. C. Arnold, 1954"
"","","Interior","1884","1930","1917?","1917?","H. 20, W. 16-1/8 inches (50.8 x 41 cm.)","","Oil on canvas","","Paintings","","American","","Samuel Halpert","Gift of Carolyn and Dr. Wesley Halpert, 1993"
"","","Berg's Ship Yard","1800?","1880","1870s","1870s","6 1/8 x 9 1/8 in. (15.6 x 23.2 cm)","","Oil on slate paper","","Paintings","","American","","William P. Chappel","The Edward W. C. Arnold Collection of New York Prints, Maps, and Pictures, Bequest of Edward W. C. Arnold, 1954"
"","","Aeroplane Synchromy in Yellow-Orange","1890","1973","1920","1920","24 1/4 x 24 in. (61.6 x 61 cm)","","Oil on canvas","","Paintings","","American","","Stanton Macdonald-Wright","Alfred Stieglitz Collection, 1949"
"","","Florida Seascape","1912","1963","1945","1945","H. 14-1/4, W. 19-3/4 inches (36.2 x 50.2 cm.)","","Gouache, ink, and watercolor on paper","","Drawings","","American","","William Baziotes","George A. Hearn Fund, 1946"
"","","Design for 4 seat Phaeton, no top, no. 3390","MetDoesntKnow","MetDoesntKnow","1878","1878","Sheet: 6 3/16 x 9 1/4 in. (15.7 x 23.5 cm)","","Pen and black ink, watercolor and guache with gum arabic","","Drawings","","American","","Brewster","Gift of William Brewster, 1923"
"","","General George Eliott","1761","1831","1790","1790","98 3/16 x 64 3/8 in. (249.4 x 163.5 cm)","","Oil on canvas","","Paintings","","American","","Mather Brown","Purchase, 2003 Benefit Fund; Morris K. Jesup, Maria DeWitt Jesup, Dale T. Johnson, John Osgood and Elizabeth Amis Cameron Blanchard and Joel B. Leff Charitable Funds; Iola Haverstick, Dorothy Schwartz and David Hicks Gifts; and Gift of Alice and Evelyn Blight and Mrs. William Payne Thompson, by exchange, 2004"
"","","Midnight","1859","1937","1930?","1930?","18 3/8 x 24 1/2 in. (46.7 x 62.2 cm)","","Oil on canvas","","Paintings","","American","","Alexander Shilling","Anonymous Gift, 1938"
"","","Storm Clouds","1880","1946","1935","1935","15 x 21 1/8 in. (38.1 x 53.7 cm)","","Wax emulsion on canvas in artist-made frame","","Paintings","","American","","Arthur Dove","The Muriel Kallis Steinberg Newman Collection, Gift of Muriel Kallis Newman, 2006"
"","","Still Life","1949","MetDoesntKnow","1982","1982","H. 62, W. 46 inches (157.5 x 116.8 cm.)","","Oil on canvas","","Paintings","","American","","Mark Tansey","Purchase, Louis and Bessie Adler Foundation Inc. Gift (Seymour M. Klein, President), 1982"
"","","Pigeon Walking in a Park","1945","MetDoesntKnow","1980","1980","H. 24-7/8, W.18-7/8 inches (63 x 47.8 cm.)","","Oil on photograph on wood","","Paintings","","American","","Gwen Thomas","Purchase, Mrs. Muriel Palitz Gift, 1980"
"","","Warships in the Harbor","1857","1926","1923?","1923?","7 x 9 7/8 in. (17.8 x 25.1 cm)","","Watercolor, charcoal, and gouache on off-white wove paper","","Drawings","","American","","Joseph Pennell","Gift of Bartlett Arkell, 1942"
"","","Cottage Garden, Warwick, England","1853","1929","null","null","13 7/8 x 10 in. (35.2 x 25.4 cm)","","Watercolor, gouache, and graphite on off-white wove paper","","Drawings","","American","","Edmund Henry Garrett","Gift of Mr. and Mrs. Stuart P. Feld, 1977"
"","","White Abstraction","1882","1952","1935","1935","H. 39, W. 33 inches (99.1 x 83.8 cm.)","","Oil on canvas","","Paintings","","American","","Arthur B. Carles","Gift of The Woodward Foundation, 1976"
"","","1950-W","1904","1980","1950","1950","H. 69-3/4, W. 42 inches (177.2 x 106.7 cm.)","","Oil on canvas","","Paintings","","American","","Clyfford Still","Gift of Mrs. Clyfford Still, 1986"
"","","Untitled (Four Figures)","1917","2010","1951?","1951?","21 1/4 x 18 1/4 in. (54 x 46.4 cm)","","Enamel on paper, mounted on linen","","Paintings","","American","","Nicolas Carone","The Muriel Kallis Steinberg Newman Collection, Gift of Muriel Kallis Newman, 2006"
"","","Landscape No. 25","1877","1943","1908-09?","1908-09?","12 x 12 in. (30.5 x 30.5 cm)","","Oil on commercially prepared paperboard","","Paintings","","American","","Marsden Hartley","Alfred Stieglitz Collection, 1949"
"","","Sketch for the Curtain of L'Opera de Quat' Sous","1899","1972","1917","1917","H. 10-7/8, W. 15-3/4 inches (27.6 x 40 cm.)","","Gouache on paper","","Drawings","","MetDoesntKnow","","Eugene Berman","Gift of Elisabeth I. Campbell Clarke, 1965"
"","","Miss Ross","1749","1831","1791","1791","Sight: 2 x 1 9/16 in. (5.1 x 4 cm)","","Watercolor on ivory","","Paintings","","American","","James Peale","Fletcher Fund, 1941"
"","","The Reverend William Lupton Johnson","1807","1893","1834","1834","1 5/8 x 1 5/16 in. (4.2 x 3.3 cm)","","Watercolor on ivory in gilded copper case; hair reserve verso","","Paintings","","MetDoesntKnow","","John Wood Dodge","Gift of Gloria Manney, 2006"
"","","Autumn Meadows","1825","1894","1869","1869","30 x 45 1/2 in. (76.2 x 115.6 cm)","","Oil on canvas","","Paintings","","American","","George Inness","Gift of Walter Knight Sturges, 1974"
"","","Painting","1907","1977","1950","1950","H. 50, W. 36 inches (127 x 91.4 cm.)","","Oil on canvas","","Paintings","","American","","Charles Henry Alston","Arthur Hoppock Hearn Fund, 1951"
"","","Castel San Elmo (from Cropsey Album)","1823","1900","1848","1848","6 7/8 x 9 9/16 in. (17.5 x 24.3 cm)","","Graphite, white gouache, and watercolor on dark buff-colored wove paper","","Drawings","","American","","Attributed to Jasper Francis Cropsey","Purchase, Charles and Anita Blatt Gift, 1970"
"","","A Window at Night","1869","1944","1933?","1933?","44 x 26 1/4 in. (111.8 x 66.3 cm)","","Oil on canvas","","Paintings","","American","","Anne Goldthwaite","George A. Hearn Fund, 1938"
"","","Untitled (Drummer on Grey Ground)","1950","MetDoesntKnow","1974","1977","H. 10-7/8, W. 8-1/2 inches (25.4 x 20.3 cm.)","","Watercolor, gouache and graphite on paper","","Drawings","","American","","Robin Winters","Purchase, Louis and Bessie Adler Foundation, Inc. Gift (Seymour M. Klein, President), 1988"
"","","Repairing the Bridge","1879","1931","1913","1913","29 7/8 x 35 5/8 in. (75.9 x 90.5 cm)","","Oil on canvas","","Paintings","","American","","Robert Spencer","George A. Hearn Fund, 1914"
"","","Seated Nude","1877","1949","1926?","1928","H. 24-1/8, W. 19-3/4 inches (61.3 x 50.2 cm.)","","Oil on cardboard, adhered to wood","","Paintings","","American","","Walt Kuhn","Gift of Carl D. Lobell, 1995"
"","","John Cox","1787","1830","1810?","1810?","2 17/32 x 2 1/16 in. (6.4 x 5.2 cm)","","Watercolor on ivory in gold-colored metal locket with finial; hair reserve verso","","Paintings","","American","","Henry Williams","Maria DeWitt Jesup Fund, 1985"
"","","Fay Chandler","1946","MetDoesntKnow","1983","1983","H. 30, w. 30 inches (76.2 x 76.2 cm.)","","Oil on mat board","","Drawings","","American","","Ralph Hamilton","Purchase, Robert E. Grow Gift, 1985"
"","","Where am I?","1964","MetDoesntKnow","2003","2003","10 1/2 x 10 3/4 in. (26.7 x 27.3 cm)","","Watercolor and gouache on paper","","Drawings","","MetDoesntKnow","","Enrique Martinez Celaya","Gift of Dieter and Si Rosenkranz, 2003"
"","","Black Iris","1887","1986","1926","1926","36 x 29 7/8 in. (91.4 x 75.9 cm)","","Oil on canvas","","Paintings","","American","","Georgia O'Keeffe","Alfred Stieglitz Collection, 1969"
"","","Spring Woods","1858","1916","1895?","1900","28 1/4 x 36 in. (71.8 x 91.4 cm)","","Oil on canvas","","Paintings","","American","","Henry Ward Ranger","Gift of George A. Hearn, 1906"
"","","Union League","1873","1948","null","null","18 3/4 x 20 in. (47.6 x 50.8 cm)","","Charcoal and white gouache on off-white wove paper","","Drawings","","American","","Wallace Morgan","The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1950"
"","","Bermuda Bound","1916","MetDoesntKnow","1940?","1940?","H. 11-1/4, W. 7-5/8 inches (28.6 x 19.4 cm.)","","Gouache on paper","","Drawings","","American","","Gladys Kleinman","Gift of New York City W. P. A., 1943"
"","","Blindman's Buff","MetDoesntKnow","MetDoesntKnow","1982","1983","H. 72, W. 47 inches (182.9 x 119.4 cm.)","","Oil on canvas","","Paintings","","American","","Komar","Anonymous Gift, 1991"
"","","Desert","1901","1994","1948","1948","H. 11-1/2, W. 15-5/8 inches (29.2 x 39.7 cm.)","","Gouache, watercolor, and ink on paper","","Drawings","","American","","Dorothy Dehner","Gift of the Dorothy Dehner Foundation for the Visual Arts, 1997"
"","","Painted Newsprint","1910","1962","1948","1950","H. 30, W. 40 inches (76.2 x 101.6 cm.)","","Oil on newspaper, mounted on gessoed Masonite","","Drawings","","American","","Franz Kline","Gift of Mr. and Mrs. William B. Jaffe, 1964"
"","","Design for interior wall of Hershey Theatre, Hershey, Pennsylvania","1848","1933","1915?","1915?","Overall: 25 7/8 x 32 3/16 in. (65.7 x 81.8 cm) Design: 23 15/16 x 27 9/16 in. (60.8 x 70 cm)","","Watercolor, gouache, pen and black ink, aluminum paint and bronze powder ink, and graphite on artist board with original shaped window mat","","Drawings","","American","","Louis Comfort Tiffany","Purchase, Walter Hoving and Julia T. Weld Gifts and Dodge Fund, 1967"
"","","Gift Wrapped Doll #23","1933","MetDoesntKnow","1993","1993","H. 60, W. 60 inches (152.4 x 152.4 cm.)","","Oil on canvas","","Paintings","","American","","James Rosenquist","Purchase, Lila Acheson Wallace Gift, 1993"
"","","Four Seasons","1848","1933","1897?","1897?","Overall: 29 5/16 x 18 9/16 in. (74.5 x 47.2 cm) Other (Design): 24 7/8 x 18 7/16 in. (63.2 x 46.8 cm)","","Watercolor, gouache, graphite, and red earth chalk pencil on on white wove paper formerly overmatted with original warm grey window matt","","Drawings","","American","","Louis Comfort Tiffany","Purchase, Walter Hoving and Julia T. Weld Gifts and Dodge Fund, 1967"
"","","Black and Brown Blouse","1927","MetDoesntKnow","1976","1976","H. 72, W. 60 inches (182.9 x 152.4 cm.)","","Oil on canvas","","Paintings","","American","","Alex Katz","George A. Hearn Fund, 1978"
"","","Design for a mosaic or a window","1848","1933","late19th","early20thcentury","Overall: 15 3/4 x 6 15/16 in. (40 x 17.7 cm) Other (Design): 16 1/8 x 5 5/16 in. (41 x 13.5 cm)","","Watercolor, gouache, and graphite on textured white wove paper mounted to warm grey matt board","","Drawings","","American","","Louis Comfort Tiffany","Purchase, Walter Hoving and Julia T. Weld Gifts and Dodge Fund, 1967"
"","","Frank O'Brian","1922","1991","1960?","1960?","H. 24, W. 18 inches (61 x 45.7 cm.)","","Oil on pre-primed canvas glued to Masonite","","Paintings","","American","","Leland Bell","Gift of Diane L. Ackerman, in memory of her husband, Martin S. Ackerman, 1993"
"","","Golden Afternoon","1859","1935","1908","1908","30 1/16 x 40 3/8 in. (76.4 x 102.6 cm)","","Oil on canvas","","Paintings","","American","","Childe Hassam","Rogers Fund, 1911"
"","","The Artist in his Studio","1918","2002","1979","1979","H. 64, W. 45 inches (162.4 x 114.2 cm.)","","Oil on canvas","","Paintings","","American","","Warren Brandt","Purchase, Eric W. Goldman Gift, 1980"
"","","October Seas","1877","1947","1910","1910","H. 36-1/8, W. 48-1/8 inches (91.8 x 122.2 cm.)","","Oil on canvas","","Paintings","","American","","Paul Dougherty","George A. Hearn Fund, 1911"
"","","Olive Trees at Tivoli","1825","1894","1873","1873","7 x 12 3/8 in. (17.8 x 31.4 cm)","","Gouache, watercolor, and graphite on blue wove paper with colored fibers","","Drawings","","American","","George Inness","Morris K. Jesup Fund, 1989"
"","","Clam Shell","1887","1986","1930","1930","24 x 36 in. (61 x 91.4 cm)","","Oil on canvas","","Paintings","","American","","Georgia O'Keeffe","Alfred Stieglitz Collection, 1962"
"","","Snap the Whip","1836","1910","1872","1872","12 x 20 in. (30.5 x 50.8 cm)","","Oil on canvas","","Paintings","","American","","Winslow Homer","Gift of Christian A. Zabriskie, 1950"
"","","Jack of Hearts","1926","MetDoesntKnow","1974","1974","H. 37-3/4, W. 26-1/8, D.1-3/4 inches (95.9 x 66.4 x 4.4 cm.)","","Wood, oil, cloth, nails, nut and bolt","","Sculpture","","American","","Varujan Boghosian","Purchase, W. N. Banks Foundation Inc. Gift, 1986"
"","","Place of Mystery","1961","MetDoesntKnow","2000","2000","22 1/2 x 14 1/2 in. (57.2 x 36.8 cm)","","Oil, cut fabric and papers, and wax on paper","","Drawings","","American","","Tremain Smith","Purchase, Gift of the Glickstein Foundation, by exchange, 2000"
"","","Once","1947","MetDoesntKnow","1990","1990","H. 48, W. 48 inches (121.9 x 121.9 cm.)","","Oil on canvas","","Paintings","","American","","Nancy Haynes","Purchase, Anonymous Gift, 1990"
"","","Torso with Bandanna","1942","1994","1975","1975","H. 6, W. 4 inches (15.2 x 10.2 cm.)","","Cut and pasted printed paper, gouache, colored pencil, and ink stamp on paper","","Drawings","","American","","Joe Brainard","Gift of Stanley Posthorn, in memory of the artist, 1997"
"","","Lee Krasner","1911","2012","1930?","1930?","H. 24, W. 30 inches (61 x 76.2 cm.) Unframed","","Oil on canvas","","Paintings","","American","","Eda Mirsky Mann","Gift of the artist, 1988"
"","","The Adjustment of Conflicting Interests: Count Raymond of Toulouse Swears at the Altar to Observe the Liberties of the City;� Color Study for Mural, Supreme Court Room, Minnesota State Capitol,� Saint Paul","1835","1910","1903","1903","7 1/8 x 11 1/4 in. (18.1 x 28.6 cm)","","Gouache, watercolor, and graphite on white wove paper","","Drawings","","American","","John La Farge","Bequest of Susan Dwight Bliss, 1966"
"","","Stream and Rocks","1856","1925","1901?","198","10 x 14 in. (25.4 x 35.6 cm)","","Watercolor, gouache, and graphite on white wove paper","","Drawings","","American","","John Singer Sargent","Gift of Mrs. Francis Ormond, 1950"
"","","The Valley of Vision: A Book of Romance and Some Half-Told Tales","1867","1944","1919","1919","7 11/16 x 5 x 1 1/2 in. (19.5 x 12.7 x 3.8 cm)","","illustrations: photomechanical reproductions of wood engravings, watercolors and paintings","","Books","","American","","Binding designed by Margaret Neilson Armstrong","Gift of Constance C. McPhee, 2012"
"","","Portrait of a Lady","1786","1863","1836?","1838","3 1/4 x 2 1/2 in. (8.3 x 6.5 cm)","","Watercolor on ivory","","Paintings","","MetDoesntKnow","","Charles Cromwell Ingham","Dale T. Johnson Fund, 2006"
"","","Corn Husking at Nantucket","1824","1906","1875?","1875?","27 5/8 x 54 1/2 in. (70.2 x 138.4 cm)","","Oil on canvas","","Paintings","","American","","Eastman Johnson","Rogers Fund, 1907"
"","","The Old New York Post Office","1898","1962","1939","1940","36 x 42in. (91.4 x 106.7cm) 44 x 49 7/8 x 2 5/8 in. (111.8 x 126.7 x 6.7 cm) (Frame)","","Oil on canvas, mounted on Masonite","","Paintings","","American","","Junius Allen","George A. Hearn Fund, 1940"
"","","Great-Grand-Father's Tale of the Revolution�A Portrait of Reverend Zachariah Greene","1807","1868","1852","1852","24 x 20 in. (61 x 50.8 cm)","","Oil on canvas","","Paintings","","American","","William Sidney Mount","Purchase, Morris K. Jesup and Maria DeWitt Jesup Funds, Gift of George I. Seney and Bequest of Vera Ruth Miller, by exchange; and Gift of Anita Pohndorff Yates, in memory of her father, F. G. Pohndorff, 1984"
"","","Allen Tanner","1898","1957","1925?","1925?","H. 18-1/4, W. 13 inches (46.4 x 33 cm.)","","Oil on canvas","","Paintings","","MetDoesntKnow","","Pavel Tchelitchew","Anonymous Gift, 1968"
"","","William Wells Durkee","1880","1954","1905?","1905?","Sight: 3 13/16 x 2 7/8 in. (9.7 x 7.3 cm)","","Watercolor on ivory","","Paintings","","American","","Helen Winslow Durkee","Bequest of Helen Winslow Durkee Mileham, 1954"
"","","The Veteran in a New Field","1836","1910","1865","1865","24 1/8 x 38 1/8in. (61.3 x 96.8cm) Framed: 37 3/8 � 51 1/4 � 5 1/4 in. (94.9 � 130.2 � 13.3 cm)","","Oil on canvas","","Paintings","","American","","Winslow Homer","Bequest of Miss Adelaide Milton de Groot (1876�1967), 1967"
"","","Fern and Peonies","1876","1967","1949","1949","20 1/8 x 18 1/4 in. (51.1 x 46.4 cm)","","Oil on canvas","","Paintings","","American","","Adelaide Milton de Groot","Bequest of Miss Adelaide Milton de Groot (1876�1967), 1967"
"","","Three Saints (Alternate Study for Chapel Windows, Caldwell House, Newport)","1835","1910","1886?","1887","4 3/4 x 5 1/2 in. (12.1 x 14 cm)","","Watercolor and gouache on white wove paper mounted on gray pulpboard, with cut-out mat of off-white laid paper","","Drawings","","American","","John La Farge","Bequest of Susan Dwight Bliss, 1966"
"","","Lady of the Lake","1888","1946","1936","1936","20 1/2 x 36 in. (52.1 x 91.4 cm)","","Oil on canvas","","Paintings","","American","","Horace Pippin","Bequest of Jane Kendall Gingrich, 1982"
"","","Sketch","1906","1978","1940","1940","19 x 19 1/4 in. (48.3 x 48.9 cm)","","paper, graphite, gouache, watercolor","","null","","American","","Charles James","Brooklyn Museum Costume Collection at The Metropolitan Museum of Art, Gift of the Brooklyn Museum, 2009; Gift of Mrs. Clive Runnels and Mrs. Edward L. Ryerson, 1957"
"","","Indicating Solids","1888","1976","1949","1949","H. 26, W. 25-3/4 inches (66 x 65.4 cm.)","","Oil on Masonite","","Paintings","","MetDoesntKnow","","Josef Albers","Gift of the artist, 1972"
"","","Tomato","1942","1994","1975","1975","H. 4, W. 6 inches (10.2 x 15.2 cm.)","","Gouache and watercolor on paper","","Drawings","","American","","Joe Brainard","Gift of Stanley Posthorn, in memory of the artist, 1997"
"","","View at Amalfi, Bay of Salerno","1814","1889","1857","1857","33 1/4 x 53 3/4 in. (84.5 x 136.5 cm)","","Oil on canvas","","Paintings","","MetDoesntKnow","","George Loring Brown","Gift of William Church Osborn, 1903"
"","","Victory of Anghiari","1917","2010","1967","1967","H. 58, W. 79 inches (147.3 x 200.7 cm.)","","Oil and liquitex on canvas","","Paintings","","American","","Robert Goodnough","Anonymous Gift, 1969"
"","","Big Table with Pomegranates","1922","1996","1978","1978","22 x 26in. (55.9 x 66cm) 24 5/8 x 28 5/8 x 3 1/8 in. (62.5 x 72.7 x 7.9 cm) (Frame)","","Oil on canvas","","Paintings","","American","","Nell Blaine","Gift of Arthur W. Cohen, 1985"
"","","Portrait of a Lady (Possibly of the Buloid Family)","1783","1861","1832","1832","33 x 25 3/8 in. (83.8 x 64.5 cm)","","Oil on wood","","Paintings","","MetDoesntKnow","","Samuel Lovett Waldo","Bequest of Elizabeth H. J. Cowdrey, 1929"
"","","Sea Cove","1830","1902","1880?","1890","14 x 19 in. (35.6 x 48.3 cm)","","Oil on wood","","Paintings","","American","","Albert Bierstadt","Gift of Mrs. J. Augustus Barnard, 1979"
"","","Pasture at Evening","1847","1917","1912","1932","12 x 16 in. (30.5 x 40.6 cm)","","Oil on canvas","","Paintings","","American","","Formerly attributed to Albert Pinkham Ryder","Bequest of Miss Adelaide Milton de Groot (1876�1967), 1967"
"","","McDonald's, Number 1","1952","MetDoesntKnow","1986","1986","H. 36-5/8, W. 61-5/8 inches (93 x 156.5 cm.)","","Oil on canvas","","Paintings","","American","","Dan McCleary","Gift of Jane and Robert E. Carroll, 1991"
"","","Cadwallader Colden and His Grandson Warren De Lancey","1734","1805","1772?","1772?","50 x 40 in. (127 x 101.6 cm)","","Oil on canvas","","Paintings","","MetDoesntKnow","","Matthew Pratt","Morris K. Jesup Fund, 1969"
"","","Black, White, and Gray","1910","1962","1959","1959","H. 105, W. 78 inches (266.5 x 198 cm.)","","Oil on canvas","","Paintings","","American","","Franz Kline","George A. Hearn Fund, 1959"
"","","The Artist's Parents","1899","1987","1932","1932","28 x 30in. (71.1 x 76.2cm) 33 x 35 x 3 1/8 in. (83.8 x 88.9 x 7.9 cm) (Frame)","","Oil on canvas","","Paintings","","MetDoesntKnow","","Raphael Soyer","Gift of the artist, 1979"
"","","Night Clouds and Star Dust","1870","1949","null","null","64 x 32 1/2 in. (162.6 x 82.6 cm)","","Oil on canvas mounted on composition panel","","Paintings","","American","","Augustus Vincent Tack","Gift of Duncan Phillips, 1964"
"","","No. 13 (White, Red on Yellow)","1903","1970","1958","1958","95 3/8 x 81 3/8 in. (242.3 x 206.7 cm)","","Oil and acrylic with powdered pigments on canvas","","Paintings","","MetDoesntKnow","","Mark Rothko","Gift of The Mark Rothko Foundation Inc., 1985"
"","","Female Model on Eames Stool","1924","MetDoesntKnow","1978","1978","H. 48, W. 60 inches (121.9 x 152.4 cm.)","","Oil on canvas","","Paintings","","American","","Philip Pearlstein","Anonymous Gift, 1987"
"","","Portrait of Truman Capote (1925-1984)","1910","1978","1971","1971","H. 60, W. 36-1/8 inches (152.4 x 91.8 cm.)","","Oil on canvas","","Paintings","","American","","James Whitney Fosburgh","Purchase, Mr. George Backer Gift, Mrs. Katherine Graham Gift, Mr. and Mrs. Henry J. Heinz II Gift, Mrs. Lawrence Lowman Gift, Joseph A. and Katherine S. Meehan Foundation, Inc. Gift, Mr. and Mrs. Edward M. M. Warburg Gift, 1972"
"","","Self-portrait","1863","1937","1904?","1904?","31 x 25 in. (78.7 x 63.5 cm)","","Oil on canvas","","Paintings","","American","","Frederick William MacMonnies","Purchase, Mrs. James W. Fosburgh Gift, 1967"
"","","Woman","1904","1997","1950","1950","14 3/4 x 11 5/8in. (37.5 x 29.5cm) 23 1/2 x 18 7/8 x 2 in. (59.7 x 47.9 x 5.1 cm) (Frame)","","Oil, cut and pasted paper on cardboard","","Drawings","","MetDoesntKnow","","Willem de Kooning","From the Collection of Thomas B. Hess, Gift of the heirs of Thomas B. Hess, 1984"
"","","Panoramic View of the Palace and Gardens of Versailles","1775","1852","1818","1819","12 x 165 ft. (3.6 x 49.5 m)","","Oil on canvas","","Paintings","","American","","John Vanderlyn","Gift of the Senate House Association, Kingston, N.Y., 1952"
"","","Spanish Peaks, Southern Colorado, Late Afternoon","1832","1920","1887","1887","31 1/8 x 72 1/4 in. (79.1 x 183.5 cm)","","Oil on canvas","","Paintings","","American","","Samuel Colman","Gift of H. O. Havemeyer, 1893"
"","","Artemis","1862","1928","by1909","by1909","16 1/8 x 13 1/8 in. (41 x 33.3 cm)","","Oil on canvas","","Paintings","","American","","Arthur B. Davies","Bequest of Joan Whitney Payson, 1975"
"","","Reflection Line Method","1949","MetDoesntKnow","1997","1997","H. 76, W. 99 inches (193 x 251.5 cm.)","","Oil and alkyd resin on canvas","","Paintings","","American","","Terry Winters","Purchase, Arthur Hoppock Hearn and Denise and Andrew Saul Funds, and Molly and Walter Bareiss, Dr. and Mrs. Robert E. Carroll, The Cowles Charitable Trust, Anna-Maria and Stephen Kellen Foundation, Roy R. and Marie S. Neuberger Foundation Inc., Andrew N. Schiff, Barbara Schwartz, and Reba and Dave Williams Gifts, 1998"
