"Process","person_uri","object_uri","Artwork_Name","image","Artwork_Year","Dimensions","person_appellation_uri","name","Provenance"
"Ten offset posters, edition of 30","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=91.62A-J&dim=300px","","Each: 22 x 14 in. (55.9 x 35.6 cm)","","Allen Ruppersberg","The Museum of Contemporary Art, Los Angeles
Gift of Dr. and Mrs. Merle S. Glick"
"5 color photographs and 5 sheets of paper with type, edition 3/3","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2006.76&dim=300px","","Frame: 29 3/8 x 60 3/8 x 1 1/2 in. (74.6 x 153.4 x 3.8 cm)
Each (Photograph): 10 x 8 in. (25.4 x 20.3 cm)
Each (Paper): 10 1/4 x 8 1/2 in. (26 x 21.6 cm)","","Allen Ruppersberg","The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by the Acquisition and Collection Committee and the Photography Committee"
"Graphite on paper","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=91.61&dim=300px","","20 x 24 in.","","Allen Ruppersberg","The Museum of Contemporary Art, Los Angeles
Gift of Dr. and Mrs. Merle S. Glick"
"Graphite on paper","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2000.102&dim=300px","","29 x 23 in. (73.7 x 58.4 cm)","","Allen Ruppersberg","The Museum of Contemporary Art, Los Angeles
Gift of Marc Selwyn"
"Ektacolor print","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=95.77&dim=300px","","Image: 15 1/16 x 22 1/2 in. (38.3 x 57.2 cm)","","Kiki Smith","The Museum of Contemporary Art, Los Angeles
Puchased with funds provided by the friends of Marsha Kleinman in her memory"
"Twelve mirrored, etched glass jars","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=97.105&dim=300px","","Each: 27 x 15 x 15 in. (68.6 x 38.1 x 38.1 cm)","","Kiki Smith","The Museum of Contemporary Art, Los Angeles
Gift of Lannan Foundation"
"Cibachrome print","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2000.98&dim=300px","","22 x 30 in. (55.9 x 76.2 cm)","","Kiki Smith","The Museum of Contemporary Art, Los Angeles
Gift of Councilman Joel Wachs"
"Cut photographs and tape","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2005.32.1&dim=300px","","Frame: 21 1/8 x 30 3/4 x 1 1/2 in. (53.7 x 78.1 x 3.8 cm)
20 5/8 x 30 1/4 in. (52.4 x 76.8 cm)","","Paul Sietsema","The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by the Drawings Committee"
"16mm film in black & white and color without sound, edition 1/5, 2 APs","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2006.173&dim=300px","","Dimensions variable","","Paul Sietsema","The Museum of Contemporary Art, Los Angeles
Gift of Shaun Caley Regen in memory of Stuart Regen"
"Acrylic on canvas","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2003.131&dim=300px","","24 x 20 in. (61 x 50.8 cm)","","Patssi Valdez","The Museum of Contemporary Art, Los Angeles
Gift of Gary and Tracy Mezzatesta"
"Acrylic on canvas","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2003.130&dim=300px","","36 x 48 in. (91.4 x 121.9 cm)","","Patssi Valdez","The Museum of Contemporary Art, Los Angeles
Gift of Gary and Tracy Mezzatesta"
"Leather, frames","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=97.145&dim=300px","","47 x 58 x 4 in. (119.4 x 147.3 x 10.2 cm)","","Tony Tasset","The Museum of Contemporary Art, Los Angeles
Gift of Ruth and Jacob Bloom"
"Wood, paint, and plexiglas","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=93.48&dim=300px","","38 1/2 x 68 x 36 in. (97.8 x 172.7 x 91.4 cm)","","Tony Tasset","The Museum of Contemporary Art, Los Angeles
Gift of Feature"
"Twenty five black & white slides in slide carousel, edition 2/5","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2001.12&dim=300px","","Dimensions variable","","Allan Sekula","The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by the Curatorial Discretionary Fund"
"Black and white photographs mounted on board","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=96.83&dim=300px","","Each (9 panels): 24 x 20 in. (61 x 50.8 cm)","","Mitchell Syrop","The Museum of Contemporary Art, Los Angeles
Gift of Clayton M. Press, Jr. and Gregory B. Linn"
"Conceptual phrase","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=87.76&dim=300px","","Dimensions variable","","Mitchell Syrop","The Museum of Contemporary Art, Los Angeles
Gift of the University of Southern California Museum Studies Program"
"Oil on canvas","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2004.6&dim=300px","","96 x 240 in. (243.8 x 609.6 cm)","","Sam Tchakalian","The Museum of Contemporary Art, Los Angeles
Gift of George Y. Blair and H. Gregory Rainwater"
"Photography installation","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=87.42&dim=300px","","Each (10 panels): 100 x 55 x 1/4 in. (254 x 139.7 x 0.6 cm)","","Zygmunt Targowski","The Museum of Contemporary Art, Los Angeles
Gift of the artist by Cultural Exchange"
"Butyrate lacquer with dry pigment on birch plywood","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=94.93&dim=300px","","60 x 30 in. (152.4 x 76.2 cm)","","Roy Thurston","The Museum of Contemporary Art, Los Angeles
The Panza Gift"
"Photo collage on graph paper","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2001.34&dim=300px","","Each (57 Pages): 11 x 8 1/2 in. (27.9 x 21.6 cm)","","Adrian Piper","The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by the Drawings Committee, 2001"
"Pomade and pigment on wall","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2003.112&dim=300px","","50 x 228 in. (127 x 579.1 cm)","","Kori Newkirk","The Museum of Contemporary Art, Los Angeles
Gift of Barry Sloane"
"Glass top table with two bamboo chairs","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=87.45A-C&dim=300px","","Chairs: 62 1/2 x 48 x 19 1/2 in. (158.8 x 121.9 x 49.5 cm)
Table: 30 x 120 x 60 in. (76.2 x 304.8 x 152.4 cm)","","Robert Wilson","The Museum of Contemporary Art, Los Angeles
Gift of an anonymous donor"
"Cardboard, plaster, wire, and silver leaf","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=93.17&dim=300px","","57 1/2 x 77 x 1 1/2 in. (130.8 x 195.6 x 3.8 cm)","","Franz West","The Museum of Contemporary Art, Los Angeles
Gift of the artist"
"Plaster of paris, plastic, wire, gauze, and varnish","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2001.93&dim=300px","","16 x 13 x 17 in. (40.6 x 33 x 43.2 cm)","","Franz West","The Museum of Contemporary Art, Los Angeles
Gift of Mike Kelley"
"Gelatin silver prints","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=87.65.19&dim=300px","","10 x 15 in. (25.4 x 38.1 cm)","","Henry Wessel","The Museum of Contemporary Art, Los Angeles
Gift of Sue and Al Dorskind"
"Gelatin silver print","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=97.2.26&dim=300px","","Frame: 17 5/8 x 21 5/8 in. (44.8 x 54.9 cm)
14 x 17 in. (35.6 x 43.2 cm)
Image: 10 3/8 x 15 5/8 in. (26.4 x 39.7 cm)","","Henry Wessel","The Museum of Contemporary Art, Los Angeles
Gift of Dr. Philip Greider"
"Gelatin silver print","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=89.35.43&dim=300px","","15 7/8 x 19 7/8 in. (40.3 x 50.5 cm)
Image: 11 3/4 x 19 3/8 in. (29.8 x 49.2 cm)","","Max Yavno","The Museum of Contemporary Art, Los Angeles
The Max Yavno Collection"
"Gelatin silver print","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=89.35.30&dim=300px","","20 x 15 in. (50.8 x 38.1 cm)
Image: 7 1/2 x 18 1/4 in. (19.1 x 46.4 cm)","","Max Yavno","The Museum of Contemporary Art, Los Angeles
The Max Yavno Collection"
"Sand, soil and acrylic on canvas","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=91.12&dim=300px","","122 x 122 in. (309.9 x 309.9 cm)","","Michael Young","The Museum of Contemporary Art, Los Angeles
Gift of James Burrows and Linda Burrows"
"Twenty-four unique Cibachrome prints","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=99.32.1-.24&dim=300px","","Each: 24 x 30 in. (61 x 76.2 cm)","","Amy Adler","The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by Dean Valentine, Gilbert B. Friesen in honor of Gianna Carotenuto, and Gary and Tracy Mezzatesta"
"Black and white photograph","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2003.34&dim=300px","","14 x 17 in. (35.6 x 43.2 cm)","","Nobuyoshi Araki","The Museum of Contemporary Art, Los Angeles
Gift of Gary and Tracy Mezzatesta"
"Support/Untitled , 2004","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2007.54&dim=300px","","Oil on canvas","","Gaylen Gerber","27 5/8 x 27 5/8 x 1 in. (70.2 x 70.2 x 2.5 cm)"
"Type C print","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2006.109A-H&dim=300px","","Each (8): 47 x 35 in. (119.4 x 88.9 cm)
Frame: 48 1/4 x 36 1/4 in. (122.6 x 92.1 cm)","","Liu Zheng","The Museum of Contemporary Art, Los Angeles
Gift of Ruth and Jacob Bloom"
"Pencil and charcoal on paper","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2001.121&dim=300px","","22 1/4 x 24 1/4 in. (56.5 x 61.6 cm)","","Matthew Antezzo","The Museum of Contemporary Art, Los Angeles
Gift of Dean Valentine and Amy Adelson"
"Steel, wool, glass and electronics","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=94.8&dim=300px","","72 x 171 x 18 in. (182.9 x 434.3 x 45.7 cm)","","Andrea Zittel","The Museum of Contemporary Art, Los Angeles
Gift of Donatella and Jay Chiat"
"Nova jet print, unique","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=98.55&dim=300px","","40 3/8 x 27 3/4 in. (102.6 x 70.5 cm)","","Andrea Zittel","The Museum of Contemporary Art, Los Angeles
Gift of Gary and Tracy Mezzatesta"
"Collage and perforated paper","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=94.22&dim=300px","","24 x 20 in. (61 x 50.8 cm)","","Izhar Patkin","The Museum of Contemporary Art, Los Angeles
Gift of The Morton/Donnelley Trust"
"Eight perforated collages","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=92.69.1-.8&dim=300px","","Each: 88 x 72 in. (223.5 x 182.9 cm)","","Izhar Patkin","The Museum of Contemporary Art, Los Angeles
Gift of Marcia and Stephen Berini"
"Gelatin silver print","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2004.69.51&dim=300px","","Paper: 10 x 8 in. (25.4 x 20.3 cm)","","Bill Owens","The Museum of Contemporary Art, Los Angeles
Gift of Gary A. Richwald, MD, MPH in memory of Ann and Marvin Richwald"
"Graphite (two superimposed pieces) on paper","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2008.51&dim=300px","","Paper: 11 x 13 3/4 in. (27.9 x 34.9 cm)","","Nam June Paik","Museum of Contemporary Art, THE DOROTHY AND HERBERT VOGEL COLLECTION: FIFTY WORKS FOR FIFTY STATES, a joint initiative of the Trustees of the Dorothy and Herbert Vogel Collection and the National Gallery of Art, with generous support of the National Endowment for the Arts and the Institute for Museum and Library Services."
"Three color silkscreen, edition 199/300","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=84.12.20&dim=300px","","12 x 9 in. (30.5 x 22.9 cm)
Frame: 17 5/8 x 14 5/8 in. (44.8 x 37.1 cm)
Image: 12 x 9 in. (30.5 x 22.9 cm)","","Nam June Paik","The Museum of Contemporary Art, Los Angeles
Gift of Steven Feinstein"
"Graphite on paper","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2008.52&dim=300px","","Paper: 11 x 13 3/4 in. (27.9 x 34.9 cm)","","Nam June Paik","Museum of Contemporary Art, THE DOROTHY AND HERBERT VOGEL COLLECTION: FIFTY WORKS FOR FIFTY STATES, a joint initiative of the Trustees of the Dorothy and Herbert Vogel Collection and the National Gallery of Art, with generous support of the National Endowment for the Arts and the Institute for Museum and Library Services."
"Fuji dye-coupler print, A.P.","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2003.125&dim=300px","","20 x 24 in. (50.8 x 61 cm)","","Larry Sultan","The Museum of Contemporary Art, Los Angeles
Gift of Chip and Lara Leavitt"
"Gelatin silver print","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2004.69.54&dim=300px","","Paper: 10 x 8 in. (25.4 x 20.3 cm)","","Bill Owens","The Museum of Contemporary Art, Los Angeles
Gift of Gary A. Richwald, MD, MPH in memory of Ann and Marvin Richwald"
"Muslin soaked in plaster over wire frame, painted with enamel","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=87.11&dim=300px","","24 x 24 x 10 in. (61 x 61 x 25.4 cm)","","Claes Oldenburg","The Museum of Contemporary Art, Los Angeles
The Panza Collection"
"Muslin soaked in plaster over wire frame, painted with enamel","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=86.14&dim=300px","","34 1/2 x 35 1/2 x 34 1/2 in. (87.6 x 90.2 x 87.6 cm)","","Claes Oldenburg","The Museum of Contemporary Art, Los Angeles
The Panza Collection"
"Lithograph with watercolor on Arches paper, edition 15/75","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=85.2.6&dim=300px","","28 x 40 in. (71.1 x 101.6 cm)
Other (Mounted on paper): 31 x 42 in. (78.7 x 106.7 cm)","","Claes Oldenburg","The Museum of Contemporary Art, Los Angeles
Gift of The American Art Foundation"
"Canvas filled with kapok, painted with Liquitex","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2005.15&dim=300px","","42 x 22 x 7 in. (106.7 x 55.9 x 17.8 cm)","","Claes Oldenburg","The Museum of Contemporary Art, Los Angeles
Gift of Robert H. Halff"
"Muslin soaked in plaster over wire frame, painted with enamel","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=84.5&dim=300px","","63 1/4 x 41 1/4 x 4 in. (160.7 x 104.8 x 10.2 cm)","","Claes Oldenburg","The Museum of Contemporary Art, Los Angeles
The Panza Collection"
"Lithograph, edition 15/35","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=83.32&dim=300px","","67 1/2 x 45 in. (171.5 x 114.3 cm)","","Claes Oldenburg","The Museum of Contemporary Art, Los Angeles
Gift of Steve Schapiro"
"Muslin soaked in plaster over wire frame, painted with enamel","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=87.14&dim=300px","","52 3/4 x  40 1/2 x 6 in.","","Claes Oldenburg","The Museum of Contemporary Art, Los Angeles
The Panza Collection"
"Painted plaster","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=97.82&dim=300px","","5 x 9 x 7 in. (12.7 x 22.9 x 17.8 cm)","","Claes Oldenburg","The Museum of Contemporary Art, Los Angeles
Gift of Lannan Foundation"
"Lithograph, two color silkscreen and chalk, edition 199/300","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=84.12.19&dim=300px","","12 x 9 in. (30.5 x 22.9 cm)
Frame: 17 1/2 x 14 1/4 x 1 in. (44.5 x 36.2 x 2.5 cm)","","Claes Oldenburg","The Museum of Contemporary Art, Los Angeles
Gift of Steven Feinstein"
"Knife/Ship II , 1986","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=87.72&dim=300px","","Wood, steel, aluminum, painted with polyurethane enamel","","Claes Oldenburg","35 1/2 x 83 x 31 3/4 ft."
"Muslin soaked in plaster over wire frame, painted with enamel","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=86.12&dim=300px","","32 3/4 x 30 3/4 x 6 3/4 in. (83.2 x 78.1 x 17.1 cm)","","Claes Oldenburg","The Museum of Contemporary Art, Los Angeles
The Panza Collection"
"Gelatin silver print","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2004.69.28&dim=300px","","Paper: 8 x 10 in. (20.3 x 25.4 cm)","","Bill Owens","The Museum of Contemporary Art, Los Angeles
Gift of Gary A. Richwald, MD, MPH in memory of Ann and Marvin Richwald"
"Gelatin silver print","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2004.69.25&dim=300px","","Paper: 8 x 10 in. (20.3 x 25.4 cm)","","Bill Owens","The Museum of Contemporary Art, Los Angeles
Gift of Gary A. Richwald, MD, MPH in memory of Ann and Marvin Richwald"
"Gelatin silver print","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2004.69.22&dim=300px","","Paper: 8 x 10 in. (20.3 x 25.4 cm)","","Bill Owens","The Museum of Contemporary Art, Los Angeles
Gift of Gary A. Richwald, MD, MPH in memory of Ann and Marvin Richwald"
"Gelatin silver print","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2004.69.19&dim=300px","","Paper: 8 x 10 in. (20.3 x 25.4 cm)","","Bill Owens","The Museum of Contemporary Art, Los Angeles
Gift of Gary A. Richwald, MD, MPH in memory of Ann and Marvin Richwald"
"Gelatin silver print","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2004.69.24&dim=300px","","Paper: 8 x 10 in. (20.3 x 25.4 cm)","","Bill Owens","The Museum of Contemporary Art, Los Angeles
Gift of Gary A. Richwald, MD, MPH in memory of Ann and Marvin Richwald"
"Gelatin silver print","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2004.69.21&dim=300px","","Paper: 8 x 10 in. (20.3 x 25.4 cm)","","Bill Owens","The Museum of Contemporary Art, Los Angeles
Gift of Gary A. Richwald, MD, MPH in memory of Ann and Marvin Richwald"
"Gelatin silver print","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2004.69.20&dim=300px","","Paper: 8 x 10 in. (20.3 x 25.4 cm)","","Bill Owens","The Museum of Contemporary Art, Los Angeles
Gift of Gary A. Richwald, MD, MPH in memory of Ann and Marvin Richwald"
"Chromogenic print","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=99.26&dim=300px","","21 x 17 in. (53.3 x 43.2 cm)","","Catherine Opie","The Museum of Contemporary Art, Los Angeles
Gift of Councilman Joel Wachs"
"Fuji Supergloss dye-coupler print, A.P.","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2003.123&dim=300px","","20 x 16 in. (50.8 x 40.6 cm)","","Catherine Opie","The Museum of Contemporary Art, Los Angeles
Gift of Chip and Lara Leavitt"
"Iris print, edition of 5","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=97.183&dim=300px","","16 x 41 in. (40.6 x 104.1 cm)
Frame: 26 1/2 x 51 3/8 in. (67.3 x 130.5 cm)","","Catherine Opie","The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by The Citibank Private Bank Emerging Artists Award, 1997"
"Iris print, edition of 5","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=97.182&dim=300px","","Frame: 26 1/2 x 51 3/8 in. (67.3 x 130.5 cm)
16 x 41 in. (40.6 x 104.1 cm)","","Catherine Opie","The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by The Citibank Private Bank Emerging Artists Award, 1997"
"Chromogenic print","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=96.10&dim=300px","","60 x 30 in. (152.4 x 76.2 cm)","","Catherine Opie","The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by the friends of Virgil Young in his memory"
"Iris print, edition of 5","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=97.184&dim=300px","","16 x 41 in. (40.6 x 104.1 cm)
26 1/2 x 51 3/8 in. (67.3 x 130.5 cm)","","Catherine Opie","The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by The Citibank Private Bank Emerging Artists Award, 1997"
"Iris print, edition of 5","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=97.186&dim=300px","","16 x 41 in. (40.6 x 104.1 cm)
Frame: 26 1/2 x 51 3/8 in. (67.3 x 130.5 cm)","","Catherine Opie","The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by The Citibank Private Bank Emerging Artists Award, 1997"
"Chromogenic print","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=96.7&dim=300px","","40 x 30 in. (101.6 x 76.2 cm)","","Catherine Opie","The Museum of Contemporary Art, Los Angeles
Gift of Michael A. Mehring"
"Acrylic on linen","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2005.3&dim=300px","","68 x 77 in. (172.7 x 195.6 cm)","","Carl Ostendarp","The Museum of Contemporary Art, Los Angeles
Gift of the artist"
"Acrylic lacquer and dry pigment on fiberglass","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=97.127A-L&dim=300px","","12 panels: 120 x 156 in. (304.8 x 396.2 cm)","","David Novros","The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by the Dorot Foundation and gift of the artist in honor of Peter Ungerleider&#039;s 50th Birthday"
"Acrylic lacquer, and murano pigment and dry pigment on fiberglass","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=99.72A-L&dim=300px","","96 x 108 in. (243.8 x 274.3 cm)","","David Novros","The Museum of Contemporary Art, Los Angeles
Gift of Barbara Jakobson"
"Oil and murano pigment on shaped canvas in six parts","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=94.14&dim=300px","","8 x 15 in. (20.3 x 38.1 cm)","","David Novros","The Museum of Contemporary Art, Los Angeles
Gift of Virginia Dwan"
"Oil in liquin and marble dust on canvas (six parts)","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=97.156A-F&dim=300px","","60 x 66 in. (152.4 x 167.6 cm)","","David Novros","The Museum of Contemporary Art, Los Angeles
Gift of Lannan Foundation"
"Oil, pencil, and found material on tracing paper","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2006.85&dim=300px","","31 1/2 x 68 7/8 in. (80 x 175 cm)","","Francis Alys","The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by the Drawings Committee, Eugenio Loacute;pez, and Carol and David Appel."
"Magna, graphite on canvas","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=97.76&dim=300px","","68 1/2 x 91 1/2 in. (174 x 232.4 cm)","","John M. Miller","The Museum of Contemporary Art, Los Angeles
Gift of Lannan Foundation"
"Oil and betadine on canvas","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2004.39&dim=300px","","38 3/16 x 77 15/16 in. (97 x 198 cm)","","Philippe Perrot","The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by The Buddy Taub Foundation, Jill and Dennis Roach, Directors"
"Enameled steel and three stove plates","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=96.76&dim=300px","","40 x 40 in. (101.6 x 101.6 cm)","","Rosemarie Trockel","The Museum of Contemporary Art, Los Angeles
Gift of Beatrice and Philip Gersh"
"Cibachrome print","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2001.125.10&dim=300px","","23 1/2 x 17 1/2 in. (59.7 x 44.5 cm)","","Rosemarie Trockel","The Museum of Contemporary Art, Los Angeles
Gift of Audrey M. Irmas"
"Gelatin silver print","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2007.85&dim=300px","","Image: 17 1/4 x 13 1/2 in. (43.8 x 34.3 cm)","","Yasumasa Morimura","The Museum of Contemporary Art, Los Angeles
Gift of Linda and Jerry Janger"
"Ball point pen on paper","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=97.128.2&dim=300px","","17 7/8 x 13 7/8 in. (45.4 x 35.2 cm)","","Dan Asher","The Museum of Contemporary Art, Los Angeles
Gift of the artist"
"Ball point pen on paper","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=97.128.4&dim=300px","","17 7/8 x 13 7/8 in. (45.4 x 35.2 cm)","","Dan Asher","The Museum of Contemporary Art, Los Angeles
Gift of the artist"
"Ball point pen on paper","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=97.128.3&dim=300px","","17 7/8 x 13 7/8 in. (45.4 x 35.2 cm)","","Dan Asher","The Museum of Contemporary Art, Los Angeles
Gift of the artist"
"Ball point pen on paper","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=97.128.1&dim=300px","","Other: 17 7/8 x 13 7/8 in. (45.4 x 35.2 cm)","","Dan Asher","The Museum of Contemporary Art, Los Angeles
Gift of the artist"
"Twenty-two pigment paintings","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=93.21.1-.22&dim=300px","","Each: 39 1/4 x 39 1/4 in. (99.7 x 99.7 cm)","","Gerhard Merz","The Museum of Contemporary Art, Los Angeles
Gift of Emily and Jerry Spiegel"
"Silkscreen letters on wall","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=93.22&dim=300px","","Dimensions variable","","Gerhard Merz","The Museum of Contemporary Art, Los Angeles
Gift of Emily and Jerry Spiegel"
"Lithograph on paper","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2008.81&dim=300px","","Frame: 21 1/2 x 21 1/2 x 1 1/2 in. (54.6 x 54.6 x 3.8 cm)","","Josef Albers","The Museum of Contemporary Art, Los Angeles
Gift of Martha Bertonneau Padve"
"Oil on paper on board","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=91.67&dim=300px","","17 1/4 x 23 1/8 in. (43.8 x 58.7 cm)","","Josef Albers","The Museum of Contemporary Art, Los Angeles
Partial and promised gift from the Collection of Laura-Lee and Robert Woods"
"Oil on masonite","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=85.1&dim=300px","","15 5/8 x 15 5/8 in. (39.7 x 39.7 cm)
Frame: 16 1/4 x 16 1/4 in. (41.3 x 41.3 cm)","","Josef Albers","The Museum of Contemporary, Los Angeles
Gift of The American Art Foundation"
"Gelatin silver print","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=87.65.14&dim=300px","","7 7/8 x 12 in. (20 x 30.5 cm)","","Elaine Mayes","The Museum of Contemporary Art, Los Angeles
Gift of Sue and Al Dorskind"
"Color photograph, edition of 20","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=97.119.9&dim=300px","","Frame: 19 3/8 x 26 9/16 in. (49.2 x 67.5 cm)","","Ana Mendieta","The Museum of Contemporary Art, Los Angeles
Purchased with a grant provided by The Judith Rothschild Foundation"
"Color photograph, edition of 20","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=97.119.1&dim=300px","","Frame: 19 3/8 x 26 9/16 in. (49.2 x 67.5 cm)","","Ana Mendieta","The Museum of Contemporary Art, Los Angeles
Purchased with a grant provided by The Judith Rothschild Foundation"
"Color photograph, edition of 20","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=97.119.2&dim=300px","","Frame: 19 3/8 x 26 9/16 in. (49.2 x 67.5 cm)","","Ana Mendieta","The Museum of Contemporary Art, Los Angeles
Purchased with a grant provided by The Judith Rothschild Foundation"
"Color photograph, edition of 20","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=97.119.6&dim=300px","","Frame: 19 3/8 x 26 9/16 in. (49.2 x 67.5 cm)","","Ana Mendieta","The Museum of Contemporary Art, Los Angeles
Purchased with a grant provided by The Judith Rothschild Foundation"
"Newspapers, glass and neon","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2005.68&dim=300px","","20 x 34 x 272 3/4 in. (50.8 x 86.4 x 692.8 cm)","","Mario Merz","The Museum of Contemporary Art, Los Angeles
Gift of Margo Leavin and Wendy Brandow"
