"Artist_uri","Object_URI","Label_on_page","origin","title","image_url","dates","birth_year","death_year","dimension","technique_uri","technique","label_type_uri","origin_type_uri","nationality_uri","nationality","Artist_appellation_uri","name","credit_line"
"","","Purchased with the Marion Stroud Fund for Contemporary Art on Paper, the Margaretta S. Hinchman Fund, and the Joseph E. Temple Fund, 2008","Made in United States, North and Central America","Grid Drawing","http://www.philamuseum.org/images/cad/large/2008-100-18-pma.jpg","c. 1976-77","","","Sheet: 11 x 9 7/8 inches (27.9 x 25.1 cm)","","Graphite and colored pencil on graph paper","","","","American","","Edna Andrade","© Estate of Edna Andrade"
"","","Purchased with the Marion Stroud Fund for Contemporary Art on Paper, the Margaretta S. Hinchman Fund, and the Joseph E. Temple Fund, 2008","Made in United States, North and Central America","Forest","http://www.philamuseum.org/images/cad/large/2008-100-9-pma.jpg","1962","","","Sheet: 11 x 17 inches (27.9 x 43.2 cm)","","Brush and black ink with ink wash on cream wove paper","","","","American","","Edna Andrade","© Estate of Edna Andrade"
"","","Purchased with the Marion Stroud Fund for Contemporary Art on Paper, the Margaretta S. Hinchman Fund, and the Joseph E. Temple Fund, 2008","Made in United States, North and Central America","Flip Flop","http://www.philamuseum.org/images/cad/large/2008-100-23a-pma.jpg","c. 1982","","","Sheet (left panel): 12 7/8 x 9 inches (32.7 x 22.9 cm)
Sheet (right panel): 13 3/4 x 9 inches (34.9 x 22.9 cm)","","Graphite and colored pencil on cream wove paper (diptych)","","","","American","","Edna Andrade","© Estate of Edna Andrade"
"","","Purchased with the Marion Stroud Fund for Contemporary Art on Paper, the Margaretta S. Hinchman Fund, and the Joseph E. Temple Fund, 2008","Made in United States, North and Central America","Finale Drawing","http://www.philamuseum.org/images/cad/large/2008-100-20-pma.jpg","1979","","","Sheet: 11 x 10 inches (27.9 x 25.4 cm)","","Graphite and colored pencil on graph paper","","","","American","","Edna Andrade","© Estate of Edna Andrade"
"","","Purchased with the Marion Stroud Fund for Contemporary Art on Paper, the Margaretta S. Hinchman Fund, and the Joseph E. Temple Fund, 2008","Made in United States, North and Central America","Figure Moving","http://www.philamuseum.org/images/cad/large/2008-100-11-pma.jpg","1963","","","Sheet: 13 x 17 inches (33 x 43.2 cm)","","Pen and black ink on thin beige wove paper","","","","American","","Edna Andrade","© Estate of Edna Andrade"
"","","Purchased with the Marion Stroud Fund for Contemporary Art on Paper, the Margaretta S. Hinchman Fund, and the Joseph E. Temple Fund, 2008","Made in United States, North and Central America","Figure and Bird Line Drawing III","http://www.philamuseum.org/images/cad/large/2008-100-6-pma.jpg","1961","","","Sheet: 14 x 17 inches (35.6 x 43.2 cm)","","Pen and black ink on cream wove paper","","","","American","","Edna Andrade","© Estate of Edna Andrade"
"","","Purchased with the Marion Stroud Fund for Contemporary Art on Paper, the Margaretta S. Hinchman Fund, and the Joseph E. Temple Fund, 2008","Made in United States, North and Central America","Disappearing Man and Conch Shell","http://www.philamuseum.org/images/cad/large/2008-100-3-pma.jpg","1948","","","Sheet: 8 1/8 x 9 3/4 inches (20.6 x 24.8 cm)","","Opaque watercolor on beige wove paper","","","","American","","Edna Andrade","© Estate of Edna Andrade"
"","","Purchased with the Marion Stroud Fund for Contemporary Art on Paper, the Margaretta S. Hinchman Fund, and the Joseph E. Temple Fund, 2008","Made in United States, North and Central America","Decagon","http://www.philamuseum.org/images/cad/large/2008-100-13-pma.jpg","1970","","","Sheet: 9 x 9 inches (22.9 x 22.9 cm)","","White opaque watercolor or ink on tan card with silver foil facing paper","","","","American","","Edna Andrade","© Estate of Edna Andrade"
"","","","Photograph taken in New Mexico, United States, North and Central America","Adobe Facade, New Mexico","http://www.philamuseum.org/images/cad/large/2009-160-719-pdp.jpg","1932 (negative); 1970s (print)","","","Image: 4 5/8 x 5 7/8 inches (11.8 x 15 cm)
Sheet: 9 15/16 x 7 15/16 inches (25.2 x 20.2 cm)","","Gelatin silver print","","","","American","","Paul Strand","© Estate of Paul Strand"
"","","","Photograph taken in New Mexico, United States, North and Central America","Adobe Facade, New Mexico","http://www.philamuseum.org/images/cad/large/2009-160-718-pdp.jpg","1932 (negative); 1970s (print)","","","Image: 4 5/8 x 5 7/8 inches (11.8 x 15 cm)
Sheet: 9 15/16 x 7 15/16 inches (25.2 x 20.2 cm)","","Gelatin silver print","","","","American","","Paul Strand","© Estate of Paul Strand"
"","","","Photograph taken in New Mexico, United States, North and Central America","Adobe Facade, New Mexico","http://www.philamuseum.org/images/cad/large/2009-160-717-pdp.jpg","1932 (negative); 1970s (print)","","","Image: 4 5/8 x 5 7/8 inches (11.8 x 15 cm)
Sheet: 9 15/16 x 7 15/16 inches (25.2 x 20.2 cm)","","Gelatin silver print","","","","American","","Paul Strand","© Estate of Paul Strand"
"","","","Photograph taken in New Mexico, United States, North and Central America","Adobe Facade, New Mexico","http://www.philamuseum.org/images/cad/large/2009-160-716-pdp.jpg","1932 (negative); 1970s (print)","","","Image: 4 5/8 x 5 7/8 inches (11.8 x 15 cm)
Sheet: 9 15/16 x 7 15/16 inches (25.2 x 20.2 cm)","","Gelatin silver print","","","","American","","Paul Strand","© Estate of Paul Strand"
"","","","Photograph taken in Connecticut, United States, North and Central America","Abstraction, Porch Shadows, Twin Lakes, Connecticut","http://www.philamuseum.org/images/cad/large/1980-21-9-pma.jpg","1916 (negative); 1950s (print)","","","Image (sight): 12 5/8 x 8 3/4 inches (32.1 x 22.2 cm)","","Gelatin silver print","","","","American","","Paul Strand","© Estate of Paul Strand"
"","","","Photograph taken in Connecticut, United States, North and Central America","Abstraction, Porch Shadows, Twin Lakes, Connecticut","http://www.philamuseum.org/images/cad/large/1967-285-266-pdp.jpg","1915 (negative); 1917 (photogravure)","","","Sheet: 11 11/16 x 8 1/16 inches (29.7 x 20.5 cm)","","Photogravure","","","","American","","Paul Strand","© Estate of Paul Strand"
"","","","Photograph taken in Connecticut, United States, North and Central America","Abstraction, Porch Shadows, Twin Lakes, Connecticut","http://www.philamuseum.org/images/cad/large/1966-205-49-50(10)-pdp.jpg","1915 (negative); 1917 (photogravure)","","","Sheet: 11 5/8 x 8 15/16 inches (29.5 x 22.7 cm)","","Photogravure","","","","American","","Paul Strand","© Estate of Paul Strand"
"","","","Made in United States, North and Central America","Abstraction, Bowls, Twin Lakes, Connecticut","http://www.philamuseum.org/images/cad/large/1967-285-264-pdp.jpg","1916 (negative); 1917 (photogravure)","","","Sheet: 10 x 8 inches (25.4 x 20.3 cm)","","Photogravure","","","","American","","Paul Strand","© Estate of Paul Strand"
"","","","Photograph taken in Taos, New Mexico, United States, North and Central America","Abandoned House, Taos, New Mexico","http://www.philamuseum.org/images/cad/large/1985-113-5-rec.jpg","1932 (negative); 1932 (print)","","","Image and sheet: 7 5/8 x 9 11/16 inches (19.4 x 24.6 cm)","","Platinum print","","","","American","","Paul Strand","© Estate of Paul Strand"
"","","","Photograph taken in New Mexico, United States, North and Central America","Abandoned House, New Mexico","http://www.philamuseum.org/images/cad/large/1980-21-114-pdp.jpg","1932 (negative); 1960s (print)","","","Image (sight): 8 5/8 x 10 15/16 inches (21.9 x 27.8 cm)","","Gelatin silver print","","","","American","","Paul Strand","© Estate of Paul Strand"
"","","Purchased with the Marion Stroud Fund for Contemporary Art on Paper, the Margaretta S. Hinchman Fund, and the Joseph E. Temple Fund, 2008","Made in United States, North and Central America","Color Grid Diptych (Related to ""Grid,"" 1980)","http://www.philamuseum.org/images/cad/large/2008-100-21-pma.jpg","c. 1979","","","Sheet: 8 9/16 x 11 inches (21.7 x 27.9 cm)","","Graphite and colored pencil on cream wove paper","","","","American","","Edna Andrade","© Estate of Edna Andrade"
"","","","Made in United States, North and Central America","Abstraction, Bowls, Twin Lakes, Connecticut","http://www.philamuseum.org/images/cad/large/1966-205-49-50(11)-pdp.jpg","1916 (negative); 1917 (photogravure)","","","Sheet: 11 11/16 x 8 1/16 inches (29.7 x 20.5 cm)","","Photogravure","","","","American","","Paul Strand","© Estate of Paul Strand"
"","","Purchased with the Marion Stroud Fund for Contemporary Art on Paper, the Margaretta S. Hinchman Fund, and the Joseph E. Temple Fund, 2008","Made in United States, North and Central America","Bailey Island Shore","http://www.philamuseum.org/images/cad/large/2008-100-1-pma.jpg","1941","","","Sheet: 9 x 11 1/2 inches (22.9 x 29.2 cm)","","Graphite on tan wove paper","","","","American","","Edna Andrade","© Estate of Edna Andrade"
"","","","Photograph taken in United States, North and Central America","""Death, The Victor,"" Tombstone, Vermont","http://www.philamuseum.org/images/cad/large/1980-21-190-pma.jpg","1946 (negative); printed later","","","Image: 9 7/16 x 7 1/2 inches (24 x 19.1 cm)","","Gelatin silver print","","","","American","","Paul Strand","© Estate of Paul Strand"
"","","Purchased with the bequest of Margaret McKee Breyer, the Titus C. Geesey Collection, Mrs. C. E. Warner, J. Stogdell Stokes, the estate of Dr. Charles Koder, the Haas Community Funds, Mr. and Mrs. George B. Emeny, Mrs. Elizabeth Titus, and Mrs. Xavier von Erdberg (by exchange) in honor of the 125th Anniversary of the Museum, 2002","Made in Philadelphia, Pennsylvania, United States, North and Central America","Center Table","http://www.philamuseum.org/images/cad/large/2002-79-1-ov-CX.jpg","1865-1880","","","30 3/4 x 58 1/2 x 30 1/2 inches (78.1 x 148.6 x 77.5 cm)","","Walnut, Circassian walnut l veneer, ebonized and gilt decoration; brass; marble top","","","","Philadelphia","","Attributed to Allen and Brother","Purchased with the bequest of Margaret McKee Breyer, the Titus C. Geesey Collection, Mrs. C. E. Warner, J. Stogdell Stokes, the estate of Dr. Charles Koder, the Haas Community Funds, Mr. and Mrs. George B. Emeny, Mrs. Elizabeth Titus, and Mrs. Xavier von Erdberg (by exchange) in honor of the 125th Anniversary of the Museum, 2002"
"","","This chair was likely commissioned for the Philadelphia residence of George and Martha Washington and served as the prototype for a suite of similarly designed chairs commissioned for and still on view at their Mount Vernon estate in Virginia.","Made in Philadelphia, Pennsylvania, United States, North and Central America","Side Chair","http://www.philamuseum.org/images/cad/large/2007-65-6-ov.jpg","1785-95","","","37 1/4 x 21 x 20 1/2 inches (94.6 x 53.3 x 52.1 cm)
Seat: 17 1/2 x 21 x 17 1/2 inches (44.5 x 53.3 x 44.5 cm)","","Mahogany, lightwood stringing, ash, softwood","","","","American(bornScotland)","","Attributed to John Aitken","125th Anniversary Acquisition. Gift of the McNeil Americana Collection, 2007"
"","","","Made in Philadelphia, Pennsylvania, United States, North and Central America","Senate Armchair","http://www.philamuseum.org/images/cad/large/1977-3-1-pma-CX.jpg","1790-93","","","34 1/4 x 24 x 24 inches (87 x 61 x 61 cm)
Seat: 15 x 24 x 19 1/2 inches (38.1 x 61 x 49.5 cm)","","Mahogany, oak","","","","American(bornScotland)","","Possibly by Thomas Affleck","Gift of Henry P. McIlhenny, 1977"
"","","This fire screen, used to block direct heat from an open hearth, was one of four ordered by John Cadwalader for his home in Philadelphia.","Made in Philadelphia, Pennsylvania, United States, North and Central America","Fire Screen","http://www.philamuseum.org/images/cad/large/1967-266-1v1-cons.jpg","1771","","","5 feet 2 1/4 inches x 19 x 17 1/2 inches (158.1 x 48.3 x 44.5 cm)
Height (Screen): 22 1/4 inches (56.5 cm)","","Mahogany; modern embroidered silk textile","","","","American(bornScotland)","","Stand and frame made by the Workshop of Thomas Affleck","Gift of Mrs. Harry A. Batten in memory of her husband, 1967"
"","","","Made in Philadelphia, Pennsylvania, United States, North and Central America","Chest-on-Chest","http://www.philamuseum.org/images/cad/large/1926-19-1-sl.jpg","1770-85","","","8 feet 2 1/2 inches x 3 feet 11 1/2 inches x 1 feet 11 1/4 inches (250.2 x 120.7 x 59.1 cm)","","Mahogany, mahogany veneer, red gum, white cedar, yellow poplar; brass","","","","American(bornScotland)","","Attributed to Thomas Affleck","Purchased with the Elizabeth S. Shippen Fund, 1926"
"","","The Cadwalader family commissioned this easy chair as part of a suite of furniture for their Second Street house in Philadelphia. With its curved rails, sharply angled knees, hairy paws, and sensuous carved ornament, it closely corresponds to the other pieces of Cadwalader furniture in the Museum's collection. The upholstery and trim was a lavish display of wealth and taste.","Made in Philadelphia, Pennsylvania, United States, North and Central America","Easy Chair","http://www.philamuseum.org/images/cad/large/2001-12-1view3.jpg","1770-71","","","46 x 36 1/2 x 34 inches (116.8 x 92.7 x 86.4 cm)","","Mahogany, yellow pine, white oak, white cedar, black walnut, tulip poplar","","","","American(bornScotland)","","Made by the workshop of Thomas Affleck","125th Anniversary Acquisition. Gift of H. Richard Dietrich, Jr., 2001"
"","","Purchased for the Cadwalader Collection with funds contributed by the Mabel Pew Myrin Trust and with the gift of an anonymous donor, 1984","Made in Philadelphia, Pennsylvania, United States, North and Central America","Card Table","http://www.philamuseum.org/images/cad/large/1984-6-1view1.jpg","1770-71","","","28 7/8 x 39 x 19 3/4 inches (73.3 x 99.1 x 50.2 cm)","","Mahogany, yellow pine, yellow poplar, oak","","","","American(bornScotland)","","Workshop of Thomas Affleck","Purchased for the Cadwalader Collection with funds contributed by the Mabel Pew Myrin Trust and with the gift of an anonymous donor, 1984"
"","","Gift of Holly Rogers Nardi, and gifts (by exchange) of R. Ball Dodson, the heirs of J. Stogdell Stokes, Walton Hooker Nason Jr., James K. DeArmond, Jr., and Dr. Anna Janney DeArmond, R. Wistar Harvey, Mrs. Sarah Bierly Dutton Spang, Elizabeth Wheatley Bendiner, Emily Bacon Morrison in memory of Edward and Lizzie W. Bacon, Lydia Thompson Morris, David Stockwell for the Walter J. Johnson Memorial, Lisa Norris Elkins, 2011","Made in Philadelphia, Pennsylvania, United States, North and Central America","Side Chair","http://www.philamuseum.org/images/cad/large/2011-88-1v1-pma.jpg","1760-70","","","40 3/16 x 22 1/16 x 22 7/16 inches (102.1 x 56 x 57 cm)","","Mahogany, yellow pine","","","","American(bornScotland)","","Attributed to Thomas Affleck","Gift of Holly Rogers Nardi, and gifts (by exchange) of R. Ball Dodson, the heirs of J. Stogdell Stokes, Walton Hooker Nason Jr., James K. DeArmond, Jr., and Dr. Anna Janney DeArmond, R. Wistar Harvey, Mrs. Sarah Bierly Dutton Spang, Elizabeth Wheatley Bendiner, Emily Bacon Morrison in memory of Edward and Lizzie W. Bacon, Lydia Thompson Morris, David Stockwell for the Walter J. Johnson Memorial, Lisa Norris Elkins, 2011"
"","","Purchased with the bequest of Margaret McKee Breyer, the Titus C. Geesey Collection, Mrs. C. E. Warner, J. Stogdell Stokes, the estate of Dr. Charles Koder, the Haas Community Funds, Mr. and Mrs. George B. Emeny, Mrs. Elizabeth Titus, and Mrs. Xavier von Erdberg (by exchange) in honor of the 125th Anniversary of the Museum, 2002","Made in Philadelphia, Pennsylvania, United States, North and Central America","Center Table","http://www.philamuseum.org/images/cad/large/2002-79-1-ov-CX.jpg","1865-1880","","","30 3/4 x 58 1/2 x 30 1/2 inches (78.1 x 148.6 x 77.5 cm)","","Walnut, Circassian walnut l veneer, ebonized and gilt decoration; brass; marble top","","","","Philadelphia","","Attributed to Allen and Brother","Purchased with the bequest of Margaret McKee Breyer, the Titus C. Geesey Collection, Mrs. C. E. Warner, J. Stogdell Stokes, the estate of Dr. Charles Koder, the Haas Community Funds, Mr. and Mrs. George B. Emeny, Mrs. Elizabeth Titus, and Mrs. Xavier von Erdberg (by exchange) in honor of the 125th Anniversary of the Museum, 2002"
"","","This chair was likely commissioned for the Philadelphia residence of George and Martha Washington and served as the prototype for a suite of similarly designed chairs commissioned for and still on view at their Mount Vernon estate in Virginia.","Made in Philadelphia, Pennsylvania, United States, North and Central America","Side Chair","http://www.philamuseum.org/images/cad/large/2007-65-6-ov.jpg","1785-95","","","37 1/4 x 21 x 20 1/2 inches (94.6 x 53.3 x 52.1 cm)
Seat: 17 1/2 x 21 x 17 1/2 inches (44.5 x 53.3 x 44.5 cm)","","Mahogany, lightwood stringing, ash, softwood","","","","American(bornScotland)","","Attributed to John Aitken","125th Anniversary Acquisition. Gift of the McNeil Americana Collection, 2007"
"","","The Cadwalader family commissioned this easy chair as part of a suite of furniture for their Second Street house in Philadelphia. With its curved rails, sharply angled knees, hairy paws, and sensuous carved ornament, it closely corresponds to the other pieces of Cadwalader furniture in the Museum's collection. The upholstery and trim was a lavish display of wealth and taste.","Made in Philadelphia, Pennsylvania, United States, North and Central America","Easy Chair","http://www.philamuseum.org/images/cad/large/2001-12-1view3.jpg","1770-71","","","46 x 36 1/2 x 34 inches (116.8 x 92.7 x 86.4 cm)","","Mahogany, yellow pine, white oak, white cedar, black walnut, tulip poplar","","","","American(bornScotland)","","Made by the workshop of Thomas Affleck","125th Anniversary Acquisition. Gift of H. Richard Dietrich, Jr., 2001"
"","","This fire screen, used to block direct heat from an open hearth, was one of four ordered by John Cadwalader for his home in Philadelphia.","Made in Philadelphia, Pennsylvania, United States, North and Central America","Fire Screen","http://www.philamuseum.org/images/cad/large/1967-266-1v1-cons.jpg","1771","","","5 feet 2 1/4 inches x 19 x 17 1/2 inches (158.1 x 48.3 x 44.5 cm)
Height (Screen): 22 1/4 inches (56.5 cm)","","Mahogany; modern embroidered silk textile","","","","American(bornScotland)","","Stand and frame made by the Workshop of Thomas Affleck","Gift of Mrs. Harry A. Batten in memory of her husband, 1967"
"","","","Made in Philadelphia, Pennsylvania, United States, North and Central America","Chest-on-Chest","http://www.philamuseum.org/images/cad/large/1926-19-1-sl.jpg","1770-85","","","8 feet 2 1/2 inches x 3 feet 11 1/2 inches x 1 feet 11 1/4 inches (250.2 x 120.7 x 59.1 cm)","","Mahogany, mahogany veneer, red gum, white cedar, yellow poplar; brass","","","","American(bornScotland)","","Attributed to Thomas Affleck","Purchased with the Elizabeth S. Shippen Fund, 1926"
"","","Purchased for the Cadwalader Collection with funds contributed by the Mabel Pew Myrin Trust and with the gift of an anonymous donor, 1984","Made in Philadelphia, Pennsylvania, United States, North and Central America","Card Table","http://www.philamuseum.org/images/cad/large/1984-6-1view1.jpg","1770-71","","","28 7/8 x 39 x 19 3/4 inches (73.3 x 99.1 x 50.2 cm)","","Mahogany, yellow pine, yellow poplar, oak","","","","American(bornScotland)","","Workshop of Thomas Affleck","Purchased for the Cadwalader Collection with funds contributed by the Mabel Pew Myrin Trust and with the gift of an anonymous donor, 1984"
"","","","Made in Philadelphia, Pennsylvania, United States, North and Central America","Senate Armchair","http://www.philamuseum.org/images/cad/large/1977-3-1-pma-CX.jpg","1790-93","","","34 1/4 x 24 x 24 inches (87 x 61 x 61 cm)
Seat: 15 x 24 x 19 1/2 inches (38.1 x 61 x 49.5 cm)","","Mahogany, oak","","","","American(bornScotland)","","Possibly by Thomas Affleck","Gift of Henry P. McIlhenny, 1977"
"","","Gift of Holly Rogers Nardi, and gifts (by exchange) of R. Ball Dodson, the heirs of J. Stogdell Stokes, Walton Hooker Nason Jr., James K. DeArmond, Jr., and Dr. Anna Janney DeArmond, R. Wistar Harvey, Mrs. Sarah Bierly Dutton Spang, Elizabeth Wheatley Bendiner, Emily Bacon Morrison in memory of Edward and Lizzie W. Bacon, Lydia Thompson Morris, David Stockwell for the Walter J. Johnson Memorial, Lisa Norris Elkins, 2011","Made in Philadelphia, Pennsylvania, United States, North and Central America","Side Chair","http://www.philamuseum.org/images/cad/large/2011-88-1v1-pma.jpg","1760-70","","","40 3/16 x 22 1/16 x 22 7/16 inches (102.1 x 56 x 57 cm)","","Mahogany, yellow pine","","","","American(bornScotland)","","Attributed to Thomas Affleck","Gift of Holly Rogers Nardi, and gifts (by exchange) of R. Ball Dodson, the heirs of J. Stogdell Stokes, Walton Hooker Nason Jr., James K. DeArmond, Jr., and Dr. Anna Janney DeArmond, R. Wistar Harvey, Mrs. Sarah Bierly Dutton Spang, Elizabeth Wheatley Bendiner, Emily Bacon Morrison in memory of Edward and Lizzie W. Bacon, Lydia Thompson Morris, David Stockwell for the Walter J. Johnson Memorial, Lisa Norris Elkins, 2011"
"","","","Made in Philadelphia, Pennsylvania, United States, North and Central America","Pitcher","http://www.philamuseum.org/images/cad/large/1947-51-1v1-ov.jpg","c. 1835","","","9 7/8 x 12 5/8 x 3 inches (25.1 x 32.1 x 7.6 cm)","","Porcelain with enamel and gilt decoration","","","","Philadelphia","","Made by American Porcelain Company (formerly Tucker Factory)","Gift of Mrs. William M. Elkins in memory of her husband, 1947"
"","","","Made in United States, North and Central America","""Giant Bull's Eye"" Cruet, without Stopper","http://www.philamuseum.org/images/cad/large/2001-22-17-neh.jpg","Late 19th century","","","4 3/4 x 4 x 3 1/2 inches (12.1 x 10.2 x 8.9cm)","","Colorless non-lead glass (pressed)","","","","American","","Artist/maker unknown","Gift of an anonymous donor in memory of Marjorie Bare Rex, 2001"
"","","","Made in Albany, New York, United States, North and Central America","Flask","http://www.philamuseum.org/images/cad/large/1938-23-217-ov.jpg","1847-50","","","Height: 7 inches (17.8 cm)","","Bluet non-lead glass (blown-molded)","","","","Albany","","Made by Albany Glass Works","The George H. Lorimer Collection, 1938"
"","","","Made in Albany, New York, United States, North and Central America","Flask","http://www.philamuseum.org/images/cad/large/1938-23-184-ov.jpg","1847-50","","","Height: 7 inches (17.8 cm)","","Non-lead glass (olive)","","","","Albany","","Made by Albany Glass Works","The George H. Lorimer Collection, 1938"
"","","","Made in Albany, New York, United States, North and Central America","Flask","http://www.philamuseum.org/images/cad/large/1938-23-184-ov.jpg","1847-50","","","Height: 7 inches (17.8 cm)","","Non-lead glass (olive)","","","","Albany","","Made by Albany Glass Works","The George H. Lorimer Collection, 1938"
"","","","Made in Albany, New York, United States, North and Central America","Flask","http://www.philamuseum.org/images/cad/large/1938-23-217-ov.jpg","1847-50","","","Height: 7 inches (17.8 cm)","","Bluet non-lead glass (blown-molded)","","","","Albany","","Made by Albany Glass Works","The George H. Lorimer Collection, 1938"
"","","","Made in Bellaire, Ohio, United States, North and Central America","Napkin Holder with Salt and Pepper","http://www.philamuseum.org/images/cad/large/1928-95-365-neh.jpg","1880-90","","","5 3/16 x 4 13/16 x 4 inches (13.2 x 12.2 x 10.2 cm)","","Non-lead amber glass (pressed)","","","","Bellaire","","Made by Aetna Glass and Manufacturing Company","The Elizabeth Wandell Smith Collection, 1928"
"","","","Possibly made in Pittsburgh, Pennsylvania, United States, North and Central America","Flask in the Form of a Scroll","http://www.philamuseum.org/images/cad/large/1938-23-168-ov.jpg","1851-70","","","Height: 6 1/2 inches (16.5 cm)","","Non-lead glass (aqua)","","","","Pittsburgh","","Possibly made by Adams and Company","The George H. Lorimer Collection, 1938"
"","","","Made in Pittsburgh, Pennsylvania, United States, North and Central America","Bread Tray","http://www.philamuseum.org/images/cad/large/1981-68-1-neh.jpg","c. 1874","","","1 1/8 x 11 x 8 1/8 inches (2.9 x 27.9 x 20.6 cm)","","Yellow glass","","","","Pittsburgh","","Made by Adams and Company","Gift of Mrs. Richard W. Lloyd in honor of her father, Morgan Hebard, 1981"
"","","","Made in United States, North and Central America","""Giant Bull's Eye"" Cruet, without Stopper","http://www.philamuseum.org/images/cad/large/2001-22-17-neh.jpg","Late 19th century","","","4 3/4 x 4 x 3 1/2 inches (12.1 x 10.2 x 8.9cm)","","Colorless non-lead glass (pressed)","","","","American","","Artist/maker unknown","Gift of an anonymous donor in memory of Marjorie Bare Rex, 2001"
"","","","Made in Bellaire, Ohio, United States, North and Central America","Napkin Holder with Salt and Pepper","http://www.philamuseum.org/images/cad/large/1928-95-365-neh.jpg","1880-90","","","5 3/16 x 4 13/16 x 4 inches (13.2 x 12.2 x 10.2 cm)","","Non-lead amber glass (pressed)","","","","Bellaire","","Made by Aetna Glass and Manufacturing Company","The Elizabeth Wandell Smith Collection, 1928"
"","","","Possibly made in Pittsburgh, Pennsylvania, United States, North and Central America","Flask in the Form of a Scroll","http://www.philamuseum.org/images/cad/large/1938-23-168-ov.jpg","1851-70","","","Height: 6 1/2 inches (16.5 cm)","","Non-lead glass (aqua)","","","","Pittsburgh","","Possibly made by Adams and Company","The George H. Lorimer Collection, 1938"
"","","","Made in Pittsburgh, Pennsylvania, United States, North and Central America","Bread Tray","http://www.philamuseum.org/images/cad/large/1981-68-1-neh.jpg","c. 1874","","","1 1/8 x 11 x 8 1/8 inches (2.9 x 27.9 x 20.6 cm)","","Yellow glass","","","","Pittsburgh","","Made by Adams and Company","Gift of Mrs. Richard W. Lloyd in honor of her father, Morgan Hebard, 1981"
"","","","Made in Toledo, Ohio, United States, North and Central America","""Classic Crystal"" Glasses","http://www.philamuseum.org/images/cad/large/1982-151-1--5.jpg","Designed 1949","","","Jigger [1982-151-1] height: 2 1/4 inches (5.7 cm)
Old-Fashioned [1982-151-2] height: 3 3/8 inches (8.6 cm)
Collins [1982-151-3] height: 4 3/4 inches (12.1 cm)
Iced Tea [1982-151-4] height: 5 1/4 inches (13.3 cm)
Cooler [1982-151-5] height: 6 inches (15.2 cm)","","Glass","","","","American","","Designed by Freda Diamond","Gift of Libbey Glass Company, 1982"
"","","","Made in United States, North and Central America","""Chippendale"" Chair","http://www.philamuseum.org/images/cad/large/1985-94-4.jpg","Designed 1978-84; made 1985","","","37 1/2 x 23 1/8 x 18 1/2 inches (95.3 x 58.7 x 47 cm)
Seat height: 15 3/4 inches (40 cm)","","Bent laminated wood; plastic laminate","","","","American","","Designed by Robert Venturi","Gift of Collab: The Group for Modern and Contemporary Design at the Philadelphia Museum of Art, 1985"
"","","Eero Saarinen's ""Pedestal"" chair, introduced in 1957, was an instant success. This ""Champagne"" chair is one of the many variations on that design created in the late 1950s and 1960s.","Made in New York, United States, North and Central America","""Champagne"" Chair","http://www.philamuseum.org/images/cad/large/1971-1-1.jpg","Designed 1962","","","31 1/2 x 23 3/4 x 23 inches (80 x 60.3 x 58.4 cm)
Seat height: 15 3/4 inches (40 cm)","","Plexiglas, aluminum; upholstery","","","","American","","Designed by Erwine Laverne","Gift of Laverne International, 1971"
"","","","Made in Ojai, California, United States, North and Central America","""Blindman"" Pin","http://www.philamuseum.org/images/cad/large/2009-32-1-neh.jpg","1996","","","4 1/2 x 3 1/2 inches (11.4 x 8.9 cm)","","Silver","","","","American","","Beatrice Wood","© Beatrice Wood Center for the Arts / Happy Valley Foundation"
"","","This clock, one of a series designed by George Nelson Associates for the Howard Miller Company, has become an icon of 1950s design. When the series was introduced, the clocks were considered quite radical-unlike traditional clocks, their faces had no numbers.","Made in United States, North and Central America","""Ball"" Wall Clock","http://www.philamuseum.org/images/cad/large/1983-50-4.jpg","Designed 1947","","","Diameter: 13 3/8 inches (34 cm)","","Painted birch, steel, brass","","","","American","","Designed by George Nelson","Gift of Collab: The Group for Modern and Contemporary Design at the Philadelphia Museum of Art, 1983"
"","","The ""Aura"" table's glass sheets are manually colored with water-based paints. Each sheet can be placed on any level and rotated to create twenty-four configurations.","Made in United States, North and Central America","""Aura"" Table","http://www.philamuseum.org/images/cad/large/1999-154-1.jpg","Designed 1990 (restyled 1997)","","","18 3/4 x 35 1/2 x 32 1/8 inches (47.6 x 90.2 x 81.6 cm)","","Metal, glass","","","","Canadian(bornEgypt)","","Karim Rashid","Gift of Curvet USA, 1999"
