"artist_uri","object_uri","title","image_url","birth_date","death_date","made","dim","nationality_URI","nationality","artist_appellation_uri","artist","prov"
"","","Bust of an Old Man with a Fur Cap and Flowing Beard, Nearly Full Face, Eyes Direct,","http://images.nortonsimon.org/viewer/index.php?id=M.1977.32.012.G","","","c.1631","plate: 2-1/2 x 2-3/16 in. (6.4 x 5.6 cm); sheet: 2-1/2 x 2-3/16 in. (6.4  x 5.6 cm)","","Dutch","","Rembrandt van Rijn","Norton Simon Art Foundation"
"","","Beggar Seated on a Bank,","http://images.nortonsimon.org/viewer/index.php?id=M.1977.32.004.G","","","1630","plate: 4-5/8 x 2-3/4 in. (11.7 x 7.0 cm); sheet: 4-11/16 x 2-13/16 in. (11.9 x 7.1 cm)","","Dutch","","Rembrandt van Rijn","Norton Simon Art Foundation"
"","","Beggar Man and Beggar Woman Conversing,","http://images.nortonsimon.org/viewer/index.php?id=M.1977.32.002.G","","","1630","plate: 3-1/8 x 2-5/8 in. (7.9 x 6.7 cm); sheet: 3-1/2 x 2-13/16 in. (8.9 x 7.1 cm)","","Dutch","","Rembrandt van Rijn","Norton Simon Art Foundation"
"","","Beggar Leaning on a Stick, Facing Left,","http://images.nortonsimon.org/viewer/index.php?id=P.2001.03.1","","","c. 1630","comp: 3-3/8 x 1-7/8 in. (8.6 x 4.8 cm); sheet: 3-1/2 x 2 in. (8.9 x 5.1 cm)","","Dutch","","Rembrandt van Rijn","Norton Simon Museum, Gift of Marion W. and James S. L. Jacobs"
"","","Abraham Francen, Apothecary,","http://images.nortonsimon.org/viewer/index.php?id=M.1977.32.106.G","","","c.1657","plate: 6-1/4 x 8-3/16 in. (15.9 x 20.8 cm); sheet: 6-5/8 x 8-5/16 in. (16.8 x 21.1 cm)","","Dutch","","Rembrandt van Rijn","Norton Simon Art Foundation"
"","","Beggar Leaning on a Stick, Facing Left,","http://images.nortonsimon.org/viewer/index.php?id=M.1977.32.003.G","","","c.1630","plate: 3-3/8 x 1-13/16 in. (8.6 x 4.6 cm); sheet: 3-7/16 x 1-7/8 in. (10.6 x 4.8 cm)","","Dutch","","Rembrandt van Rijn","Norton Simon Art Foundation"
"","","A Peasant in a High Cap, Standing Leaning on a Stick,","http://images.nortonsimon.org/viewer/index.php?id=M.1977.32.038.G","","","1639","plate: 3-3/8 x 1-13/16 in. (8.6 x 4.6 cm); sheet: 3-7/16 x 1-7/8 in. (8.7 x 4.8 cm)","","Dutch","","Rembrandt van Rijn","Norton Simon Art Foundation"
"","","A Cavalry Fight,","http://images.nortonsimon.org/viewer/index.php?id=M.1977.32.018.G","","","c. 1632","plate: 4-1/8 x 3-1/16 in. (10.5 x 7.8 cm); sheet: 4-3/16 x 3-3/16 in. (10.6 x 8.1 cm)","","Dutch","","Rembrandt van Rijn","Norton Simon Art Foundation"
"","","Reclining Nude,","http://images.nortonsimon.org/viewer/index.php?id=M.1969.02.P","","","c. 1892","13 x 16-3/8 in. (33.0 x 41.5 cm)","","French","","Pierre-Auguste Renoir","Norton Simon Art Foundation"
"","","Nude,","http://images.nortonsimon.org/viewer/index.php?id=F.1982.1.P","","","c.1872","14-3/4 x 10 in. (37.5 x 25.4 cm)","","French","","Pierre-Auguste Renoir","The Norton Simon Foundation, Gift of Mr. Norton Simon"
"","","Bouquet of Lilacs,","http://images.nortonsimon.org/viewer/index.php?id=M.2010.1.193.P","","","1875-1880","21-1/4 x 25-3/4 in. (54 x 65.4 cm)","","French","","Pierre-Auguste Renoir","Norton Simon Art Foundation, from the Estate of Jennifer Jones Simon"
"","","At Renoir's Home, rue St-Georges (formerly The Artist's Studio, rue St.-Georges),","http://images.nortonsimon.org/viewer/index.php?id=M.1978.13.1.P","","","1876","18-1/8 x 15 in. (46 x 38.1 cm)","","French","","Pierre-Auguste Renoir","Norton Simon Art Foundation"
"","","The Cloister of the Augustinian Nuns,","http://images.nortonsimon.org/viewer/index.php?id=F.1981.2.P","","","late 18th century","51-1/4 x 41-3/8 in. (130.2 x 105.1 cm)","","French","","Hubert Robert","The Norton Simon Foundation"
"","","Christ and the Woman of Samaria: An Arched Print,","http://images.nortonsimon.org/viewer/index.php?id=M.1977.32.109.G","","","1658","plate: 4-15/16 x 6-1/2 in. (12.5 x 16.5 cm); sheet: 5-1/8 x 6-9/16 in. (13.0 x 16.7 cm)","","Dutch","","Rembrandt van Rijn","Norton Simon Art Foundation"
"","","The Fountain,","http://images.nortonsimon.org/viewer/index.php?id=F.1965.1.055.P","","","c. 1775","26 x 20 in. (66.0 x 50.8 cm)","","French","","Hubert Robert","The Norton Simon Foundation"
"","","Young Man in a Velvet Cap (Petrus Sylvius?),","http://images.nortonsimon.org/viewer/index.php?id=M.1977.32.030.G","","","1637","plate: 3-3/4 x 3-1/4 in. (9.5 x 8.3 cm); sheet: 3-3/4 x 3-1/4 in. (9.5 x 8.3 cm)","","Dutch","","Rembrandt van Rijn","Norton Simon Art Foundation"
"","","Cottages Beside a Canal:  a View of Diemen,","http://images.nortonsimon.org/viewer/index.php?id=M.1977.32.068.G","","","c.1645","plate: 5-1/2 x 8-3/16 in. (14.0 x 20.8 cm); sheet:  5-11/16 x 8-1/4 in. (14.4 x 21.0 cm)","","Dutch","","Rembrandt van Rijn","Norton Simon Art Foundation"
"","","Cornelis Claesz Anslo, Mennonite Preacher,","http://images.nortonsimon.org/viewer/index.php?id=M.1977.32.117.G","","","1641","7-5/16 x 6-3/16 in. (18.6 x 15.7 cm)","","Dutch","","Rembrandt van Rijn","Norton Simon Art Foundation"
"","","Clump of Trees with a Vista,","http://images.nortonsimon.org/viewer/index.php?id=M.1977.32.097.G","","","1652","plate: 4-7/8 x 8-5/16 in. (12.4 x 21.1 cm); sheet: 4-15/16 x 8-3/8 in. (12.5 x 21.3 cm)","","Dutch","","Rembrandt van Rijn","Norton Simon Art Foundation"
"","","Clement de Jonghe, Printseller,","http://images.nortonsimon.org/viewer/index.php?id=M.1977.32.091.G","","","1651","plate: 8-3/16 x 6-3/8 in. (20.8 x 16.2 cm); sheet: 8-3/16 x 6-3/8 in. (20.8 x 16.2 cm)","","Dutch","","Rembrandt van Rijn","Norton Simon Art Foundation"
"","","Christ Returning from the Temple with His Parents,","http://images.nortonsimon.org/viewer/index.php?id=M.1977.32.104.G","","","1654","plate: 3-3/4 x 5-3/4 in. (9.5 x 14.6 cm); sheet: 3-13/16 x 5-13/16 in. (9.7 x 14.8 cm)","","Dutch","","Rembrandt van Rijn","Norton Simon Art Foundation"
"","","Christ Preaching ('La Petite Tombe'),","http://images.nortonsimon.org/viewer/index.php?id=M.1977.32.095a.G","","","c.1652","6-3/8 x 8-3/8 in. (16.2 x 21.3 cm)","","Dutch","","Rembrandt van Rijn","Norton Simon Art Foundation"
"","","Christ Preaching ('La Petite Tombe'),","http://images.nortonsimon.org/viewer/index.php?id=M.1977.32.095.G","","","c.1652","plate: 6-1/8 x 8-3/16 in. (15.6 x 20.8 cm); sheet: 7-1/4 x 8-1/4 in. (18.4 x 21.0 cm)","","Dutch","","Rembrandt van Rijn","Norton Simon Art Foundation"
"","","Christ Driving the Moneychangers from the Temple,","http://images.nortonsimon.org/viewer/index.php?id=M.1977.32.024.G","","","1635","plate: 5-5/16 x 6-5/8 in. (13.5 x 16.8 cm); sheet: 6-3/8 x 7-13/16 in. (16.2 x 19.8 cm)","","Dutch","","Rembrandt van Rijn","Norton Simon Art Foundation"
"","","Christ Crucified between the Two Thieves: Long Oblong Plate (the ""Three Crosses""),","http://images.nortonsimon.org/viewer/index.php?id=M.1979.26.G","","","1653","comp: 13-1/8 x 17-1/4 in. (33.3 x 43.8 cm); sheet: 13-1/8 x 17-1/4 in. (33.3 x 43.8 cm)","","Dutch","","Rembrandt van Rijn","Norton Simon Art Foundation"
"","","Head of a Man,","http://images.nortonsimon.org/viewer/index.php?id=P.1953.308","","","1920","comp: 6-1/2 x 4-7/8 in. (16.5 x 12.4 cm); mount: 11-3/8 x 7-3/4 in. (28.9 x 19.7 cm)","","German","","Hans Reichel","Norton Simon Museum, The Blue Four Galka Scheyer Collection"
"","","Hommage a Klee,","http://images.nortonsimon.org/viewer/index.php?id=P.1971.7.018","","","1966","Paper: 6 x 6 in. (15.2 x 15.2 cm.)","","American","","Jesse Reichek","Norton Simon Museum, Anonymous Gift, 1971"
"","","Hommage a Klee,","http://images.nortonsimon.org/viewer/index.php?id=P.1971.7.017","","","1966","Paper: 6 x 6 in. (15.2 x 15.2 cm.)","","American","","Jesse Reichek","Norton Simon Museum, Anonymous Gift, 1971"
"","","Green Shirt,","http://images.nortonsimon.org/viewer/index.php?id=P.1969.141","","","1965-67","119 x 240 x 10-1/2 in. (302.3 x 609.6 x 26.7 cm)","","American","","Robert Rauschenberg","Norton Simon Museum, Gift of the Artist"
"","","Hommage a Klee,","http://images.nortonsimon.org/viewer/index.php?id=P.1971.7.016","","","1966","Paper: 6 x 6 in. (15.2 x 15.2 cm.)","","American","","Jesse Reichek","Norton Simon Museum, Anonymous Gift, 1971"
"","","Cardbirds I - VII,","","","","1971","Various","","American","","Robert Rauschenberg","Norton Simon Museum, Anonymous Gift"
"","","Abbey (from the ""Carnal Clock"" series),","","","","1969","60 x 60 x 10 in. (152.4 x 152.4 x 25.4 cm)     (67"" h. including stand)","","American","","Robert Rauschenberg","Norton Simon Museum, Gift of the Artist"
"","","Hommage a Klee,","http://images.nortonsimon.org/viewer/index.php?id=P.1971.7.015","","","1966","Paper: 6 x 6 in. (15.2 x 15.2 cm.)","","American","","Jesse Reichek","Norton Simon Museum, Anonymous Gift, 1971"
"","","Hommage a Kandinsky,","http://images.nortonsimon.org/viewer/index.php?id=P.1968.27.147","","","1966","Paper: 6 x 6 in. (15.2 x 15.2 cm.); Image 3 x 3 in. (7.6 x 7.6 cm.)","","American","","Jesse Reichek","Norton Simon Museum, Anonymous Gift, 1968"
"","","Death Appearing to a Wedded Couple from an Open Grave,","http://images.nortonsimon.org/viewer/index.php?id=M.1977.32.039.G","","","1639","plate: 4-3/8 x 3-1/8 in. (11.1 x .4 cm); sheet: 6-1/4 x 4-7/8 in. (11.1 x 7.9 cm)","","Dutch","","Rembrandt van Rijn","Norton Simon Art Foundation"
"","","Hommage a Kandinsky,","http://images.nortonsimon.org/viewer/index.php?id=P.1968.27.146","","","1966","Paper: 6 x 6 in. (15.2 x 15.2 cm.); Image 3 x 3 in. (7.6 x 7.6 cm.)","","American","","Jesse Reichek","Norton Simon Museum, Anonymous Gift, 1968"
"","","Hommage a Kandinsky,","http://images.nortonsimon.org/viewer/index.php?id=P.1968.27.145","","","1966","Paper: 6 x 6 in. (15.2 x 15.2 cm.); Image 3 x 3 in. (7.6 x 7.6 cm.)","","American","","Jesse Reichek","Norton Simon Museum, Anonymous Gift, 1968"
"","","Hommage a Kandinsky,","http://images.nortonsimon.org/viewer/index.php?id=P.1968.27.144","","","1966","Paper: 6 x 6 in. (15.2 x 15.2 cm.); Image 3 x 3 in. (7.6 x 7.6 cm.)","","American","","Jesse Reichek","Norton Simon Museum, Anonymous Gift, 1968"
"","","Hommage a Kandinsky,","http://images.nortonsimon.org/viewer/index.php?id=P.1968.27.143","","","1966","Paper: 6 x 6 in. (15.2 x 15.2 cm.); Image 3 x 3 in. (7.6 x 7.6 cm.)","","American","","Jesse Reichek","Norton Simon Museum, Anonymous Gift, 1968"
"","","Hommage a Kandinsky,","http://images.nortonsimon.org/viewer/index.php?id=P.1968.27.142","","","1966","Paper: 6 x 6 in. (15.2 x 15.2 cm.); Image 3 x 3 in. (7.6 x 7.6 cm.)","","American","","Jesse Reichek","Norton Simon Museum, Anonymous Gift, 1968"
"","","Hommage a Kandinsky,","http://images.nortonsimon.org/viewer/index.php?id=P.1968.27.141","","","1966","Paper: 6 x 6 in. (15.2 x 15.2 cm.); Image 3 x 3 in. (7.6 x 7.6 cm.)","","American","","Jesse Reichek","Norton Simon Museum, Anonymous Gift, 1968"
"","","Hommage a Kandinsky,","http://images.nortonsimon.org/viewer/index.php?id=P.1968.27.140","","","1966","Paper: 6 x 6 in. (15.2 x 15.2 cm.); Image 3 x 3 in. (7.6 x 7.6 cm.)","","American","","Jesse Reichek","Norton Simon Museum, Anonymous Gift, 1968"
"","","Hommage a Klee,","http://images.nortonsimon.org/viewer/index.php?id=P.1971.7.019","","","1966","Paper: 6 x 6 in. (15.2 x 15.2 cm.)","","American","","Jesse Reichek","Norton Simon Museum, Anonymous Gift, 1971"
"","","Falling Star,","http://images.nortonsimon.org/viewer/index.php?id=P.1953.305","","","1921","11-1/4 x 13-1/4 in. (28.6 x 33.7 cm)","","German","","Hans Reichel","Norton Simon Museum, The Blue Four Galka Scheyer Collection"
"","","Christ Carried to the Tomb,","http://images.nortonsimon.org/viewer/index.php?id=M.1977.32.070.G","","","c.1645","plate: 5-3/16 x 4-5/16 in. (13.2 x 11.0 cm); sheet: 5-1/4 x 4-3/8 in. (13.3 x 11.1 cm)","","Dutch","","Rembrandt van Rijn","Norton Simon Art Foundation"
"","","Christ Appearing to the Apostles,","http://images.nortonsimon.org/viewer/index.php?id=M.1977.32.081.G","","","1650","plate: 6-3/8 x 8-3/8 in. (16.2 x 21.3 cm); sheet: 6-1/2 x 8-3/8 in. (16.5 x 21.3 cm)","","Dutch","","Rembrandt van Rijn","Norton Simon Art Foundation"
"","","Woman with the Arrow (Cleopatra),","http://images.nortonsimon.org/viewer/index.php?id=M.1977.32.115.G","","","1661","comp: 8-1/16 x 5-13/16 in. (20.5 x 14.8 cm); sheet: 8-1/8 x 5-15/16 in. (20.6 x 15.1 cm)","","Dutch","","Rembrandt van Rijn","Norton Simon Art Foundation"
"","","Virgin and Child in the Clouds,","http://images.nortonsimon.org/viewer/index.php?id=M.1977.32.052.G","","","1641","plate: 6-1/2 x 4-3/16 in. (16.5 x 10.6 cm); sheet: 6-5/8 x 4-1/4 in. (16.8 x 10.8 cm)","","Dutch","","Rembrandt van Rijn","Norton Simon Art Foundation"
"","","Girl with a Basket,","http://images.nortonsimon.org/viewer/index.php?id=M.1977.32.056.G","","","c.1642","plate: 3-1/2 x 2-7/16 in. (8.9 x 6.2 cm); sheet: 3-9/16 x 2-9/16 in. (9.0 x 6.5 cm)","","Dutch","","Rembrandt van Rijn","Norton Simon Art Foundation"
"","","View of Amsterdam from the Northwest,","http://images.nortonsimon.org/viewer/index.php?id=M.1977.32.045.G","","","c. 1640","plate: 4-7/16 x 6 in. (11.3 x 15.2 cm); sheet: 4-15/16 x 6-5/8 in. (12.5 x 16.8 cm)","","Dutch","","Rembrandt van Rijn","Norton Simon Art Foundation"
"","","Two Tramps, a Man and a Woman,","http://images.nortonsimon.org/viewer/index.php?id=M.1977.32.020.G","","","c.1634","plate: 2-1/2 x 1-11/16 in. (6.4 x 4.3 cm); sheet: 2-9/16 x 1-11/16 in. (6.5 x 4.3 cm)","","Dutch","","Rembrandt van Rijn","Norton Simon Art Foundation"
"","","The Windmill,","http://images.nortonsimon.org/viewer/index.php?id=M.1977.32.048.G","","","1641","plate:  5-3/4 x 8-1/8 in. (14.6 x 21.0 cm); sheet:  5-7/8 x 8-1/2 in. (14.9x 21.6 cm)","","Dutch","","Rembrandt van Rijn","Norton Simon Art Foundation"
"","","The Tribute Money,","http://images.nortonsimon.org/viewer/index.php?id=M.1977.32.023.G","","","c.1635","plate: 2-15/16 x 4-1/16 in. (7.5 x 10.3 cm); sheet: 2-15/16 x 4-1/16 in. (7.5 x 10.3 cm)","","Dutch","","Rembrandt van Rijn","Norton Simon Art Foundation"
"","","Untitled,","http://images.nortonsimon.org/viewer/index.php?id=P.1969.092.291","","","1966","Paper: 39 x 22 in. (99.1 x 55.9 cm.)","","American","","Jesse Reichek","Norton Simon Museum, Anonymous Gift, 1969"
"","","Hommage a Mondrian,","http://images.nortonsimon.org/viewer/index.php?id=P.1968.27.171","","","1966","Paper: 6 x 6 in. (15.2 x 15.2 cm.)","","American","","Jesse Reichek","Norton Simon Museum, Anonymous Gift, 1968"
"","","Hommage a Klee,","http://images.nortonsimon.org/viewer/index.php?id=P.1971.7.030","","","1966","Paper: 6 x 6 in. (15.2 x 15.2 cm.)","","American","","Jesse Reichek","Norton Simon Museum, Anonymous Gift, 1971"
"","","Hommage a Klee,","http://images.nortonsimon.org/viewer/index.php?id=P.1971.7.029","","","1966","Paper: 6 x 6 in. (15.2 x 15.2 cm.)","","American","","Jesse Reichek","Norton Simon Museum, Anonymous Gift, 1971"
"","","Hommage a Klee,","http://images.nortonsimon.org/viewer/index.php?id=P.1971.7.028","","","1966","Paper: 6 x 6 in. (15.2 x 15.2 cm.)","","American","","Jesse Reichek","Norton Simon Museum, Anonymous Gift"
"","","Hommage a Klee,","http://images.nortonsimon.org/viewer/index.php?id=P.1971.7.027","","","1966","Paper: 6 x 6 in. (15.2 x 15.2 cm.)","","American","","Jesse Reichek","Norton Simon Museum, Anonymous Gift, 1971"
"","","Landscape with a Hay Barn and a Flock of Sheep,","http://images.nortonsimon.org/viewer/index.php?id=M.1977.32.085.G","","","1652","plate: 3-5/16 x 6-15/16 in. (8.4 x 17.6 cm); sheet: 3-5/16 x 6-15/16 in. (8.4 x 17.6 \cm)","","Dutch","","Rembrandt van Rijn","Norton Simon Art Foundation"
"","","Landscape with a Cow,","http://images.nortonsimon.org/viewer/index.php?id=M.1977.32.084.G","","","c. 1650","plate: 4-1/16 x 5-3/16 in. (10.3 x 13.2 cm); sheet: 4-3/16 x 5-3/16 in. (10.6 x 13.2 cm)","","Dutch","","Rembrandt van Rijn","Norton Simon Art Foundation"
"","","Landscape with a Cottage and Large Tree,","http://images.nortonsimon.org/viewer/index.php?id=M.1977.32.047.G","","","1641","plate:  5 x 12-1/2 in. (12.7 x 31.8 cm); sheet:  5-1/8 x 12-5/8 in. (13.0 x 39.7 cm)","","Dutch","","Rembrandt van Rijn","Norton Simon Art Foundation"
"","","Landscape with a Cottage and Haybarn: Oblong,","http://images.nortonsimon.org/viewer/index.php?id=M.1977.32.046.G","","","1641","plate:  5-1/4 x 12-3/4 in. (13.3 x 32.4 cm); sheet:  5-5/8 x 15-1/4 in. (14.3 x 38.7 cm)","","Dutch","","Rembrandt van Rijn","Norton Simon Art Foundation"
"","","Jupiter and Antiope:  the Larger Plate,","http://images.nortonsimon.org/viewer/index.php?id=M.1977.32.114.G","","","1659","plate: 5-1/2 x 8-1/8 in. (14.0 x 20.6 cm); sheet: 5-9/16 x 8-1/4 in. (14.1 x 21.0 cm)","","Dutch","","Rembrandt van Rijn","Norton Simon Art Foundation"
"","","Jupiter and Antiope:  Smaller Plate,","http://images.nortonsimon.org/viewer/index.php?id=M.1977.32.011.G","","","c.1631","plate: 3-1/4 x 4-3/8 in. (8.3 x 11.1 cm); sheet: 3-5/8 x 4-1/2 in. (9.2 x 11.4 cm)","","Dutch","","Rembrandt van Rijn","Norton Simon Art Foundation"
"","","Joseph Telling His Dreams,","http://images.nortonsimon.org/viewer/index.php?id=M.1977.32.034.G","","","1638","4-5/16 x 3-5/16 in. (11.0 x 8.4 cm)","","Dutch","","Rembrandt van Rijn","Norton Simon Art Foundation"
"","","Jews in the Synagogue,","http://images.nortonsimon.org/viewer/index.php?id=M.1977.32.079.G","","","1648","plate: 2-7/8 x 5-3/16 in. (7.3 x 13.6 cm); sheet: 2-15/16 x 5-1/4 in. (7.5 x 13.3 cm)","","Dutch","","Rembrandt van Rijn","Norton Simon Art Foundation"
"","","Jan Uytenbogaert, 'The Goldweigher',","http://images.nortonsimon.org/viewer/index.php?id=M.1977.32.040.G","","","1639","plate: 9-3/8 x 7-15/16 in. (23.8 x 20.2 cm); sheet: 10 1/16 x 8 1/8 in. (25.6 x 20.6 cm)","","Dutch","","Rembrandt van Rijn","Norton Simon Art Foundation"
"","","Jan Lutma, the Elder, Goldsmith and Sculptor,","http://images.nortonsimon.org/viewer/index.php?id=P.1961.36","","","1656","7-5/8 x 5-5/8 in. (19.4 x 14.3 cm)","","Dutch","","Rembrandt van Rijn","Norton Simon Museum, Museum purchase with funds donated by Mrs. Edward C. Crossett"
"","","Hommage a Klee,","http://images.nortonsimon.org/viewer/index.php?id=P.1971.7.026","","","1966","Paper: 6 x 6 in. (15.2 x 15.2 cm.)","","American","","Jesse Reichek","Norton Simon Museum, Anonymous Gift, 1971"
"","","Hommage a Klee,","http://images.nortonsimon.org/viewer/index.php?id=P.1971.7.025","","","1966","Paper: 6 x 6 in. (15.2 x 15.2 cm.)","","American","","Jesse Reichek","Norton Simon Museum, Anonymous Gift, 1971"
"","","Hommage a Klee,","http://images.nortonsimon.org/viewer/index.php?id=P.1971.7.031","","","1966","Paper: 6 x 6 in. (15.2 x 15.2 cm.)","","American","","Jesse Reichek","Norton Simon Museum, Anonymous Gift, 1971"
"","","Hommage a Klee,","http://images.nortonsimon.org/viewer/index.php?id=P.1971.7.024","","","1966","Paper: 6 x 6 in. (15.2 x 15.2 cm.)","","American","","Jesse Reichek","Norton Simon Museum, Anonymous Gift, 1971"
"","","Hommage a Klee,","http://images.nortonsimon.org/viewer/index.php?id=P.1971.7.023","","","1966","Paper: 6 x 6 in. (15.2 x 15.2 cm.)","","American","","Jesse Reichek","Norton Simon Museum, Anonymous Gift, 1971"
"","","Hommage a Klee,","http://images.nortonsimon.org/viewer/index.php?id=P.1971.7.022","","","1966","Paper: 6 x 6 in. (15.2 x 15.2 cm.)","","American","","Jesse Reichek","Norton Simon Museum, Anonymous Gift, 1971"
"","","Landscape with a Milkman (Het Melkboertje),","http://images.nortonsimon.org/viewer/index.php?id=M.1977.32.086.G","","","c.1650","plate: 2-5/8 x 6-7/8 in. (6.7 x 17.5 cm); sheet: 2-5/8 x 6-7/8 in. (6.7 x 17.5 cm)","","Dutch","","Rembrandt van Rijn","Norton Simon Art Foundation"
"","","Hommage a Klee,","http://images.nortonsimon.org/viewer/index.php?id=P.1971.7.021","","","1966","Paper: 6 x 6 in. (15.2 x 15.2 cm.)","","American","","Jesse Reichek","Norton Simon Museum, Anonymous Gift, 1971"
"","","Hommage a Klee,","http://images.nortonsimon.org/viewer/index.php?id=P.1971.7.020","","","1966","Paper: 6 x 6 in. (15.2 x 15.2 cm.)","","American","","Jesse Reichek","Norton Simon Museum, Anonymous Gift, 1971"
"","","Hommage a Mondrian,","http://images.nortonsimon.org/viewer/index.php?id=P.1968.27.170","","","1966","Paper: 6 x 6 in. (15.2 x 15.2 cm.)","","American","","Jesse Reichek","Norton Simon Museum, Anonymous Gift, 1968"
"","","Hommage a Mondrian,","http://images.nortonsimon.org/viewer/index.php?id=P.1968.27.169","","","1966","Paper: 6 x 6 in. (15.2 x 15.2 cm.)","","American","","Jesse Reichek","Norton Simon Museum, Anonymous Gift, 1968"
"","","Hommage a Mondrian,","http://images.nortonsimon.org/viewer/index.php?id=P.1968.27.168","","","1966","Paper: 6 x 6 in. (15.2 x 15.2 cm.)","","American","","Jesse Reichek","Norton Simon Museum, Anonymous Gift, 1968"
"","","Hommage a Mondrian,","http://images.nortonsimon.org/viewer/index.php?id=P.1968.27.167","","","1966","Paper: 6 x 6 in. (15.2 x 15.2 cm.)","","American","","Jesse Reichek","Norton Simon Museum, Anonymous Gift, 1968"
"","","Medea:  or the Marriage of Jason and Creusa,","http://images.nortonsimon.org/viewer/index.php?id=M.1977.32.080.G","","","1648","plate: 9-3/8 x 7 in. (23.8 x 17.8 cm); sheet: 10-9/16 x 7-1/8 in. (26.8 x 18.1 cm)","","Dutch","","Rembrandt van Rijn","Norton Simon Art Foundation"
"","","Man Wearing a Close Cap:  Bust (the Artist's Father?),","http://images.nortonsimon.org/viewer/index.php?id=M.1977.32.008.G","","","1630","plate: 3 x 2-5/16 in. (7.6 x 5.9 cm); sheet: 3-3/16 x 2-1/2 in. (8.1 x 6.4 cm)","","Dutch","","Rembrandt van Rijn","Norton Simon Art Foundation"
"","","Man in a Coat and Fur Cap Leaning Against a Bank,","http://images.nortonsimon.org/viewer/index.php?id=M.1977.32.006.G","","","c.1630","plate: 4-7/16 x 3-3/16 in. (11.3 x 8.1 cm); sheet: 4-5/8 x 3-5/16 in. (11.7 x 8.4 cm)","","Dutch","","Rembrandt van Rijn","Norton Simon Art Foundation"
"","","Man in a Broad-Brimmed Hat,","http://images.nortonsimon.org/viewer/index.php?id=M.1977.32.033.G","","","1638","plate: 3-1/8 x 2-5/8 in. (7.9 x 6.7 cm); sheet: 3-3/8 x 2-13/16 in. (8.6 x 7.1 cm)","","Dutch","","Rembrandt van Rijn","Norton Simon Art Foundation"
"","","Man Drawing from a Cast,","http://images.nortonsimon.org/viewer/index.php?id=M.1977.32.055.G","","","c.1641","plate: 3-1/4 x 2-9/16 in. (8.3 x 6.5 cm); sheet: 3-7/8 x 2-11/16 in. (9.8 x 6.8 cm)","","Dutch","","Rembrandt van Rijn","Norton Simon Art Foundation"
"","","Hommage a Klee,","http://images.nortonsimon.org/viewer/index.php?id=P.1971.7.032","","","1966","Paper: 6 x 6 in. (15.2 x 15.2 cm.)","","American","","Jesse Reichek","Norton Simon Museum, Anonymous Gift, 1971"
"","","Man at a Desk, Wearing Cross and Chain,","http://images.nortonsimon.org/viewer/index.php?id=M.1977.32.053.G","","","1641","plate: 6-1/8 x 4-1/16 in. (15.6 x 10.3 cm); sheet: 6-1/2 x 4-1/8 in. (16.5 x 10.5 cm)","","Dutch","","Rembrandt van Rijn","Norton Simon Art Foundation"
"","","Lieven Willemsz. Van Coppenol, Writing-Master:  the Larger Plate,","http://images.nortonsimon.org/viewer/index.php?id=M.1977.29.3.G","","","1658","plate: 13-1/8 x 11-1/8 in. (33.3 x 28.3 cm); sheet: 13-1/8 x 11-1/8 in. (33.3 x 28.3 cm)","","Dutch","","Rembrandt van Rijn","Norton Simon Art Foundation"
"","","Hommage a Mondrian,","http://images.nortonsimon.org/viewer/index.php?id=P.1968.27.150","","","1966","Paper: 6 x 6 in. (15.2 x 15.2 cm.)","","American","","Jesse Reichek","Norton Simon Museum, Anonymous Gift, 1968"
"","","Hommage a Mondrian,","http://images.nortonsimon.org/viewer/index.php?id=P.1968.27.149","","","1966","Paper: 6 x 6 in. (15.2 x 15.2 cm.)","","American","","Jesse Reichek","Norton Simon Museum, Anonymous Gift, 1968"
"","","Landscape with Three Gabled Cottages Beside a Road,","http://images.nortonsimon.org/viewer/index.php?id=M.1977.32.089.G","","","1650","plate: 6-3/8 x 8 in. (16.2 x 20.3 cm); sheet: 6-9/16 x 8-1/8 in. (16.7 x 20.6 cm)","","Dutch","","Rembrandt van Rijn","Norton Simon Art Foundation"
"","","Hommage a Mondrian,","http://images.nortonsimon.org/viewer/index.php?id=P.1968.27.148-171","","","1966","Norton Simon Museum, Anonymous Gift, 1968","","American","","Jesse Reichek","P.1968.27.148-171"
"","","Hommage a Mondrian,","http://images.nortonsimon.org/viewer/index.php?id=P.1968.27.148","","","1966","Paper: 6 x 6 in. (15.2 x 15.2 cm.)","","American","","Jesse Reichek","Norton Simon Museum, Anonymous Gift, 1968"
"","","Hommage a Klee,","http://images.nortonsimon.org/viewer/index.php?id=P.1971.7.038","","","1966","Paper: 6 x 6 in. (15.2 x 15.2 cm.)","","American","","Jesse Reichek","Norton Simon Museum, Anonymous Gift, 1971"
"","","Hommage a Klee,","http://images.nortonsimon.org/viewer/index.php?id=P.1971.7.037","","","1966","Paper: 6 x 6 in. (15.2 x 15.2 cm.)","","American","","Jesse Reichek","Norton Simon Museum, Anonymous Gift, 1971"
"","","Hommage a Klee,","http://images.nortonsimon.org/viewer/index.php?id=P.1971.7.036","","","1966","Paper: 6 x 6 in. (15.2 x 15.2 cm.)","","American","","Jesse Reichek","Norton Simon Museum, Anonymous Gift, 1971"
