"artist_URI","description","object_uri","Artwork_Title","image_url","birth_date","death_date","date","dimensions_inch","medium_uri","medium","Nationality_URI","nationality","artist_appellation_uri","name","credit_line"
"","NA","","Church Meeting","http://emuseum.huntington.org/internal/media/dispatcher/30555/resize:format$003dfull","1920","2001","1939","sheet: 14 1/2 x 18","","graphite on paper","","American","","Roger Medearis","The Huntington Library, Art Collections, and Botanical Gardens. Gift of Elizabeth Medearis"
"","NA","","Civil War","http://emuseum.huntington.org/internal/media/dispatcher/16211/resize:format$003dfull","1821","1888","ca. 1865","11 5/8 x 17 1/2","","graphite and gray wash heightened with white on paper on board","","American","","Felix Octavius Carr Darley","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Civitella","http://emuseum.huntington.org/internal/media/dispatcher/18013/resize:format$003dfull","1816","1872","1846","12 1/8 x 17 3/8","","graphite on buff paper","","American","","John Frederick Kensett","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Clamdiggers, Cape Ann","http://emuseum.huntington.org/internal/media/dispatcher/18017/resize:format$003dfull","1838","1909","n.d.","12 x 15 1/2","","watercolor and black chalk on paper","","American","","Walter Shirlaw","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Classical Temple Ruin","http://emuseum.huntington.org/internal/media/dispatcher/16131/resize:format$003dfull","1852","1944","n.d.","6 1/2 x 9 7/8","","pastel on gray paper","","American","","Charles Erskine Wood","The Huntington Library, Art Collections, and Botanical Gardens."
"","NA","","Clovelly, North Devon, September 23, 1901","http://emuseum.huntington.org/internal/media/dispatcher/20099/resize:format$003dfull","1846","1918","1901","4 3/4 x 7 5/16","","watercolor on paper","","American","","Joseph Basil Girard","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Coast near Chagress River, Panama","http://emuseum.huntington.org/internal/media/dispatcher/16255/resize:format$003dfull","1813","1867","ca. 1849","3 1/2 x 10","","watercolor and graphite on board","","American","","William McIlvaine Jr.","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Coastal Scene","http://emuseum.huntington.org/internal/media/dispatcher/17975/resize:format$003dfull","1852","1944","n.d.","10 x 13 15/16","","watercolor on paper","","American","","Charles Erskine Wood","The Huntington Library, Art Collections, and Botanical Gardens."
"","NA","","Coastal Scene","http://emuseum.huntington.org/internal/media/dispatcher/16146/resize:format$003dfull","1852","1944","n.d.","5 5/8 x 8 3/4","","pastel and charcoal on gray paper","","American","","Charles Erskine Wood","The Huntington Library, Art Collections, and Botanical Gardens."
"","NA","","Coastal Scene","http://emuseum.huntington.org/internal/media/dispatcher/16148/resize:format$003dfull","1852","1944","n.d.","6 1/4 x 9 1/8","","pastel on paper","","American","","Charles Erskine Wood","The Huntington Library, Art Collections, and Botanical Gardens."
"","NA","","Coastal Scene","http://emuseum.huntington.org/internal/media/dispatcher/16149/resize:format$003dfull","1852","1944","n.d.","6 1/16 x 8 7/8","","pastel on paper","","American","","Charles Erskine Wood","The Huntington Library, Art Collections, and Botanical Gardens."
"","NA","","Coastal Scene with Dunes","http://emuseum.huntington.org/internal/media/dispatcher/17987/resize:format$003dfull","1852","1944","n.d.","10 x 14","","watercolor and graphite on paper laid on board","","American","","Charles Erskine Wood","The Huntington Library, Art Collections, and Botanical Gardens."
"","NA","","Coastal Scene with Ship","http://emuseum.huntington.org/internal/media/dispatcher/16156/resize:format$003dfull","1852","1944","n.d.","6 13/16 x 9 7/8","","watercolor on paper laid on board","","American","","Charles Erskine Wood","The Huntington Library, Art Collections, and Botanical Gardens."
"","NA","","Colliersville Fight","http://emuseum.huntington.org/internal/media/dispatcher/18056/resize:format$003dfull","1840","1894","1891","NA","","black ink on paper","","American","","Theodore Russell Davis","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Colonel Fremont of New York","http://emuseum.huntington.org/internal/media/dispatcher/16207/resize:format$003dfull","1829","1894","1856","5 3/4 x 4 1/2","","graphite heightened with white on gray paper","","French","","Jules Emile Saintin","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Columbian Armory, Washington, D.C.","http://emuseum.huntington.org/internal/media/dispatcher/18058/resize:format$003dfull","1840","1894","n.d.","6 x 13 1/8","","ink and wash on paper","","American","","Theodore Russell Davis","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Confluence of the Mississippi and the St. Croix","http://emuseum.huntington.org/internal/media/dispatcher/18092/resize:format$003dfull","1816","1892","1860","6 1/8 x 9 1/8","","graphite, watercolor and Chinese white on paper","","American","","Edwin Whitefield","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Conway Castle","http://emuseum.huntington.org/internal/media/dispatcher/16198/resize:format$003dfull","1816","1872","1856","9 7/8 x 14","","graphite on paper","","American","","John Frederick Kensett","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Cooking in our Shack","http://emuseum.huntington.org/internal/media/dispatcher/16167/resize:format$003dfull","1885","1973","1925","12 x 9","","pen, ink and watercolor on paper","","American","","Ralph Stackpole","The Huntington Library, Art Collections, and Botanical Gardens."
"","NA","","Couple in Evening Clothes","http://emuseum.huntington.org/internal/media/dispatcher/28000/resize:format$003dfull","NA","NA","n.d.","26 3/8 x 20 1/2","","ink on paper","","American","","Samuel D. Ehrhart","The Huntington Library, Art Collections, and Botanical Gardens.  Anonymous Gift"
"","NA","","Couple Walking","http://emuseum.huntington.org/internal/media/dispatcher/28002/resize:format$003dfull","1855","1929","n.d.","10 1/4 x 8","","ink on paper","","American","","Charles Jay Taylor","The Huntington Library, Art Collections, and Botanical Gardens.  Anonymous Gift"
"","NA","","Cowboy Roping","http://emuseum.huntington.org/internal/media/dispatcher/26363/resize:format$003dfull","1872","1945","n.d.","8 1/2 x 14","","India ink on paper","","American","","Edward Borein","The Huntington Library, Art Collections, and Botanical Gardens.  Anonymous Gift"
"","NA","","Cragie House, Cambridge, Massachusetts","http://emuseum.huntington.org/internal/media/dispatcher/16227/resize:format$003dfull","1838/45","1911","n.d.","11 1/2 x 16 3/4","","watercolor and graphite on board","","American","","Harry Fenn","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Crippled Ship","http://emuseum.huntington.org/internal/media/dispatcher/20464/resize:format$003dfull","1882","1959","n.d.","19 3/4 x 17","","watercolor and gouache on board","","American","","George Harding","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Crowning of the Republic","http://emuseum.huntington.org/internal/media/dispatcher/16253/resize:format$003dfull","1800","1862","n.d.","8 x 10 3/8","","black ink and wash on board","","American","","Mosley Isaac Danforth","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Cuernavaca","http://emuseum.huntington.org/internal/media/dispatcher/27929/resize:format$003dfull","1860","1935","ca. 1885-1932","9 13/16 x 7 1/8","","watercolor on paper","","American","","Christian Jorgensen","The Huntington Library, Art Collections, and Botanical Gardens. Gift of Mrs. Virgil W. Jorgensen"
"","NA","","Danger! R.R. Crossing","http://emuseum.huntington.org/internal/media/dispatcher/31602/resize:format$003dfull","1908","1978","1966","14 7/8 x 9 1/16","","ink and crayon","","American","","Don Freeman","Huntington Library, Art Collections, and Botanical Gardens. Gift of Bonnie and Lee Stone"
"","NA","","Dawn","http://emuseum.huntington.org/internal/media/dispatcher/25235/resize:format$003dfull","NA","NA","1999","29 3/4 x 22","","watercolor, colored pencil, gesso on paper","","American","","Ruth Ellen Weisberg","The Huntington Library, Art Collections, and Botanical Gardens. Gift of Gary, Brenda, and Harrison Ruttenberg."
"","NA","","Delaware","http://emuseum.huntington.org/internal/media/dispatcher/18027/resize:format$003dfull","1804","1889","1882","9 x 20","","black ink and graphite on paper","","American","","Joseph Goldsborough Bruff","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Delivering the Mail","http://emuseum.huntington.org/internal/media/dispatcher/18035/resize:format$003dfull","1856","after 1925","n.d.","11 3/4 x 19","","watercolor and gouache en grisaille on board","","American","","Douglas Volk","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Desert Mountain","http://emuseum.huntington.org/internal/media/dispatcher/16122/resize:format$003dfull","1887","1945","n.d.","NA","","watercolor on paper","","American","","Rowena Fischer Meeks Abdy","The Huntington Library, Art Collections, and Botanical Gardens.  Gift of Michael F. Williams"
"","NA","","Design","http://emuseum.huntington.org/internal/media/dispatcher/18071/resize:format$003dfull","NA","NA","n.d.","3 3/4 x 7 7/8","","pen and ink on board","","NA","","Unknown, American","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Design","http://emuseum.huntington.org/internal/media/dispatcher/18072/resize:format$003dfull","NA","NA","n.d.","7 1/2 x 1 1/4","","pen and ink on board","","NA","","Unknown, American","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Design","http://emuseum.huntington.org/internal/media/dispatcher/18073/resize:format$003dfull","NA","NA","n.d.","7 1/2 x 4 3/4","","pen and black ink on paper","","NA","","Unknown, American","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Design for a Library Table","http://emuseum.huntington.org/internal/media/dispatcher/16112/resize:format$003dfull","NA","NA","ca. 1920","8 x 11","","graphite","","American","","L. G. Mahns","The Huntington Library, Art Collections, and Botanical Gardens"
"","NA","","Design for Armchair [room unknown]","http://emuseum.huntington.org/internal/media/dispatcher/16184/resize:format$003dfull","1868","1962","ca. 1902","4 5/8 x 5 1/8","","graphite, pen, ink and watercolor on paper","","American","","William H. Bradley","The Huntington Library, Art Collections, and Botanical Gardens. Gift of Will Bradley"
"","NA","","Design for Drop-front Desk with Drawers on Side [room unknown]","http://emuseum.huntington.org/internal/media/dispatcher/16185/resize:format$003dfull","1868","1962","ca. 1902","5 7/8 x 6 5/16","","graphite, pen, ink and watercolor on paper","","American","","William H. Bradley","The Huntington Library, Art Collections, and Botanical Gardens. Gift of Will Bradley"
"","NA","","Design for Fresco - ""Bureau of Public Roads""","http://emuseum.huntington.org/internal/media/dispatcher/18143/resize:format$003dfull","1905","1991","1936","15 1/2 x 14 1/2","","colored pencil and pencil","","American","","John Charles Haley","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Design for Fresco - ""Forest Service""","http://emuseum.huntington.org/internal/media/dispatcher/18142/resize:format$003dfull","1905","1991","1936","15 x 14 1/2","","colored pencil and pencil","","American","","John Charles Haley","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Design for Fresco - ""Four Workers""","http://emuseum.huntington.org/internal/media/dispatcher/18141/resize:format$003dfull","1905","1991","1936","17 1/4 x 15","","colored pencil and pencil","","American","","John Charles Haley","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Design for Hinges [room unknown]","http://emuseum.huntington.org/internal/media/dispatcher/16183/resize:format$003dfull","1868","1962","ca. 1902","3 1/4 x 2 3/8","","graphite, pen, ink and watercolor on paper","","American","","William H. Bradley","The Huntington Library, Art Collections, and Botanical Gardens. Gift of Will Bradley"
"","NA","","Design for Library, Will Bradley House","http://emuseum.huntington.org/internal/media/dispatcher/26764/resize:format$003dfull","1868","1962","ca. 1901","25 1/2 x 37 1/2","","graphite, pen, ink and watercolor on paper","","American","","William H. Bradley","The Huntington Library, Art Collections, and Botanical Gardens. Gift of Will Bradley"
"","NA","","Design for Life of Saint Zita, Words of Love","http://emuseum.huntington.org/internal/media/dispatcher/18030/resize:format$003dfull","1837","1917","n.d.","15 1/2 x 11","","pen and sepia ink on paper","","British","","Francesca Alexander","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Dining Room Sideboard","http://emuseum.huntington.org/internal/media/dispatcher/16175/resize:format$003dfull","1868","1962","ca. 1902","9 5/8 x 6 5/16","","graphite, pen, ink and watercolor on paper","","American","","William H. Bradley","The Huntington Library, Art Collections, and Botanical Gardens. Gift of Will Bradley"
"","NA","","Disneyland","http://emuseum.huntington.org/internal/media/dispatcher/31593/resize:format$003dfull","1908","1978","1959","15 x 20","","graphite on board","","American","","Don Freeman","Huntington Library, Art Collections, and Botanical Gardens. Gift of Bonnie and Lee Stone"
"","NA","","Dome in Yosemite","http://emuseum.huntington.org/internal/media/dispatcher/28320/resize:format$003dfull","1833","1909","ca. 1871","9 x 6 1/4","","graphite heightened with Chinese white on paper","","American","","James David Smillie","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Domes of Yosemite","http://emuseum.huntington.org/internal/media/dispatcher/17994/resize:format$003dfull","1839","1922","n.d.","12 1/2 x 7","","watercolor over graphite on paper","","American","","John Henry Hill","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Domestic Scene of Ten Figures, Two Horses, and One Dog, October 1872","http://emuseum.huntington.org/internal/media/dispatcher/20072/resize:format$003dfull","1846","1918","1872","5 x 8 11/16","","graphite on paper","","American","","Joseph Basil Girard","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Drapery Study","http://emuseum.huntington.org/internal/media/dispatcher/5156/resize:format$003dfull","1738","1815","n.d.","12 1/4 x 19 1/4","","black and white chalk on blue paper","","American","","John Singleton Copley","The Huntington Library, Art Collections, and Botanical Gardens"
"","NA","","Drummer Boy, Rappahannock Station, VA","http://emuseum.huntington.org/internal/media/dispatcher/18020/resize:format$003dfull","1839","1895","1864","19 3/4 x 13 3/4","","black ink and black crayon on paper","","American","","Edwin Forbes","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Dunally Castle, Argyllshire","http://emuseum.huntington.org/internal/media/dispatcher/28505/resize:format$003dfull","1846","1918","1910","sheet: 4 13/16 x 7 7/16","","watercolor on paper","","American","","Joseph Basil Girard","The Huntington Library, Art Collections, and Botanical Gardens. Bequest of Jane Louise Hemphill"
"","NA","","Dusty Skies","http://emuseum.huntington.org/internal/media/dispatcher/16120/resize:format$003dfull","1904","1984","ca. 1950","9 1/8 x 12 1/4","","watercolor and graphite on paper","","American","","Peter Hurd","The Huntington Library, Art Collections, and Botanical Gardens. Bequest of Stewart Clark Warner"
"","NA","","Early Evening in Summer","http://emuseum.huntington.org/internal/media/dispatcher/16117/resize:format$003dfull","1904","1984","n.d.","6 1/16 x 8","","watercolor and graphite on paper","","American","","Peter Hurd","The Huntington Library, Art Collections, and Botanical Gardens"
"","NA","","Elderly Woman in a Cap","http://emuseum.huntington.org/internal/media/dispatcher/27965/resize:format$003dfull","1872","1930","1907","15 x 11","","graphite on paper","","American","","Charles Webster Hawthorne","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","English Village","http://emuseum.huntington.org/internal/media/dispatcher/16196/resize:format$003dfull","1816","1872","ca. 1843-1845","9 7/8 x 14","","graphite on paper","","American","","John Frederick Kensett","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Enlarging the Composition","http://emuseum.huntington.org/internal/media/dispatcher/18057/resize:format$003dfull","1840","1894","n.d.","9 x 12 1/2","","black ink on paper","","American","","Theodore Russell Davis","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Entrance to Fishermans Wharf, San Francisco, Calif.","http://emuseum.huntington.org/internal/media/dispatcher/22334/resize:format$003dfull","1858","1949","1936","10 x 12 1/16","","graphite on paper","","American","","E. A. Burbank","The Huntington Library, Art Collections, and Botanical Gardens. Gift of Mrs. Adelaide Bray."
"","NA","","Eskimo Couple About to Go Shopping","http://emuseum.huntington.org/internal/media/dispatcher/28001/resize:format$003dfull","NA","NA","n.d.","19 1/2 x 24","","ink on paper","","American","","Samuel D. Ehrhart","The Huntington Library, Art Collections, and Botanical Gardens.  Anonymous Gift"
"","NA","","Espiritu Santo-Texas","http://emuseum.huntington.org/internal/media/dispatcher/27931/resize:format$003dfull","1860","1935","ca. 1885-1932","14 1/2 x 10 1/4","","watercolor on paper","","American","","Christian Jorgensen","The Huntington Library, Art Collections, and Botanical Gardens. Gift of Mrs. Virgil W. Jorgensen"
"","NA","","Evening, Santa Ynez","http://emuseum.huntington.org/internal/media/dispatcher/17993/resize:format$003dfull","1909","1969","n.d.","15 x 22 5/8","","watercolor and graphite on paper","","American","","Thomas Craig","The Huntington Library, Art Collections, and Botanical Gardens. Gift of Anne Bacon"
"","NA","","Fallen Sequoia","http://emuseum.huntington.org/internal/media/dispatcher/28300/resize:format$003dfull","1833","1909","1871","9 x 6 1/4","","graphite heightened with Chinese white on paper","","American","","James David Smillie","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Family Life","http://emuseum.huntington.org/internal/media/dispatcher/20466/resize:format$003dfull","NA","NA","1855","9 3/4 x 11 3/4","","gray wash on paper","","NA","","American School","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Family on a Train","http://emuseum.huntington.org/internal/media/dispatcher/30265/resize:format$003dfull","1908","1978","1931","4 3/4 x 6 3/4","","graphite on paper","","American","","Don Freeman","The Huntington Library, Art Collections, and Botanical Gardens. Gift of Bonnie and Lee Stone"
"","NA","","Farm House in France","http://emuseum.huntington.org/internal/media/dispatcher/28491/resize:format$003dfull","1846","1918","1908","sheet: 4 13/16 x 7 7/16","","watercolor on paper","","American","","Joseph Basil Girard","The Huntington Library, Art Collections, and Botanical Gardens. Bequest of Jane Louise Hemphill"
"","NA","","Farm House in Surrey","http://emuseum.huntington.org/internal/media/dispatcher/28495/resize:format$003dfull","1846","1918","1908","sheet: 4 13/16 x 7 7/16","","watercolor on paper","","American","","Joseph Basil Girard","The Huntington Library, Art Collections, and Botanical Gardens. Bequest of Jane Louise Hemphill"
"","NA","","Farmer Takes a Wife","http://emuseum.huntington.org/internal/media/dispatcher/30556/resize:format$003dfull","1920","2001","1940","sheet: 11 x 13","","graphite on paper","","American","","Roger Medearis","The Huntington Library, Art Collections, and Botanical Gardens. Gift of Elizabeth Medearis"
"","NA","","Farmhouse, August 16, 1890","http://emuseum.huntington.org/internal/media/dispatcher/20081/resize:format$003dfull","1846","1918","1890","4 11/16 x 6 3/4","","watercolor on paper","","American","","Joseph Basil Girard","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Farmhouse, August 21, 1890","http://emuseum.huntington.org/internal/media/dispatcher/20082/resize:format$003dfull","1846","1918","1890","4 3/4 x 6 13/16","","watercolor on paper","","American","","Joseph Basil Girard","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Farmhouse, March 27, 1876","http://emuseum.huntington.org/internal/media/dispatcher/20078/resize:format$003dfull","1846","1918","1876","4 13/16 x 7 5/8","","watercolor on paper","","American","","Joseph Basil Girard","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Fear","http://emuseum.huntington.org/internal/media/dispatcher/31594/resize:format$003dfull","1908","1978","ca. 1955","14 7/8 x 19 1/4","","ink, gouache, and litho crayon","","American","","Don Freeman","Huntington Library, Art Collections, and Botanical Gardens. Gift of Bonnie and Lee Stone"
"","NA","","Female Figure Study","http://emuseum.huntington.org/internal/media/dispatcher/16170/resize:format$003dfull","1848","1919","n.d.","9 1/4 x 6 1/8","","graphite on paper","","American","","Frank Duveneck","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Female Figure Study","http://emuseum.huntington.org/internal/media/dispatcher/16171/resize:format$003dfull","1848","1919","n.d.","9 1/4 x 6 1/8","","graphite on paper","","American","","Frank Duveneck","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Female Figure Study","http://emuseum.huntington.org/internal/media/dispatcher/16172/resize:format$003dfull","1848","1919","n.d.","9 1/4 x 6 1/8","","graphite on paper","","American","","Frank Duveneck","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Figure in a Landscape","http://emuseum.huntington.org/internal/media/dispatcher/16230/resize:format$003dfull","1865","1951","1900","18 1/2 x 12 1/4","","black crayon, pen and black ink heightened with white on board","","American","","Frank Vincent Dumond","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Figure of a Prophet","http://emuseum.huntington.org/internal/media/dispatcher/16229/resize:format$003dfull","1865","1951","n.d.","18 1/2 x 12 1/4","","charcoal on gray paper","","American","","Frank Vincent Dumond","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Figure Studies","http://emuseum.huntington.org/internal/media/dispatcher/18050/resize:format$003dfull","1848","1914","n.d.","10 5/8 x 15 1/4","","graphite on tan paper","","American","","Toby Edward Rosenthal","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Figure Study","http://emuseum.huntington.org/internal/media/dispatcher/16127/resize:format$003dfull","NA","NA","n.d.","11 5/8 x 7 1/4","","brown ink on buff paper","","American","","Colleen Browning","The Huntington Library, Art Collections, and Botanical Gardens. Gift of Robert Halsband"
"","NA","","Figure Study for ""State Fair""","http://emuseum.huntington.org/internal/media/dispatcher/20494/resize:format$003dfull","1897","1946","1929","20 x 25","","charcoal drawing","","American","","John Steuart Curry","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Figure with a Basket","http://emuseum.huntington.org/internal/media/dispatcher/18083/resize:format$003dfull","NA","NA","n.d.","14 3/4 x 8 3/4","","watercolor and gouache en grisaille on brown paper","","NA","","American School","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Figures in a Park","http://emuseum.huntington.org/internal/media/dispatcher/784/resize:format$003dfull","1867","1940","ca. 1922","5 x 6 3/4","","pastel on paper","","American","","Jerome Myers","The Huntington Library, Art Collections, and Botanical Gardens. Gift of Margery and Maurice Katz"
"","NA","","Fillette au Grand Chapeau","http://emuseum.huntington.org/internal/media/dispatcher/1018/resize:format$003dfull","1844","1926","ca. 1908","25 1/4 x 19 1/2","","pastel on paper","","American","","Mary Cassatt","The Huntington Library, Art Collections, and Botanical Gardens. Arabella D. Huntington Memorial Collection"
"","NA","","Fishermans Wharf, S.F., Calif.","http://emuseum.huntington.org/internal/media/dispatcher/22326/resize:format$003dfull","1858","1949","1936","10 9/16 x 12 13/16","","graphite on paper","","American","","E. A. Burbank","The Huntington Library, Art Collections, and Botanical Gardens. Gift of Mrs. Adelaide Bray."
"","NA","","Five Mounted Cowboys","http://emuseum.huntington.org/internal/media/dispatcher/26355/resize:format$003dfull","1872","1945","n.d.","8 7/16 x 14","","India ink on paper","","American","","Edward Borein","The Huntington Library, Art Collections, and Botanical Gardens.  Anonymous Gift"
"","NA","","Five Mule Team, Munroe","http://emuseum.huntington.org/internal/media/dispatcher/18054/resize:format$003dfull","1827","1860","1829","NA","","graphite and watercolor heightened with white on paper","","American","","Henry Jackson Morton","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Florence, Duomo from the Mozzi Garden","http://emuseum.huntington.org/internal/media/dispatcher/27962/resize:format$003dfull","1843","1917","1877","9 7/8 x 13 3/4","","watercolor and bodycolor on paper","","American","","Henry Roderick Newman","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Flower Study","http://emuseum.huntington.org/internal/media/dispatcher/17982/resize:format$003dfull","1852","1944","1902","18 x 12","","watercolor and pastel on paper laid on board","","American","","Charles Erskine Wood","The Huntington Library, Art Collections, and Botanical Gardens."
"","NA","","Flower Study","http://emuseum.huntington.org/internal/media/dispatcher/17983/resize:format$003dfull","1852","1944","1902","18 x 12","","watercolor on paper","","American","","Charles Erskine Wood","The Huntington Library, Art Collections, and Botanical Gardens."
"","NA","","Fly in the Ointment","http://emuseum.huntington.org/internal/media/dispatcher/16247/resize:format$003dfull","1867","1933","1891","11 1/2 x 9 1/4","","pen and black ink on board","","American","","George Benjamin Luks","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Foot of Sentinel Fall","http://emuseum.huntington.org/internal/media/dispatcher/28309/resize:format$003dfull","1833","1909","1871","9 x 6 1/4","","graphite heightened with Chinese white on paper","","American","","James David Smillie","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Forest Scene","http://emuseum.huntington.org/internal/media/dispatcher/17970/resize:format$003dfull","1852","1944","1921","14 x 9 15/16","","watercolor and charcoal on paper","","American","","Charles Erskine Wood","The Huntington Library, Art Collections, and Botanical Gardens."
"","NA","","Forest Scene","http://emuseum.huntington.org/internal/media/dispatcher/17971/resize:format$003dfull","1852","1944","n.d.","13 15/16 x 10","","watercolor on paper","","American","","Charles Erskine Wood","The Huntington Library, Art Collections, and Botanical Gardens."
"","NA","","Forest Scene","http://emuseum.huntington.org/internal/media/dispatcher/17972/resize:format$003dfull","1852","1944","n.d.","13 15/16 x 10","","watercolor and charcoal on paper","","American","","Charles Erskine Wood","The Huntington Library, Art Collections, and Botanical Gardens."
"","NA","","Forms Through a Panel","http://emuseum.huntington.org/internal/media/dispatcher/18154/resize:format$003dfull","1899","1985","1933","11 7/8 x 9 1/2","","watercolor, gouache, and graphite on paper","","American","","Werner Drewes","The Huntington Library, Art Collections, and Botanical Gardens. Gift of Kenneth W. Treiman"
"","NA","","Fort Apache Arizona in 1873 from the West, January 7, 1910","http://emuseum.huntington.org/internal/media/dispatcher/20136/resize:format$003dfull","1846","1918","1910","5 3/8 x 7 9/16","","watercolor on paper","","American","","Joseph Basil Girard","The Huntington Library, Art Collections, and Botanical Gardens. Gift of Mrs. J. E. Hemphill"
"","NA","","Fort Apache, Arizona, in 1873, January 5, 1909","http://emuseum.huntington.org/internal/media/dispatcher/20123/resize:format$003dfull","1846","1918","1909","6 x 7 3/4","","watercolor on paper","","American","","Joseph Basil Girard","The Huntington Library, Art Collections, and Botanical Gardens. Gift of Mrs. J. E. Hemphill"
"","NA","","Fort Corcoran, Arlington Heights, Va.","http://emuseum.huntington.org/internal/media/dispatcher/18069/resize:format$003dfull","1840","1895","n.d.","7 1/4 x 9 7/8","","watercolor and graphite on paper","","British","","Alfred Thompson","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
