"Age","Number","Position","Player","Country"
"29","7","Midfielder","Bastian SCHWEINSTEIGER","Germany"
"29","17","Defender","Per MERTESACKER","Germany"
"29","11","Midfielder","Sulley MUNTARI","Ghana"
"29","16","Goalkeeper","Fatawu DAUDA","Ghana"
"29","7","Forward","Georgios SAMARAS","Greece"
"29","15","Defender","Vasileios TOROSIDIS","Greece"
"29","20","Defender","Jose CHOLEVAS","Greece"
"29","6","Midfielder","Alexandros TZIOLIS","Greece"
"29","8","Midfielder","Wilson PALACIOS","Honduras"
"29","14","Midfielder","Boniek GARCIA","Honduras"
"29","2","Defender","Osman CHAVEZ","Honduras"
"29","14","Midfielder","Alberto AQUILANI","Italy"
"29","3","Defender","Giorgio CHIELLINI","Italy"
"29","18","Midfielder","Marco PAROLO","Italy"
"29","22","Defender","Souleymane BAMBA","Ivory Coast"
"29","20","Midfielder","Die SEREY","Ivory Coast"
"29","2","Defender","Ron VLAAR","Netherlands"
"29","6","Midfielder","Nigel DE JONG","Netherlands"
"29","21","Goalkeeper","Chigozie AGBIM","Nigeria"
"29","7","Forward","CRISTIANO RONALDO","Portugal"
"29","18","Forward","VARELA","Portugal"
"29","20","Midfielder","RUBEN AMORIM","Portugal"
"29","19","Forward","Alexander SAMEDOV","Russia"
"29","11","Forward","LEE Keunho","South Korea"
"29","1","Goalkeeper","JUNG Sungryong","South Korea"
"29","8","Midfielder","HA Daesung","South Korea"
"29","20","Midfielder","Santi CAZORLA","Spain"
"29","5","Defender","JUANFRAN","Spain"
"29","7","Midfielder","Tranquillo BARNETTA","Switzerland"
"29","4","Defender","Philippe SENDEROS","Switzerland"
"29","8","Midfielder","Gokhan INLER","Switzerland"
"29","11","Midfielder","Valon BEHRAMI","Switzerland"
"29","20","Midfielder","Alvaro GONZALEZ","Uruguay"
"29","5","Midfielder","Walter GARGANO","Uruguay"
"29","4","Defender","Jorge FUCILE","Uruguay"
"29","12","Goalkeeper","Brad GUZAN","USA"
"30","7","Midfielder","Hassan YEBDA","Algeria"
"30","22","Midfielder","Mehdi MOSTEFA","Algeria"
"30","8","Midfielder","Medhi LACEN","Algeria"
"30","14","Midfielder","Javier MASCHERANO","Argentina"
"30","21","Goalkeeper","Mariano ANDUJAR","Argentina"
"30","23","Defender","Jose Maria BASANTA","Argentina"
"30","13","Midfielder","Mensur MUJDZA","Bosnia & Herzegovina"
"30","9","Forward","FRED","Brazil"
"30","13","Defender","DANTE","Brazil"
"30","2","Defender","Benoit ASSOU EKOTTO","Cameroon"
"30","12","Defender","Henri BEDIMO","Cameroon"
"30","9","Forward","Mauricio PINILLA","Chile"
"30","15","Midfielder","Jean BEAUSEJOUR","Chile"
"30","10","Midfielder","Jorge VALDIVIA","Chile"
"30","13","Defender","Jose ROJAS","Chile"
"30","14","Forward","Randall BRENES","Costa Rica"
"30","11","Midfielder","Michael BARRANTES","Costa Rica"
"30","2","Defender","Johnny ACOSTA","Costa Rica"
"30","7","Midfielder","Christian BOLANOS","Costa Rica"
"30","15","Defender","Junior DIAZ","Costa Rica"
"30","8","Midfielder","Ognjen VUKOJEVIC","Croatia"
"30","19","Midfielder","Luis SARITAMA","Ecuador"
"30","12","Midfielder","Rio MAVUBA","France"
"30","16","Midfielder","Philipp LAHM","Germany"
"30","10","Midfielder","Marvin CHAVEZ","Honduras"
"30","7","Forward","Masoud SHOJAEI","Iran"
"30","19","Midfielder","Hashem BEIKZADEH","Iran"
"30","15","Defender","Pejman MONTAZERI","Iran"
"30","11","Midfielder","Ghasem HADADIFAR","Iran"
"30","2","Forward","Khosro HEYDARI","Iran"
"30","16","Midfielder","Daniele DE ROSSI","Italy"
"30","13","Midfielder","Konan YA","Ivory Coast"
"30","17","Midfielder","Makoto HASEBE","Japan"
"30","19","Forward","Oribe PERALTA","Mexico"
"30","19","Forward","Klaas Jan HUNTELAAR","Netherlands"
"30","9","Forward","Robin VAN PERSIE","Netherlands"
"30","11","Forward","Arjen ROBBEN","Netherlands"
"30","10","Midfielder","Wesley SNEIJDER","Netherlands"
"30","22","Goalkeeper","Michel VORM","Netherlands"
"30","12","Defender","Paul VERHAEGH","Netherlands"
"30","16","Goalkeeper","Austine EJIDE","Nigeria"
"30","9","Forward","HUGO ALMEIDA","Portugal"
"30","21","Defender","JOAO PEREIRA","Portugal"
"30","18","Forward","Yury ZHIRKOV","Russia"
"30","22","Defender","Andrey ESHCHENKO","Russia"
"30","7","Midfielder","Igor DENISOV","Russia"
"30","9","Forward","Fernando TORRES","Spain"
"30","6","Midfielder","Andres INIESTA","Spain"
"30","2","Defender","Stephan LICHTSTEINER","Switzerland"
"30","1","Goalkeeper","Diego BENAGLIO","Switzerland"
"30","16","Defender","Maximiliano PEREIRA","Uruguay"
"31","2","Defender","Madjid BOUGUERRA","Algeria"
"31","17","Midfielder","Matt McKAY","Australia"
"31","2","Defender","DANI ALVES","Brazil"
"31","22","Goalkeeper","VICTOR","Brazil"
"31","1","Goalkeeper","JEFFERSON","Brazil"
"31","11","Midfielder","Jean MAKOUN","Cameroon"
"31","16","Goalkeeper","Charles ITANDJE","Cameroon"
"31","1","Goalkeeper","Claudio BRAVO","Chile"
"31","4","Defender","Michael UMANA","Costa Rica"
"31","22","Forward","EDUARDO","Croatia"
"31","18","Defender","Oscar BAGUI","Ecuador"
"31","6","Defender","Phil JAGIELKA","England"
"31","13","Goalkeeper","Ben FOSTER","England"
"31","7","Forward","Franck RIBERY","France"
"31","15","Defender","Bacary SAGNA","France"
"31","5","Midfielder","Michael ESSIEN","Ghana"
"31","13","Forward","Carlo COSTLY","Honduras"
"31","3","Defender","Maynor FIGUEROA","Honduras"
"31","17","Defender","Ahmad ALNAMEH","Iran"
"31","14","Midfielder","Andranik TIMOTIAN","Iran"
"31","10","Forward","Antonio CASSANO","Italy"
"31","5","Midfielder","THIAGO MOTTA","Italy"
"31","19","Midfielder","Yaya TOURE","Ivory Coast"
"31","3","Defender","Arthur BOKA","Ivory Coast"
"31","15","Defender","Yasuyuki KONNO","Japan"
"31","1","Goalkeeper","Eiji KAWASHIMA","Japan"
"31","12","Goalkeeper","Alfredo TALAVERA","Mexico"
"31","1","Goalkeeper","Vincent ENYEAMA","Nigeria"
"31","23","Forward","HELDER POSTIGA","Portugal"
"31","16","Midfielder","RAUL MEIRELES","Portugal"
"31","3","Defender","PEPE","Portugal"
"31","1","Goalkeeper","EDUARDO","Portugal"
"31","11","Forward","Aleksandr KERZHAKOV","Russia"
"31","23","Goalkeeper","Pepe REINA","Spain"
"31","5","Defender","Steve VON BERGEN","Switzerland"
"31","23","Goalkeeper","Martin SILVA","Uruguay"
"31","18","Forward","Chris WONDOLOWSKI","USA"
"31","8","Forward","Clint DEMPSEY","USA"
"32","18","Forward","Rodrigo PALACIO","Argentina"
"32","12","Goalkeeper","Agustin ORION","Argentina"
"32","10","Midfielder","Zvjezdan MISIMOVIC","Bosnia & Herzegovina"
"32","23","Defender","MAICON","Brazil"
"32","14","Defender","MAXWELL","Brazil"
"32","15","Forward","Pierre WEBO","Cameroon"
"32","18","Goalkeeper","Patrick PEMBERTON","Costa Rica"
"32","11","Defender","Darijo SRNA","Croatia"
"32","3","Defender","Danijel PRANJIC","Croatia"
"32","14","Midfielder","Segundo CASTILLO","Ecuador"
"32","2","Defender","Jorge GUAGUA","Ecuador"
"32","18","Forward","Rickie LAMBERT","England"
"32","14","Forward","Dimitrios SALPINGIDIS","Greece"
"32","5","Defender","Vangelis MORAS","Greece"
"32","9","Midfielder","Jerry PALACIOS","Honduras"
"32","5","Defender","Victor BERNARDEZ","Honduras"
"32","4","Defender","Jalal HOSSEINI","Iran"
"32","5","Defender","Amirhossein SADEGHI","Iran"
"32","13","Forward","Yoshito OKUBO","Japan"
"32","2","Defender","Francisco RODRIGUEZ","Mexico"
"32","23","Forward","Shola AMEOBI","Nigeria"
"32","8","Forward","Peter ODEMWINGIE","Nigeria"
"32","2","Defender","BRUNO ALVES","Portugal"
"32","22","Goalkeeper","BETO","Portugal"
"32","15","Midfielder","Roman SHIROKOV","Russia"
"32","14","Defender","Vasily BEREZUTSKIY","Russia"
"32","4","Defender","KWAK Taehwi","South Korea"
"32","7","Forward","David VILLA","Spain"
"32","14","Midfielder","Xabi ALONSO","Spain"
"32","17","Midfielder","Egidio AREVALO","Uruguay"
"32","12","Goalkeeper","Rodrigo MUNOZ","Uruguay"
"32","7","Defender","DaMarcus BEASLEY","USA"
"32","13","Midfielder","Jermaine JONES","USA"
"32","15","Midfielder","Kyle BECKERMAN","USA"
"32","14","Midfielder","Brad DAVIS","USA"
"33","11","Midfielder","Maxi RODRIGUEZ","Argentina"
"33","15","Defender","Martin DEMICHELIS","Argentina"
"33","3","Defender","Hugo CAMPAGNARO","Argentina"
"33","18","Goalkeeper","Eugene GALEKOVIC","Australia"
"33","4","Defender","Emir SPAHIC","Bosnia & Herzegovina"
"33","22","Goalkeeper","Asmir AVDUKIC","Bosnia & Herzegovina"
"33","9","Forward","Samuel ETOO","Cameroon"
"33","22","Forward","Esteban PAREDES","Chile"
"33","23","Goalkeeper","Johnny HERRERA","Chile"
"33","5","Midfielder","Aldo RAMIREZ","Colombia"
"33","3","Defender","Patrice EVRA","France"
"33","22","Goalkeeper","Roman WEIDENFELLER","Germany"
"33","11","Defender","Loukas VYNTRA","Greece"
"33","22","Goalkeeper","Donis ESCOBER","Honduras"
"33","6","Midfielder","Javad NEKOUNAM","Iran"
"33","1","Goalkeeper","Rahman AHMADI","Iran"
"33","15","Defender","Andrea BARZAGLI","Italy"
"33","4","Defender","Kolo TOURE","Ivory Coast"
"33","5","Defender","Didier ZOKORA","Ivory Coast"
"33","1","Goalkeeper","Jose CORONA","Mexico"
"33","15","Forward","Dirk KUYT","Netherlands"
"33","2","Defender","Joseph YOBO","Nigeria"
"33","13","Defender","RICARDO COSTA","Portugal"
"33","16","Goalkeeper","Sergey RYZHIKOV","Russia"
"33","1","Goalkeeper","Iker CASILLAS","Spain"
"33","2","Defender","Diego LUGANO","Uruguay"
"34","4","Forward","Tim CAHILL","Australia"
"34","23","Midfielder","Mark BRESCIANO","Australia"
"34","12","Goalkeeper","JULIO CESAR","Brazil"
"34","18","Forward","Ivica OLIC","Croatia"
"34","10","Midfielder","Walter AYOVI","Ecuador"
"34","4","Midfielder","Steven GERRARD","England"
"34","17","Forward","Theofanis GEKAS","Greece"
"34","1","Goalkeeper","Boubacar BARRY","Ivory Coast"
"34","7","Midfielder","Yasuhito ENDO","Japan"
"34","3","Defender","Carlos SALCIDO","Mexico"
"34","4","Defender","Sergey IGNASHEVICH","Russia"
"34","8","Midfielder","Xavi HERNANDEZ","Spain"
"34","15","Midfielder","Diego PEREZ","Uruguay"
"35","1","Goalkeeper","Stipe PLETIKOSA","Croatia"
"35","8","Midfielder","Edison MENDEZ","Ecuador"
"35","23","Goalkeeper","Mickael LANDREAU","France"
"35","21","Midfielder","Konstantinos KATSOURANIS","Greece"
"35","21","Midfielder","Andrea PIRLO","Italy"
"35","4","Defender","Rafael MARQUEZ","Mexico"
"35","10","Forward","Diego FORLAN","Uruguay"
"35","1","Goalkeeper","Tim HOWARD","USA"
"35","22","Goalkeeper","Nick RIMANDO","USA"
"36","15","Defender","Daniel VAN BUYTEN","Belgium"
"36","8","Midfielder","Frank LAMPARD","England"
"36","11","Forward","Miroslav KLOSE","Germany"
"36","1","Goalkeeper","Gianluigi BUFFON","Italy"
"36","11","Forward","Didier DROGBA","Ivory Coast"
"37","10","Midfielder","Georgios KARAGOUNIS","Greece"
"37","18","Goalkeeper","Noel VALLADARES","Honduras"
"38","3","Defender","Mario YEPES","Colombia"
"43","22","Goalkeeper","Faryd MONDRAGON","Colombia"
