"player_num","position","player_name","club","age","height","weight","birthplace"
"40","GK","Quillan Roberts","Toronto FC","20","6'","200","Canada"
"20","D","Jalen Robinson","D.C. United","20","5' 9''","145","USA"
"31","GK","Luis Robles","New York Red Bulls","30","5' 11''","180","USA"
"NA","M","Nik Robson","","2015","6' 1''","170","New Zealand"
"NA","F","Bryan Róchez","Orlando City SC","20","5' 11''","161","Honduras"
"22","D","Carlos Rodríguez","","24","6'","160","Panama"
"20","M","Memo Rodriguez","Houston Dynamo","19","5' 8''","142","USA"
"NA","D","Raul Rodriguez","Houston Dynamo","27","6'","165","Spain"
"14","M","Robbie Rogers","LA Galaxy","27","5' 10''","165","USA"
"NA","F/M","James Rogers","","21","5' 8''","150","Sierra Leone"
"NA","M","Cristian Roldan","","19","5' 8''","165","USA"
"18","F","Chris Rolfe","D.C. United","31","5' 8''","155","USA"
"14","F","Colin Rolfe","","24","6'","175","USA"
"15","F","Andrés Romero","Montreal Impact","25","5' 10''","160","Argentina"
"30","M","Mauro Rosales","Vancouver Whitecaps FC","33","5' 8''","165","Argentina"
"5","M","Andy Rose","Seattle Sounders FC","24","6' 2''","170","Australia"
"11","M","Kelyn Rowe","New England Revolution","23","5' 8''","150","USA"
"1","GK","Brian Rowe","LA Galaxy","26","6' 1''","185","USA"
"3","D","Brad Rusin","","28","6' 4''","213","USA"
"16","M","Darel Russell","","34","5' 10''","163","England"
"NA","M","Nic Ryan","","23","5' 8''","130","USA"
"15","F","Álvaro Saborío","Real Salt Lake","32","6'","170","Costa Rica"
"NA","M","Mohammed Saeid","Columbus Crew SC","24","5' 7''","141","Sweden"
"17","F","Omar Salgado","","21","6' 4''","210","USA"
"6","M","Shea Salinas","San Jose Earthquakes","28","5' 10''","150","USA"
"10","M","Lloyd Sam","New York Red Bulls","30","5' 8''","163","England"
"27","D","Ethen Sampson","Vancouver Whitecaps FC","21","5' 10''","165","South Africa"
"NA","D","Jossimar Sanchez","","23","5' 9''","170","USA"
"8","M","Matías Sánchez","","27","5' 8''","160","Argentina"
"7","F","Vicente Sánchez","Colorado Rapids","35","5' 7''","145","Uruguay"
"49","F","Devon Sandoval","Real Salt Lake","23","6' 1''","185","USA"
"NA","F","C.J. Sapong","Philadelphia Union","26","6' 1''","185","USA"
"8","D","Kofi Sarkodie","Houston Dynamo","23","5' 9''","165","USA"
"8","M","Marcelo Sarvas","LA Galaxy","33","5' 10''","155","Brazil"
"NA","M","Sebastian Saucedo","Real Salt Lake","17","5' 7''","145","USA"
"NA","GK","Josh Saunders","New York City FC","33","6' 4''","210","USA"
"18","F","Aaron Schoenfeld","Columbus Crew SC","24","6' 4''","190","USA"
"28","D","Chris Schuler","Real Salt Lake","27","6' 4''","185","USA"
"NA","F","Billy Schuler","","24","5' 11''","170","USA"
"20","D","Zach Scott","Seattle Sounders FC","34","5' 11''","175","USA"
"NA","D","Gonzalo Segares","","32","5' 11''","170","Costa Rica"
"18","GK","Chris Seitz","FC Dallas","27","6' 3''","236","USA"
"NA","D","Ibrahim Sekagya","","34","6' 1''","176","Uganda"
"NA","F","Saer Sene","","28","6' 3''","185","France"
"17","M","Dillon Serna","Colorado Rapids","20","5' 7''","140","USA"
"NA","M","Conor Shanosky","","23","6' 4''","185","USA"
"23","D","Luke Shaw","England","19","6' 1''","NA","England"
"NA","M","Brek Shea","Orlando City SC","24","6' 3''","180","USA"
"NA","F","Khiry Shelton","","21","6' 3''","185","Active"
"NA","F","Mark Sherrod","San Jose Earthquakes","24","6' 3''","185","USA"
"19","M","Harry Shipp","Chicago Fire","23","5' 9''","145","USA"
"22","GK","Bobby Shuttleworth","New England Revolution","27","6' 2''","205","USA"
"11","M","Luis Silva","D.C. United","26","5' 11''","163","USA"
"NA","F","Florent Sinama-Pongolle","","30","5' 9''","152","Réunion"
"15","D","Seth Sinovic","Sporting Kansas City","27","5' 10''","170","USA"
"14","D","Steven Smith","","29","5' 10''","160","Scotland"
"NA","F","Yannick Smith","","24","5' 9''","165","Active"
"NA","M","Donnie Smith","","24","5' 11''","160","USA"
"19","M","Blake Smith","Montreal Impact","23","5' 10''","150","USA"
"5","D","A.J. Soares","New England Revolution","26","6'","170","USA"
"NA","GK","Luis Soffner","","23","6' 4''","210","USA"
"13","M","Josue Soto","","26","5' 8''","160","USA"
"5","D","Bakary Soumare","Montreal Impact","29","6' 4''","190","Mali"
"NA","GK","Trevor Spangenberg","","23","6' 2''","190","United States"
"17","M","Ben Speas","Columbus Crew SC","23","5' 8''","155","USA"
"NA","M","Kristinn Steindorsson","Columbus Crew SC","24","5' 8''","154","Iceland"
"NA","M","Michael Stephens","Chicago Fire","25","5' 9''","155","USA"
"9","M","Khari Stephenson","San Jose Earthquakes","33","6' 2''","185","Jamaica"
"27","M","John Stertzer","Real Salt Lake","24","6'","170","USA"
"23","M","Martin Steuble","Sporting Kansas City","26","5' 8''","158","Switzerland"
"19","M","Eric Stevenson","New York Red Bulls","24","5' 8''","145","USA"
"3","D/M","Jordan Stewart","San Jose Earthquakes","32","6'","180","England"
"15","M","Matt Stinson","","22","5' 10''","165","Canada"
"NA","M","Nathan Sturgis","Houston Dynamo","27","5' 10''","160","USA"
"NA","GK","Brad Stuver","","23","6' 3''","180","USA"
"NA","M","Alec Sundly","","22","6'","157","USA"
"NA","M","Ben Swanson","Columbus Crew SC","17","5' 6''","130","Active"
"22","D","Ben Sweat","Columbus Crew SC","23","6' 2''","175","USA"
"4","D","Jermaine Taylor","Houston Dynamo","29","5' 10''","195","Jamaica"
"NA","F","Tony Taylor","New York City FC","25","6'","170","USA"
"6","M","Tony Tchani","Columbus Crew SC","25","6' 4''","185","Cameroon"
"31","M","Russell Teibert","Vancouver Whitecaps FC","22","5' 8''","150","Canada"
"9","F","David Texeira","FC Dallas","23","6'","179","Uruguay"
"18","M","Michael Thomas","","26","5' 10''","170","USA"
"NA","M","Hendry Thomas","","29","5' 11''","175","Honduras"
"39","GK","Simon Thomas","","24","6' 3''","190","Canada"
"15","M","Wells Thompson","","31","5' 10''","156","USA"
"22","M","Tommy Thompson","San Jose Earthquakes","19","5' 7''","145","USA"
"8","D","Chris Tierney","New England Revolution","29","6'","170","USA"
"51","D","Maxim Tissot","Montreal Impact","22","5' 11''","162","Canada"
"25","D","Donny Toia","Montreal Impact","22","5' 8''","160","USA"
"NA","F","Jonathan Top","","21","5' 8''","160","USA"
"70","GK","Paolo Tornaghi","Vancouver Whitecaps FC","26","6' 2''","165","Italy"
"NA","F","Erick Torres","Houston Dynamo","21","5' 11''","168","Mexico"
"10","F","Gabriel Torres","Colorado Rapids","26","5' 11''","165","Panama"
"NA","D","Djimi Traoré","","34","6' 3''","191","France"
"20","M","Wil Trapp","Columbus Crew SC","21","5' 8''","150","USA"
"12","M/F","Schillo Tshuma","Portland Timbers","22","5' 10''","162","Zimbabwe"
"25","D","Dylan Tucker-Gangnes","","25","6' 3''","190","USA"
"2","D","Tyler Turner","Orlando City SC","18","5' 11''","155","USA"
"NA","F","Kris Tyrpak","San Jose Earthquakes","22","5' 11''","145","USA"
"28","M","Victor Ulloa","FC Dallas","22","5' 11''","165","USA"
"37","M","Maximiliano Urruti","Portland Timbers","23","6'","165","Argentina"
"2","D","Carlos Valdés","Philadelphia Union","29","6'","176","Colombia"
"8","M","Diego Valeri","Portland Timbers","28","5' 10''","165","Argentina"
"NA","D","Grant Van De Casteele","","23","6' 2''","165","USA"
"17","F","Olman Vargas","","29","6' 2''","174","Costa Rica"
"NA","M","Sebastian Velasquez","New York City FC","23","5' 7''","155","Colombia"
"NA","D/M","Agustín Viana","","31","5' 11''","165","USA"
"21","M/F","Michael Videira","","29","5' 10''","183","USA"
"7","F","David Villa","New York City FC","33","5' 9''","148","Spain"
"19","D/M","Jorge Villafaña","Portland Timbers","25","5' 9''","150","USA"
"11","M","Ricardo Villar","","35","5' 9''","163","Brazil"
"24","GK","Jeremy Vuolo","","27","6' 3''","196","USA"
"2","D","Tyson Wahl","Columbus Crew SC","30","6' 2''","185","USA"
"NA","D","Nicholas Walker","","24","6' 3''","190","Trinidad and Tobago"
"NA","M","Matt Walker","","22","5' 6''","150","USA"
"22","D/M","Rodney Wallace","Portland Timbers","26","6'","155","Costa Rica"
"NA","M","Grant Ward","","20","5'","160","England"
"26","M","Collen Warner","Toronto FC","26","5' 10''","178","USA"
"4","D","Kendall Waston","Vancouver Whitecaps FC","27","6' 5''","195","Costa Rica"
"27","M","Je-Vaughn Watson","FC Dallas","31","6' 1''","175","Jamaica"
"22","M","Matt Watson","Chicago Fire","30","6'","180","England"
"NA","D","Kwame Watson-Siriboe","New York City FC","28","6' 3''","196","USA"
"33","M","Jared Watts","Colorado Rapids","22","6' 1''","155","USA"
"NA","F","Cam Weaver","","31","6' 4''","195","USA"
"33","GK","Andrew Weber","Portland Timbers","31","6' 2''","190","USA"
"9","F","Andrew Wenger","Philadelphia Union","24","6'","185","USA"
"12","F","Aaron Wheeler","Philadelphia Union","26","6' 4''","197","USA"
"15","D","Ethan White","Philadelphia Union","24","6'","183","USA"
"NA","F","Andrew Wiedeman","","25","5' 11''","166","USA"
"NA","D","Matt Wiet","","24","5' 11''","170","USA"
"25","D","Sheanon Williams","Philadelphia Union","24","5' 11''","170","USA"
"NA","D","Josh Williams","New York City FC","26","6' 2''","192","USA"
"31","D","Dicoy Williams","","28","6' 2''","187","Jamaica"
"NA","GK","Joe Willis","Houston Dynamo","26","6' 5''","189","USA"
"NA","D","Chris Wingert","New York City FC","32","5' 11''","165","USA"
"40","GK","Daniel Withrow","Portland Timbers","24","6' 1''","180","USA"
"30","M","Krystian Witkowski","","24","5' 11''","165","USA"
"8","F","Chris Wondolowski","San Jose Earthquakes","31","6'","165","USA"
"21","D","Daniel Woolard","","30","5' 10''","155","USA"
"99","F","Bradley Wright-Phillips","New York Red Bulls","29","5' 8''","155","England"
"NA","D","Marvell Wynne","San Jose Earthquakes","28","5' 9''","180","USA"
"17","D","DeAndre Yedlin","Seattle Sounders FC","21","5' 8''","150","USA"
"99","D","Luis Zapata","","34","5' 10''","170","Colombia"
"11","F","Gyasi Zardes","LA Galaxy","23","6' 2''","175","USA"
"NA","D","Eriq Zavaleta","","22","6' 1''","185","USA"
"14","M","Ben Zemanski","Portland Timbers","26","5' 11''","150","USA"
"NA","M","Alejandro Zendejas","FC Dallas","16","5' 7''","145","USA"
"25","D","Walker Zimmerman","FC Dallas","21","6' 3''","185","USA"
"NA","M","Sal Zizzo","New York Red Bulls","27","5' 10''","165","USA"
"8","M","Graham Zusi","Sporting Kansas City","28","5' 10''","160","USA"
"11","F","David Accam","Chicago Fire","24","5' 9''","154","Ghana"
"23","D/M","Kellyn Acosta","FC Dallas","19","5' 10''","150","USA"
"NA","D","Adaílton","Chicago Fire","31","6' 3''","180","Brazil"
"3","D","Sam Adekugbe","Vancouver Whitecaps FC","19","5' 9''","165","England"
"9","F","Fanendo Adi","Portland Timbers","24","6' 4''","185","Nigeria"
"13","F","Tesho Akindele","FC Dallas","22","6' 1''","170","Canada"
"NA","M","Fatai Alashe","","21","6'","170","USA"
"12","M","Eric Alexander","New York Red Bulls","26","6' 1''","165","USA"
"7","D/M","Jordan Allen","Real Salt Lake","19","5' 11''","160","USA"
"6","M","Osvaldo Alonso","Seattle Sounders FC","29","5' 11''","165","Cuba"
"30","D","Kevin Alston","New England Revolution","26","5' 8''","160","USA"
"24","F","Quincy Amarikwa","Chicago Fire","27","5' 9''","180","USA"
"NA","D","Jalil Anibaba","Sporting Kansas City","26","6'","185","USA"
"NA","M","Bernardo Añor","Sporting Kansas City","26","5' 8''","158","Venezuela"
"34","M","Manny Aparicio","Toronto FC","19","5' 6''","149","Argentina"
"5","D","Armando","New York Red Bulls","30","6' 1''","175","Spain"
"8","M","Davy Arnaud","D.C. United","34","5' 11''","160","USA"
"NA","F","Jairo Arrieta","Orlando City SC","31","5' 9''","150","Costa Rica"
"26","M","Corey Ashe","Houston Dynamo","28","5' 5''","154","USA"
"NA","M/F","Dairon Asprilla","Portland Timbers","22","5' 11''","165","Colombia"
"24","GK","Jeff Attinella","Real Salt Lake","26","6' 2''","190","USA"
"42","M","Micheal Azira","Seattle Sounders FC","27","5' 10''","160","Uganda"
"NA","M","Mehdi Ballouchy","New York City FC","31","5' 11''","169","Morocco"
"26","D","Brandon Barklage","San Jose Earthquakes","28","5' 11''","165","USA"
"25","D","Darrius Barnes","New England Revolution","28","6' 1''","175","USA"
"23","M","Giles Barnes","Houston Dynamo","26","5' 11''","181","England"
"NA","M","Leandro Barrera","San Jose Earthquakes","23","5' 8''","171","Argentina"
"19","F","Chad Barrett","Seattle Sounders FC","29","5' 11''","185","USA"
"21","D","Chad Barson","Columbus Crew SC","23","5' 10''","170","USA"
"21","D/M","DaMarcus Beasley","Houston Dynamo","32","5' 8''","145","USA"
"5","M","Kyle Beckerman","Real Salt Lake","32","5' 11''","165","USA"
"29","F","Adam Bedell","Columbus Crew SC","23","6' 6''","204","USA"
"33","D/M","Steven Beitashour","Vancouver Whitecaps FC","27","5' 10''","170","USA"
"8","M","Kyle Bekker","Toronto FC","24","5' 9''","165","Canada"
"27","M","Louis Béland-Goyette","Montreal Impact","19","5' 8''","140","Canada"
"2","D","Tony Beltran","Real Salt Lake","27","5' 8''","150","USA"
"12","GK","Joe Bendik","Toronto FC","25","6' 2''","217","USA"
"5","D","Víctor Bernárdez","San Jose Earthquakes","32","6' 2''","190","Honduras"
"12","GK","John Berner","Colorado Rapids","23","6' 3''","205","USA"
"8","M","Patrice Bernier","Montreal Impact","35","5' 9''","170","Canada"
"4","D","Austin Berry","Philadelphia Union","26","6' 2''","188","USA"
"5","D","Matt Besler","Sporting Kansas City","27","6'","170","USA"
"NA","M","Nick Besler","","21","6' 1''","165","USA"
"16","F","Claudio Bieler","Sporting Kansas City","30","5' 11''","171","Argentina"
"15","D","Steve Birnbaum","D.C. United","23","6' 2''","180","USA"
"1","GK","Andre Blake","Philadelphia Union","24","6' 4''","175","Jamaica"
"28","D","Mark Bloom","Toronto FC","27","5' 11''","162","USA"
"NA","D","Nat Borchers","Portland Timbers","33","6' 2''","175","USA"
"32","D","Bobby Boswell","D.C. United","31","6' 2''","185","USA"
"21","M","Rubén Bover","New York Red Bulls","22","5' 7''","144","Spain"
"11","F","David Accam","Chicago Fire","24","5' 9''","154","Ghana"
"23","D/M","Kellyn Acosta","FC Dallas","19","5' 10''","150","USA"
"NA","D","Adaílton","Chicago Fire","31","6' 3''","180","Brazil"
"3","D","Sam Adekugbe","Vancouver Whitecaps FC","19","5' 9''","165","England"
"9","F","Fanendo Adi","Portland Timbers","24","6' 4''","185","Nigeria"
"13","F","Tesho Akindele","FC Dallas","22","6' 1''","170","Canada"
"NA","M","Fatai Alashe","","21","6'","170","USA"
"12","M","Eric Alexander","New York Red Bulls","26","6' 1''","165","USA"
"7","D/M","Jordan Allen","Real Salt Lake","19","5' 11''","160","USA"
"6","M","Osvaldo Alonso","Seattle Sounders FC","29","5' 11''","165","Cuba"
"30","D","Kevin Alston","New England Revolution","26","5' 8''","160","USA"
"24","F","Quincy Amarikwa","Chicago Fire","27","5' 9''","180","USA"
"NA","D","Jalil Anibaba","Sporting Kansas City","26","6'","185","USA"
"NA","M","Bernardo Añor","Sporting Kansas City","26","5' 8''","158","Venezuela"
"34","M","Manny Aparicio","Toronto FC","19","5' 6''","149","Argentina"
"5","D","Armando","New York Red Bulls","30","6' 1''","175","Spain"
"8","M","Davy Arnaud","D.C. United","34","5' 11''","160","USA"
"NA","F","Jairo Arrieta","Orlando City SC","31","5' 9''","150","Costa Rica"
"26","M","Corey Ashe","Houston Dynamo","28","5' 5''","154","USA"
"NA","M/F","Dairon Asprilla","Portland Timbers","22","5' 11''","165","Colombia"
"24","GK","Jeff Attinella","Real Salt Lake","26","6' 2''","190","USA"
"42","M","Micheal Azira","Seattle Sounders FC","27","5' 10''","160","Uganda"
"NA","M","Mehdi Ballouchy","New York City FC","31","5' 11''","169","Morocco"
"26","D","Brandon Barklage","San Jose Earthquakes","28","5' 11''","165","USA"
"25","D","Darrius Barnes","New England Revolution","28","6' 1''","175","USA"
"23","M","Giles Barnes","Houston Dynamo","26","5' 11''","181","England"
"NA","M","Leandro Barrera","San Jose Earthquakes","23","5' 8''","171","Argentina"
"19","F","Chad Barrett","Seattle Sounders FC","29","5' 11''","185","USA"
"21","D","Chad Barson","Columbus Crew SC","23","5' 10''","170","USA"
"21","D/M","DaMarcus Beasley","Houston Dynamo","32","5' 8''","145","USA"
"5","M","Kyle Beckerman","Real Salt Lake","32","5' 11''","165","USA"
"29","F","Adam Bedell","Columbus Crew SC","23","6' 6''","204","USA"
"33","D/M","Steven Beitashour","Vancouver Whitecaps FC","27","5' 10''","170","USA"
"8","M","Kyle Bekker","Toronto FC","24","5' 9''","165","Canada"
"27","M","Louis Béland-Goyette","Montreal Impact","19","5' 8''","140","Canada"
"2","D","Tony Beltran","Real Salt Lake","27","5' 8''","150","USA"
"12","GK","Joe Bendik","Toronto FC","25","6' 2''","217","USA"
"5","D","Víctor Bernárdez","San Jose Earthquakes","32","6' 2''","190","Honduras"
"12","GK","John Berner","Colorado Rapids","23","6' 3''","205","USA"
"8","M","Patrice Bernier","Montreal Impact","35","5' 9''","170","Canada"
"4","D","Austin Berry","Philadelphia Union","26","6' 2''","188","USA"
"5","D","Matt Besler","Sporting Kansas City","27","6'","170","USA"
"NA","M","Nick Besler","","21","6' 1''","165","USA"
"16","F","Claudio Bieler","Sporting Kansas City","30","5' 11''","171","Argentina"
"15","D","Steve Birnbaum","D.C. United","23","6' 2''","180","USA"
"1","GK","Andre Blake","Philadelphia Union","24","6' 4''","175","Jamaica"
"28","D","Mark Bloom","Toronto FC","27","5' 11''","162","USA"
"NA","D","Nat Borchers","Portland Timbers","33","6' 2''","175","USA"
"32","D","Bobby Boswell","D.C. United","31","6' 2''","185","USA"
"21","M","Rubén Bover","New York Red Bulls","22","5' 7''","144","Spain"
"11","F","David Accam","Chicago Fire","24","5' 9''","154","Ghana"
"23","D/M","Kellyn Acosta","FC Dallas","19","5' 10''","150","USA"
"NA","D","Adaílton","Chicago Fire","31","6' 3''","180","Brazil"
"3","D","Sam Adekugbe","Vancouver Whitecaps FC","19","5' 9''","165","England"
"9","F","Fanendo Adi","Portland Timbers","24","6' 4''","185","Nigeria"
"13","F","Tesho Akindele","FC Dallas","22","6' 1''","170","Canada"
"NA","M","Fatai Alashe","","21","6'","170","USA"
"12","M","Eric Alexander","New York Red Bulls","26","6' 1''","165","USA"
"7","D/M","Jordan Allen","Real Salt Lake","19","5' 11''","160","USA"
"6","M","Osvaldo Alonso","Seattle Sounders FC","29","5' 11''","165","Cuba"
"30","D","Kevin Alston","New England Revolution","26","5' 8''","160","USA"
"24","F","Quincy Amarikwa","Chicago Fire","27","5' 9''","180","USA"
"NA","D","Jalil Anibaba","Sporting Kansas City","26","6'","185","USA"
"NA","M","Bernardo Añor","Sporting Kansas City","26","5' 8''","158","Venezuela"
"34","M","Manny Aparicio","Toronto FC","19","5' 6''","149","Argentina"
"5","D","Armando","New York Red Bulls","30","6' 1''","175","Spain"
"8","M","Davy Arnaud","D.C. United","34","5' 11''","160","USA"
"NA","F","Jairo Arrieta","Orlando City SC","31","5' 9''","150","Costa Rica"
"26","M","Corey Ashe","Houston Dynamo","28","5' 5''","154","USA"
"NA","M/F","Dairon Asprilla","Portland Timbers","22","5' 11''","165","Colombia"
"24","GK","Jeff Attinella","Real Salt Lake","26","6' 2''","190","USA"
"42","M","Micheal Azira","Seattle Sounders FC","27","5' 10''","160","Uganda"
"NA","M","Mehdi Ballouchy","New York City FC","31","5' 11''","169","Morocco"
"26","D","Brandon Barklage","San Jose Earthquakes","28","5' 11''","165","USA"
"25","D","Darrius Barnes","New England Revolution","28","6' 1''","175","USA"
"23","M","Giles Barnes","Houston Dynamo","26","5' 11''","181","England"
"NA","M","Leandro Barrera","San Jose Earthquakes","23","5' 8''","171","Argentina"
"19","F","Chad Barrett","Seattle Sounders FC","29","5' 11''","185","USA"
"21","D","Chad Barson","Columbus Crew SC","23","5' 10''","170","USA"
"21","D/M","DaMarcus Beasley","Houston Dynamo","32","5' 8''","145","USA"
"5","M","Kyle Beckerman","Real Salt Lake","32","5' 11''","165","USA"
"29","F","Adam Bedell","Columbus Crew SC","23","6' 6''","204","USA"
"33","D/M","Steven Beitashour","Vancouver Whitecaps FC","27","5' 10''","170","USA"
"8","M","Kyle Bekker","Toronto FC","24","5' 9''","165","Canada"
"27","M","Louis Béland-Goyette","Montreal Impact","19","5' 8''","140","Canada"
"2","D","Tony Beltran","Real Salt Lake","27","5' 8''","150","USA"
"12","GK","Joe Bendik","Toronto FC","25","6' 2''","217","USA"
"5","D","Víctor Bernárdez","San Jose Earthquakes","32","6' 2''","190","Honduras"
"12","GK","John Berner","Colorado Rapids","23","6' 3''","205","USA"
"8","M","Patrice Bernier","Montreal Impact","35","5' 9''","170","Canada"
"4","D","Austin Berry","Philadelphia Union","26","6' 2''","188","USA"
"5","D","Matt Besler","Sporting Kansas City","27","6'","170","USA"
"NA","M","Nick Besler","","21","6' 1''","165","USA"
"16","F","Claudio Bieler","Sporting Kansas City","30","5' 11''","171","Argentina"
"15","D","Steve Birnbaum","D.C. United","23","6' 2''","180","USA"
"1","GK","Andre Blake","Philadelphia Union","24","6' 4''","175","Jamaica"
"28","D","Mark Bloom","Toronto FC","27","5' 11''","162","USA"
"NA","D","Nat Borchers","Portland Timbers","33","6' 2''","175","USA"
"32","D","Bobby Boswell","D.C. United","31","6' 2''","185","USA"
"21","M","Rubén Bover","New York Red Bulls","22","5' 7''","144","Spain"
