" name"," foot"," position"," height"
" Germán Denis"," Right"," A"," 183"
" Javier Gandolfi"," Left"," D"," 178"
" Mariano Barbosa"," Right"," GK"," 185"
" Jesús Dátolo"," Left"," A"," 177"
" José María Calvo"," Right"," D"," 175"
" Carlos Tévez"," Right"," A"," 172"
" Germán Herrera"," Right"," A"," 181"
" Jair Benítez"," Left"," D"," 170"
" Ismael Blanco"," Right"," A"," 179"
" Martín Romagnoli"," Right"," M"," 170"
" Alejandro Gómez"," Right"," A"," 164"
" Diego Rivero"," Right"," M"," 166"
" Marcos Gelabert"," Right"," M"," 176"
" Lucas Lobos"," Right"," M"," 176"
" Emiliano Dudar"," Left"," D"," 191"
" Damián Manso"," Left"," M"," 169"
" Emanuel Rivas"," Right"," M"," 175"
" Mauricio Romero"," Right"," D"," 184"
" Karel D'Haene"," Right"," D"," 184"
" Gökdeniz Karadeniz"," Right"," M"," 168"
" Sergey Omelyanchuk"," Left"," D"," 178"
" Alessandro"," Right"," D"," 179"
" Badr El Kaddouri"," Left"," D"," 177"
" Andrés Mendoza"," Left"," A"," 185"
" Fernando Belluschi"," Right"," M"," 171"
" Leandro Fernández"," Left"," D"," 179"
" Mauro Rosales"," Right"," M"," 173"
" Tuncay"," Right"," A"," 182"
" Milan Jovanović"," Left"," A"," 183"
" Stipe Pletikosa"," Left"," GK"," 193"
" Faryd Mondragón"," Right"," GK"," 191"
" Ovidiu Petre"," Right"," M"," 189"
" Arda Turan"," Right"," A"," 176"
" Dániel Tőzsér"," Left"," M"," 185"
" Marco Zanchi"," Left"," D"," 177"
" Yassin Mikari"," Left"," D"," 172"
" Christian Schwegler"," Right"," D"," 177"
" David Zibung"," Right"," GK"," 188"
" Albert Bunjaku"," Right"," A"," 178"
" Marcel Herzog"," Right"," GK"," 185"
" Christian Schlauri"," Left"," D"," 181"
" Yacine Abdessadki"," Right"," M"," 175"
" Oscar Wendt"," Left"," D"," 181"
" Leandro Greco"," Left"," M"," 183"
" Paulo Menezes"," Right"," D"," 175"
" Cristian Ianu"," Right"," A"," 177"
" Muhamed Demiri"," Left"," M"," 180"
" Alessandro Iandoli"," Left"," D"," 181"
" Raffael"," Right"," M"," 174"
" Jérôme Schneider"," Right"," D"," 182"
" Gabriel Wüthrich"," Right"," GK"," 185"
" Sutil"," Left"," M"," 173"
" David Prieto"," Right"," D"," 185"
" Cifu"," Right"," D"," 173"
" Sergio Torres"," Right"," M"," 188"
" Mairata"," Right"," D"," 189"
" Steve Simonsen"," Right"," GK"," 188"
" Pepe Díaz"," Right"," A"," 173"
" Francis"," Right"," D"," 180"
" Mikael Dorsin"," Left"," D"," 182"
" David Valle"," Right"," GK"," 190"
" Edu Navarro"," Right"," GK"," 180"
" Bruno"," Right"," D"," 181"
" Isaac Jové"," Right"," A"," 174"
" Albert Meyong Zé"," Right"," A"," 184"
" Dorca"," Left"," M"," 182"
" Gerard Bordas"," Left"," A"," 177"
" Manolo Martínez"," Right"," D"," 182"
" Jaime"," Right"," GK"," 188"
" Pedro Ríos"," Right"," A"," 175"
" José Vega"," Left"," M"," 176"
" Cabrero"," Right"," GK"," 184"
" Chema"," Right"," GK"," 187"
" Miguel Llera"," Left"," D"," 193"
" Mantecón"," Right"," M"," 175"
" Dealbert"," Right"," D"," 185"
" Rodri"," Right"," M"," 181"
" Mora"," Right"," D"," 186"
" Matamala"," Right"," M"," 182"
" Capdevila"," Left"," M"," 180"
" Carlos Caballero"," Right"," M"," 178"
" Barber"," Right"," M"," 182"
" Ikechukwu Uche"," Right"," A"," 175"
" Stéphane Pignol"," Right"," D"," 184"
" Momo"," Left"," A"," 184"
" David García"," Right"," D"," 182"
" Paul Thirlwell"," Left"," M"," 180"
" Lopez Garai"," Right"," M"," 182"
" Mikel Rico"," Right"," M"," 178"
" David Barral"," Right"," A"," 183"
" Vitolo"," Right"," M"," 168"
" Andrés Fernández"," Right"," GK"," 183"
" Ricardo"," Right"," M"," 186"
" Atiba Harris"," Right"," A"," 191"
" Cejudo"," Right"," M"," 185"
" Marqués"," Right"," M"," 177"
" Negredo"," Left"," A"," 186"
" Raúl Cámara"," Right"," D"," 172"
" Roberto"," Right"," GK"," 181"
" Saúl"," Right"," M"," 176"
" Javi Fuego"," Right"," M"," 181"
" Jorge"," Left"," D"," 185"
" Migue"," Right"," D"," 185"
" Gorka Larrea"," Right"," M"," 182"
" Xabi Prieto"," Right"," M"," 185"
" Susaeta"," Right"," M"," 177"
" Zubiaurre"," Right"," D"," 177"
" Óscar Sánchez"," Left"," D"," 180"
" Corona"," Right"," M"," 175"
" Lafita"," Right"," A"," 188"
" Longás"," Right"," M"," 174"
" Ripa"," Left"," D"," 177"
" Esteban"," Left"," GK"," 179"
" Dani Alves"," Right"," D"," 171"
" Jesús Navas"," Right"," M"," 170"
" Córcoles"," Right"," D"," 185"
" César Arzo"," Right"," D"," 186"
" Santi Cazorla"," Right"," M"," 168"
" Iván Alonso"," Right"," A"," 180"
" Rubén Pérez"," Right"," GK"," 185"
" Mario Bermejo"," Right"," A"," 176"
" Dani Giménez"," Right"," GK"," 182"
" Gustavo Munúa"," Right"," GK"," 188"
" Hérita Ilunga"," Left"," D"," 180"
" Héctor Simón"," Right"," M"," 179"
" Íñigo Vélez"," Right"," A"," 194"
" Tuni"," Left"," M"," 181"
" David Cortés"," Right"," D"," 181"
" Nenê"," Left"," M"," 181"
" Leo Franco"," Right"," GK"," 188"
" Ramis"," Right"," D"," 182"
" Rafita"," Right"," M"," 177"
" Guillermo Vallori"," Right"," D"," 191"
" Javi Guerrero"," Left"," A"," 176"
" Sergio Ortega"," Right"," D"," 182"
" Arbeloa"," Right"," D"," 183"
" Raúl Bravo"," Left"," D"," 176"
" Codina"," Right"," GK"," 184"
" Corrales"," Left"," D"," 175"
" Diego López"," Right"," GK"," 196"
" Toni Moral"," Left"," M"," 177"
" Paredes"," Left"," D"," 175"
" Soldado"," Right"," A"," 179"
" Riki"," Left"," A"," 187"
" Juanfran"," Right"," M"," 181"
" Bustos"," Right"," M"," 175"
" Míchel"," Left"," M"," 174"
" Díaz de Cerio"," Right"," A"," 178"
" Andrey Dikan"," Right"," GK"," 192"
" Álvaro Rubio"," Right"," M"," 178"
" Ustaritz"," Right"," D"," 183"
" Goiria"," Right"," A"," 182"
" Lafuente"," Right"," A"," 167"
" Iván Cuéllar"," Left"," GK"," 187"
" Manu Del Moral"," Right"," A"," 185"
" Gabi"," Right"," M"," 179"
" Ariel Ibagaza"," Right"," M"," 166"
" Javier Pinola"," Left"," D"," 180"
" Carlos Cuéllar"," Right"," D"," 190"
" Unai Expósito"," Right"," D"," 176"
" Miguel Flaño"," Right"," D"," 177"
" Cristian"," Right"," A"," 171"
" Peña"," Left"," D"," 181"
" Rubén"," Right"," GK"," 187"
" Rodri"," Right"," D"," 185"
" Verdú"," Right"," M"," 176"
" Diego Castro"," Right"," A"," 174"
" Gavilán"," Left"," M"," 179"
" Pavel Pogrebnyak"," Left"," A"," 188"
" Alexey Ivanov"," Right"," M"," 178"
" Vitaliy Kaleshin"," Left"," M"," 173"
" Denis Kovba"," Right"," M"," 188"
" Petr Nemov"," Right"," M"," 180"
" Andrey Tikhonov"," Right"," M"," 178"
" Diniyar Bilyaletdinov"," Left"," M"," 185"
" Júlio César"," Left"," A"," 177"
" Marat Izmailov"," Right"," M"," 172"
" Dmitriy Loskov"," Right"," M"," 178"
" Roman Sharonov"," Left"," D"," 184"
" Sergey Pareiko"," Right"," GK"," 193"
" Stephen Pearson"," Left"," M"," 185"
" Roman Adamov"," Right"," A"," 187"
" Vladimir Gabulov"," Right"," GK"," 190"
" Roman Pavlyuchenko"," Right"," A"," 188"
" Szabolcs Sáfár"," Right"," GK"," 189"
" Alexandr Samedov"," Right"," M"," 177"
" Alexandr Sheshukov"," Right"," M"," 180"
" Dmitriy Torbinskiy"," Left"," M"," 175"
" Petr Bystrov"," Left"," M"," 180"
" Alexey Medvedev"," Right"," A"," 178"
" Samir Muratović"," Right"," A"," 185"
" Sergey Ryzhikov"," Right"," GK"," 194"
" Dmitriy Borodin"," Right"," GK"," 188"
" Igor Lebedenko"," Right"," A"," 182"
" Igor Semshov"," Right"," M"," 170"
" Konstantin Zyryanov"," Right"," M"," 176"
" Héctor Bracamonte"," Right"," A"," 190"
" Ruslan Adzhindzhal"," Right"," M"," 168"
" Denis Kolodin"," Right"," D"," 186"
" Andrei Arshavin"," Right"," A"," 172"
" Vladimir Bystrov"," Right"," M"," 177"
" Igor Denisov"," Right"," M"," 176"
" Alexey Igonin"," Right"," M"," 181"
" Vyacheslav Malafeev"," Right"," GK"," 185"
" Shamil Lakhiyalov"," Right"," M"," 175"
" Sebastian Schindzielorz"," Right"," M"," 180"
" Ciprian Marica"," Right"," A"," 185"
" Jon McKain"," Right"," D"," 186"
" Vasili Khamutowski"," Right"," GK"," 193"
" George Ogararu"," Right"," D"," 178"
" Igor Akinfeev"," Right"," GK"," 185"
" Vasiliy Berezutskiy"," Right"," D"," 189"
" Alexey Berezutskiy"," Left"," D"," 190"
" Ruslan Nakhushev"," Left"," D"," 185"
" Ivica Olić"," Left"," A"," 182"
" Elvir Rahimić"," Right"," M"," 191"
" Sergey Semak"," Right"," M"," 178"
" Deividas Semberas"," Right"," M"," 187"
" Oleg Kuzmin"," Right"," D"," 175"
" Dmitry Bulykin"," Right"," A"," 193"
" Alexandr Anyukov"," Right"," D"," 178"
" Anton Bober"," Right"," M"," 182"
" Raúl Meireles"," Right"," M"," 179"
" Renat Yanbaev"," Right"," D"," 178"
" Ivan Cherenchikov"," Right"," D"," 187"
" Liedson"," Right"," A"," 174"
" Andrei Cristea"," Right"," A"," 179"
" Dimitar Makriev"," Right"," A"," 191"
" Adrian Sikora"," Right"," A"," 170"
" Sebastian Mila"," Left"," M"," 178"
" Andrzej Niedzielan"," Left"," A"," 180"
" Sebastian Przyrowski"," Right"," GK"," 193"
" Radosław Sobolewski"," Right"," M"," 182"
" Grzegorz Fonfara"," Right"," D"," 176"
" Rafał Grzelak"," Left"," M"," 176"
" Łukasz Madej"," Right"," M"," 176"
" Bartosz Ślusarski"," Right"," A"," 186"
" Błażej Telichowski"," Left"," D"," 187"
" Wojciech Grzyb"," Right"," M"," 175"
" Dariusz Kłus"," Left"," M"," 187"
" Paweł Kieszek"," Right"," GK"," 187"
" Patryk Rachwał"," Right"," M"," 176"
" Ireneusz Jeleń"," Right"," A"," 184"
" Sławomir Peszko"," Right"," M"," 173"
" Marcin Wasilewski"," Right"," D"," 186"
" Adrian Mrowiec"," Right"," M"," 190"
" Danny Koevermans"," Right"," A"," 191"
" Evgeniy Levchenko"," Left"," M"," 187"
" David Mendes da Silva"," Right"," M"," 186"
" Brian Vandenbussche"," Left"," GK"," 196"
" Davy De Fauw"," Right"," D"," 186"
" Tom Høgli"," Right"," D"," 175"
" Ali Al-Habsi"," Right"," GK"," 194"
" Espen Ruud"," Right"," D"," 184"
" Seyi Olofinjana"," Right"," M"," 193"
" Luisão"," Right"," D"," 192"
" João Pereira"," Right"," D"," 172"
" Henning Hauger"," Right"," M"," 179"
" Raio Piiroja"," Right"," D"," 190"
" Kjetil Wæhler"," Right"," D"," 183"
" Jarosław Bieniuk"," Right"," D"," 192"
" Dariusz Dudka"," Right"," M"," 182"
" Szymon Sawala"," Right"," M"," 184"
" Marek Zieńczuk"," Left"," M"," 183"
" Klaas Jan Huntelaar"," Right"," A"," 186"
" Marcel Meeuwis"," Left"," M"," 172"
" Darl Douglas"," Right"," A"," 172"
" Tim Gilissen"," Left"," M"," 175"
" Mark Looms"," Left"," D"," 192"
" Yuri Rose"," Right"," M"," 187"
" Brian van Loo"," Left"," GK"," 198"
" Paul Verhaegh"," Right"," D"," 178"
" Ruben Schaken"," Right"," A"," 172"
" Paul Beekmans"," Left"," M"," 190"
" Berry Powel"," Right"," A"," 185"
" Koen van de Laak"," Right"," M"," 182"
" Erik Heijblok"," Right"," GK"," 196"
" Sergio van Dijk"," Left"," A"," 185"
" Cristian Molinaro"," Left"," D"," 182"
" Samuele Olivi"," Right"," D"," 183"
" Armando Perna"," Right"," D"," 184"
" Albano Bizzarri"," Right"," GK"," 188"
" Gianluca Comotto"," Right"," D"," 181"
" Reginaldo"," Right"," A"," 175"
" Jeda"," Right"," A"," 176"
" Nicolás Córdova"," Right"," M"," 175"
" Gennaro Delvecchio"," Right"," M"," 191"
" Guglielmo Stendardo"," Right"," D"," 190"
" Paul Codrea"," Right"," M"," 174"
" Juan Pablo Ángel"," Right"," A"," 184"
" Marco Biagianti"," Right"," M"," 180"
" Luis Helguera"," Right"," M"," 181"
" Christian Maggio"," Right"," M"," 184"
" Francesco Magnanelli"," Right"," M"," 177"
" Massimiliano Scaglia"," Left"," D"," 183"
" Andrea Soncin"," Right"," A"," 174"
" Angelo Iorio"," Right"," D"," 180"
" Giuseppe Mascara"," Right"," A"," 175"
" Marco Rossi"," Right"," M"," 179"
" Emanuele Calaió"," Left"," A"," 179"
" Taddei"," Right"," M"," 177"
" Massimo Loviso"," Right"," M"," 177"
" Abderrazzak Jadid"," Right"," M"," 175"
" Matuzalém"," Left"," M"," 175"
" Antonio Buscè"," Right"," M"," 182"
" Alex Cordaz"," Left"," GK"," 188"
" Isah Abdulahi Eliakwu"," Right"," A"," 172"
" Luciano"," Right"," M"," 181"
" Alessandro Potenza"," Right"," D"," 185"
" Carl Valeri"," Right"," M"," 176"
" Francesco Scardina"," Left"," D"," 180"
" Valeri Bojinov"," Left"," A"," 180"
" Antonio Rosati"," Right"," GK"," 195"
" John Pantsil"," Right"," D"," 178"
" Gil Vermouth"," Right"," M"," 180"
" Daniele Corvia"," Right"," A"," 183"
" Amauri"," Right"," A"," 186"
" Marcos de Paula"," Right"," A"," 185"
" Sergio Pellissier"," Right"," A"," 175"
" Paolo Sammarco"," Right"," M"," 181"
" Simone Dallamano"," Left"," D"," 180"
" Alfonso De Lucia"," Right"," GK"," 186"
" Sasa Bjelanovic"," Right"," A"," 188"
" Guly"," Right"," M"," 189"
" Günter Friesenbichler"," Right"," A"," 193"
" Matthew Gregg"," Right"," GK"," 190"
" Colin Hawkins"," Right"," D"," 185"
" Jason McGuinness"," Right"," D"," 189"
" Ken Oman"," Right"," D"," 191"
" Alan Bennett"," Right"," D"," 187"
" Kevin Doyle"," Right"," A"," 182"
" Dan Murray"," Right"," D"," 192"
" Kevin Deery"," Right"," M"," 181"
" Eddie McCallion"," Right"," D"," 170"
" Mark McChrystal"," Left"," D"," 183"
" Gareth McGlynn"," Right"," A"," 176"
" Danny O'Connor"," Right"," M"," 188"
" Gary Rogers"," Right"," GK"," 191"
" Patrick Sullivan"," Right"," D"," 177"
" Alan Kirby"," Right"," M"," 172"
" Mark O'Brien"," Right"," M"," 177"
" Chris Bennion"," Right"," GK"," 188"
" Jason Byrne"," Right"," A"," 181"
" Ollie Cahill"," Left"," M"," 178"
" Owen Heary"," Right"," D"," 178"
" Wesley Hoolahan"," Left"," M"," 168"
" Keith Fahey"," Right"," M"," 178"
" David Mulcahy"," Right"," M"," 182"
" Daryl Murphy"," Left"," A"," 189"
" Gary O'Neill"," Right"," A"," 174"
" Shlomi Arbitman"," Left"," A"," 185"
" Dekel Keinan"," Right"," D"," 185"
" Konstantinos Katsouranis"," Right"," M"," 183"
" Nikos Liberopoulos"," Right"," A"," 186"
" Avraam Papadopoulos"," Right"," D"," 188"
" Panagiotis Lagos"," Left"," M"," 182"
" Marcin Mięciel"," Right"," A"," 186"
" Miroslaw Sznaucner"," Right"," D"," 174"
" Theofanis Gekas"," Right"," A"," 179"
" Iosif Daskalakis"," Right"," GK"," 187"
" Roei Dayan"," Right"," A"," 185"
" Dimitrios Papadopoulos"," Right"," A"," 177"
" Alexandros Tzorvas"," Right"," GK"," 188"
" Jaroslav Drobný"," Right"," GK"," 192"
" Grigoris Makos"," Right"," M"," 183"
" Dimitris Salpingidis"," Right"," M"," 172"
" Thomas Paulus"," Right"," D"," 191"
" David Solga"," Right"," M"," 184"
" Tamás Hajnal"," Right"," M"," 168"
" Christian Pander"," Left"," D"," 186"
" Charles Takyi"," Right"," M"," 177"
" René Klingbeil"," Right"," D"," 180"
" Benedikt Pliquett"," Right"," GK"," 199"
" Heiko Butscher"," Left"," D"," 189"
" Marco Caligiuri"," Right"," M"," 180"
" Mario Gomez"," Right"," A"," 189"
" Florian Lechner"," Right"," D"," 178"
" Gerrit Müller"," Right"," M"," 172"
" Thierry Debès"," Right"," GK"," 185"
" Eddy Viator"," Right"," D"," 180"
" Benoît Lesoimier"," Right"," M"," 171"
" Vincent Planté"," Right"," GK"," 190"
" Ronald Zubar"," Right"," D"," 186"
" Florian Fromlowitz"," Right"," GK"," 185"
" Dominick Kumbela"," Right"," A"," 173"
" Andreas Schäfer"," Left"," D"," 178"
" Marcel Ndjeng"," Right"," M"," 179"
" Lukas Podolski"," Left"," A"," 182"
" Paolo Guerrero"," Right"," A"," 184"
" Leonhard Haas"," Left"," M"," 182"
" Patrick Ochs"," Right"," M"," 179"
" Markus Brzenska"," Right"," D"," 196"
" Patrick Kohlmann"," Left"," D"," 182"
" Branko Bošković"," Left"," M"," 185"
" Fabrice Do Marcolino"," Right"," A"," 184"
" Henri Bedimo Nsamé"," Left"," D"," 180"
" Jonathan Brison"," Left"," M"," 179"
" Jean-François Rivière"," Right"," A"," 178"
" Malik Couturier"," Left"," D"," 185"
" Christophe Jallet"," Right"," D"," 178"
" Jérémy Perbet"," Right"," A"," 184"
" Fabrice Levrat"," Right"," M"," 173"
" Gilles Yapi Yapo"," Right"," M"," 171"
" Rio Antonio Mavuba"," Right"," M"," 172"
" Sékou Baradji"," Left"," M"," 185"
" Jérôme Lafourcade"," Right"," A"," 184"
" Jean-Paul Kalala"," Left"," M"," 178"
" Jérémy Berthod"," Left"," D"," 180"
" Gaël Genevier"," Right"," M"," 175"
" Romain Sartre"," Right"," D"," 185"
" Ian Dunbavin"," Right"," GK"," 188"
" Joe Hart"," Right"," GK"," 196"
" Ryan Lowe"," Right"," A"," 180"
" Luke Rodgers"," Right"," A"," 173"
" DJ Campbell"," Right"," A"," 178"
" Charlie MacDonald"," Right"," A"," 175"
" Sam Sodje"," Right"," D"," 182"
" Jude Stirling"," Right"," D"," 188"
" John Grant"," Right"," A"," 183"
" Sam Ricketts"," Right"," D"," 185"
" Terry McFlynn"," Right"," M"," 177"
" Alexei Eremenko"," Right"," M"," 183"
" Juho Mäkelä"," Right"," A"," 190"
" Roni Porokara"," Right"," A"," 184"
" Chris Sørensen"," Left"," D"," 186"
" Frank Hansen"," Right"," D"," 175"
" Andy Procter"," Right"," M"," 188"
" Nikki Bull"," Right"," GK"," 188"
" Aaron McLean"," Right"," A"," 171"
" Simon King"," Left"," D"," 183"
" Ben Strevens"," Right"," A"," 185"
" Matt Duke"," Right"," GK"," 196"
" Wayne Brown"," Right"," GK"," 185"
" Ben Davies"," Right"," A"," 170"
" Danny Collins"," Left"," D"," 183"
" Kevin McIntyre"," Left"," M"," 183"
" James Coppinger"," Right"," A"," 170"
" Ryan Green"," Right"," D"," 173"
" Paul Parry"," Left"," M"," 180"
" Ben Smith"," Right"," M"," 180"
" Akpo Sodje"," Right"," A"," 188"
" Jim Bentley"," Right"," D"," 185"
" Garry Thompson"," Right"," M"," 178"
" Steven Davis"," Right"," M"," 173"
" Kris Stadsgaard"," Right"," D"," 185"
" Jonas Troest"," Right"," D"," 185"
" Martin Vingaard"," Right"," M"," 180"
" Kolja Afriyie"," Right"," D"," 188"
" Kim Christensen"," Right"," GK"," 185"
" Anders Due"," Left"," M"," 177"
" Kenneth Fabricius"," Right"," A"," 182"
" Rajko Lekić"," Right"," A"," 185"
" Christopher Poulsen"," Left"," D"," 184"
" Peter Utaka"," Right"," A"," 177"
" Joeri Vastmans"," Left"," D"," 168"
" Anthony Portier"," Right"," D"," 183"
" Wouter Biebauw"," Right"," GK"," 188"
" David Vandenbroeck"," Right"," D"," 188"
" Stijn Minne"," Right"," D"," 171"
" Rune Pedersen"," Right"," GK"," 188"
" Daniel Agger"," Left"," D"," 191"
" Mads Junker"," Right"," A"," 186"
" Henrik Kildentoft"," Right"," D"," 183"
" Simon Poulsen"," Left"," D"," 184"
" Wolfgang Klapf"," Left"," D"," 180"
" Marko Stanković"," Right"," M"," 177"
" Dominique Taboga"," Right"," D"," 187"
" Andreas Hölzl"," Right"," M"," 178"
" Florian Mader"," Left"," M"," 180"
" Hans-Peter Berger"," Right"," GK"," 179"
" Enrico Kern"," Right"," A"," 189"
" Jürgen Patocka"," Left"," D"," 192"
" Ramazan Özcan"," Right"," GK"," 187"
" Manuel Ortlechner"," Left"," D"," 186"
" Franz Schiemer"," Right"," M"," 185"
" Ibrahima Sidibé"," Left"," A"," 193"
" Koen Persoons"," Right"," M"," 179"
" Kevin Geudens"," Left"," M"," 185"
" Mickaël Ménétrier"," Right"," GK"," 190"
" Braulio Luna"," Left"," M"," 182"
" Kelvin Davis"," Right"," GK"," 185"
" Tom Newey"," Left"," D"," 180"
" Gabriel Zakuani"," Right"," D"," 185"
" Brian Saah"," Right"," D"," 191"
" David Bird"," Right"," M"," 173"
" Kayode Odejayi"," Right"," A"," 191"
" Andy Gallinagh"," Right"," D"," 177"
" John White"," Right"," D"," 183"
" George Elokobi"," Left"," D"," 175"
" Scott Bevan"," Right"," GK"," 198"
" Ben Harding"," Left"," M"," 185"
" Jason Puncheon"," Left"," A"," 173"
" Dale Tonge"," Right"," D"," 178"
" Nicky Wroe"," Right"," M"," 180"
" Scott Flinders"," Right"," GK"," 193"
" Bradley Johnson"," Left"," M"," 178"
" Gaël Clichy"," Left"," D"," 176"
" David Bentley"," Right"," M"," 175"
" Alexander Tettey"," Right"," M"," 180"
" Alexander Mathisen"," Right"," A"," 182"
" Dylan Macallister"," Right"," A"," 191"
" Robert Koren"," Right"," M"," 175"
" Shane Stefanutto"," Left"," D"," 177"
" Tomasz Sokolowski"," Right"," M"," 184"
" Olivier Occèan"," Right"," A"," 185"
" Karim Essediri"," Right"," M"," 185"
" Péter Kovács"," Right"," A"," 198"
" Jonathan Douglas"," Right"," M"," 180"
" Paul Reid"," Right"," D"," 188"
" Jacob Burns"," Left"," M"," 176"
" Liam Chilvers"," Left"," D"," 185"
" Dimitrios Konstantopoulos"," Left"," GK"," 193"
" Steven Thomson"," Right"," M"," 173"
" Jamie Cureton"," Right"," A"," 173"
" Sean O'Hanlon"," Right"," D"," 185"
" Calvin Zola"," Right"," A"," 191"
" Ricardo Vaz Tê"," Right"," A"," 188"
" Liam Rosenior"," Right"," D"," 178"
" Danny Pugh"," Left"," M"," 183"
" Darren Ward"," Left"," D"," 191"
" Piqué"," Right"," D"," 192"
" Michael Doyle"," Left"," M"," 178"
" Bradley Orr"," Right"," D"," 183"
" Mike Williamson"," Right"," D"," 192"
" Martin Woods"," Left"," M"," 175"
" Paul Keegan"," Right"," M"," 180"
" Aaron Lennon"," Right"," M"," 165"
" Peter Leven"," Left"," M"," 180"
" David Hunt"," Right"," M"," 180"
" Eddie Johnson"," Right"," A"," 178"
" Rodrigo Alvim"," Left"," D"," 182"
" Quirino"," Right"," A"," 181"
" Leonardo Silva"," Right"," D"," 192"
" Diego Souza"," Right"," M"," 186"
" Bobô"," Right"," A"," 186"
" Rosinei"," Right"," M"," 170"
" Marquinhos"," Right"," M"," 183"
" Danilo"," Left"," M"," 186"
" Edcarlos"," Right"," D"," 185"
" Ibson"," Right"," M"," 178"
" Henrique"," Right"," D"," 189"
" Roger"," Left"," M"," 189"
" Jussiê"," Right"," M"," 181"
" Alex"," Left"," M"," 175"
" Rafael Sóbis"," Right"," A"," 172"
" Felipe Saad"," Left"," D"," 187"
" Johnnie Jackson"," Left"," M"," 185"
" Mark Yeates"," Right"," M"," 175"
" Mark Noble"," Right"," M"," 180"
" Chris Cohen"," Left"," M"," 178"
" Chad Marshall"," Right"," D"," 191"
" Chris Wingert"," Right"," D"," 180"
" Troy Perkins"," Right"," GK"," 188"
" Clarence Goodson"," Right"," D"," 193"
" Ramón Núñez"," Right"," M"," 169"
" Josh Gardner"," Left"," D"," 180"
" Ned Grabavoy"," Left"," M"," 170"
" Joseph Ngwenya"," Right"," A"," 185"
" Ryan Cochrane"," Right"," D"," 185"
" Steve Cronin"," Left"," GK"," 188"
" Jack Smith"," Right"," D"," 180"
" Ashley Young"," Right"," A"," 175"
" Hameur Bouazza"," Left"," A"," 180"
" José Sand"," Right"," A"," 183"
" Gabriel Pereyra"," Right"," M"," 175"
" Daniel Montenegro"," Right"," M"," 177"
" Rubens Sambueza"," Left"," M"," 174"
" Edgar Barreto"," Right"," M"," 182"
" Vincent Gragnic"," Right"," M"," 184"
" Darryl Flahavan"," Right"," GK"," 180"
" Grzegorz Wojtkowiak"," Left"," D"," 184"
" Mariusz Pawelec"," Right"," D"," 180"
" Lee Barnard"," Right"," A"," 178"
" Dean Marney"," Right"," M"," 183"
" Stephen Kelly"," Right"," D"," 184"
" Renato Civelli"," Right"," D"," 193"
" Per Ciljan Skjelbred"," Right"," M"," 175"
" Darío Cvitanich"," Right"," A"," 174"
" Rodrigo Palacio"," Right"," A"," 175"
" Jakub Wawrzyniak"," Left"," D"," 188"
" Gareth Stewart"," Right"," GK"," 183"
" Neil Alexander"," Right"," GK"," 185"
" Magnus Wolff Eikrem"," Right"," M"," 178"
" Juan Manuel Insaurralde"," Left"," D"," 188"
" Sergio Agüero"," Right"," A"," 175"
" Hernán Losada"," Right"," M"," 172"
" Stuart Nelson"," Right"," GK"," 185"
" Aleksander Ptak"," Right"," GK"," 186"
" Łukasz Sapela"," Left"," GK"," 186"
" Jacek Popek"," Left"," D"," 182"
" Łukasz Garguła"," Right"," M"," 177"
" Alejandro Faurlín"," Left"," M"," 185"
" Mauro Zárate"," Right"," A"," 176"
" Lee Sang Ho"," Right"," D"," 175"
" Ma Chul Joon"," Right"," D"," 180"
" Dariusz Łatka"," Right"," M"," 172"
" Paweł Sobolewski"," Left"," M"," 175"
" Nicolas Flegeau"," Left"," D"," 182"
" André-Pierre Gignac"," Right"," A"," 186"
" Virgile Reset"," Right"," M"," 176"
" Hilton"," Right"," D"," 182"
" Florent Ghisolfi"," Right"," M"," 175"
" Jonathan Téhoué"," Right"," A"," 183"
" Jean-Louis Leca"," Right"," GK"," 180"
" Matt Pickens"," Right"," GK"," 184"
" Adrian Cann"," Right"," D"," 190"
" William Hesmer"," Right"," GK"," 188"
" Khari Stephenson"," Right"," M"," 186"
" Yoann Gourcuff"," Right"," M"," 185"
" Arnold Mvuemba"," Right"," M"," 172"
" Cleyton"," Right"," M"," 175"
" Nikos Spyropoulos"," Left"," D"," 172"
" Del Olmo"," Right"," M"," 172"
" Michał Żewłakow"," Right"," D"," 182"
" Piti"," Left"," A"," 174"
" Àngel Rangel"," Right"," D"," 188"
" Benjamin Huggel"," Right"," M"," 190"
" Sergio Díaz"," Left"," D"," 194"
" Koikili"," Left"," D"," 168"
" Bernardo"," Right"," GK"," 185"
" Jorge Molina"," Right"," A"," 188"
" Nicola Ferrari"," Right"," A"," 183"
" Francesco Marianini"," Right"," M"," 185"
" Ciro Capuano"," Left"," D"," 185"
" Manuel Pasqual"," Left"," D"," 178"
" Gheorghe Bucur"," Right"," A"," 171"
" Dacian Varga"," Left"," M"," 173"
" Yuriy Zhirkov"," Left"," M"," 180"
" Rob Jones"," Left"," D"," 200"
" Craig Mackail-Smith"," Right"," A"," 178"
" Nicky Bailey"," Right"," M"," 178"
" Ludovic Giuly"," Right"," M"," 164"
" Luca Ariatti"," Right"," M"," 182"
" Vadim Demidov"," Right"," D"," 186"
" Rob Friend"," Right"," A"," 195"
" Vladimir Ivic"," Right"," M"," 191"
" Krzysztof Kotorowski"," Right"," GK"," 186"
" Nikola Mijailović"," Left"," D"," 185"
