"Number","Team","FullName","Position","ClubCountry","Club","IsCaptain","DateOfBirth"
"3","Germany","Arne Friedrich","DF","GER","Hertha B","FALSE","5/29/1979"
"4","Germany","Dennis Aogo","DF","GER","Hamburger ","FALSE","1/14/1987"
"5","Germany","Serdar Tasci","DF","GER","VfB Stuttga","FALSE","4/24/1987"
"6","Germany","Sami Khedira","MF","GER","VfB Stuttga","FALSE","4/4/1987"
"7","Germany","Bastian Schweinsteiger","MF","GER","FC Bayern Munich","FALSE","8/1/1984"
"8","Germany","","MF","GER","SV Werder Bremen","FALSE","10/15/1988"
"9","Germany","Stefan KieÃŸling","FW","GER","Bayer 04 Leverkusen","FALSE","1/25/1984"
"10","Germany","Lukas Podolski","MF","GER","1. FC KÃ¶","FALSE","6/4/1985"
"11","Germany","Miroslav Klose","FW","GER","FC Bayern Munich","FALSE","6/9/1978"
"12","Germany","Tim Wiese","GK","GER","SV Werder Bremen","FALSE","12/17/1981"
"13","Germany","","MF","GER","FC Bayern Munich","FALSE","9/13/1989"
"14","Germany","Holger Badstuber","DF","GER","FC Bayern Munich","FALSE","3/13/1989"
"15","Germany","Piotr Trochowski","MF","GER","Hamburger ","FALSE","3/22/1984"
"16","Germany","Philipp Lahm","DF","GER","FC Bayern Munich","TRUE","11/11/1983"
"17","Germany","Per Mertesacker","DF","GER","SV Werder Bremen","FALSE","9/29/1984"
"18","Germany","Toni Kroos","MF","GER","Bayer 04 Leverkusen","FALSE","1/4/1990"
"19","Germany","Cacau","FW","GER","VfB Stuttga","FALSE","3/27/1981"
"20","Germany","","DF","GER","Hamburger ","FALSE","9/3/1988"
"21","Germany","Marko Marin","MF","GER","SV Werder Bremen","FALSE","3/13/1989"
"22","Germany","","GK","GER","FC Bayern Munich","FALSE","5/28/1974"
"23","Germany","","FW","GER","FC Bayern Munich","FALSE","7/10/1985"
"1","Australia","Mark Schwarzer","GK","ENG","Fulham F.C.","FALSE","10/6/1972"
"2","Australia","Lucas Neill","DF","TUR","Galatasaray S.K. (football team)","TRUE","3/9/1978"
"3","Australia","Craig Moore","DF","","Free agent","FALSE","12/12/1975"
"4","Australia","Tim Cahill","MF","ENG","Everton F.C.","FALSE","12/6/1979"
"5","Australia","Jason ÄŒulina","MF","AUS","Gold Coast United FC","FALSE","8/5/1980"
"6","Australia","Michael Beauchamp","DF","UAE","Al-Jazira Club","FALSE","3/8/1981"
"7","Australia","Brett Emerton","MF","ENG","Blackburn Rovers F.C.","FALSE","2/22/1979"
"8","Australia","Luke Wilkshire","DF","RUS","FC Dynamo Moscow","FALSE","10/1/1981"
"9","Australia","Joshua Kennedy","FW","JPN","Nagoya Gramp","FALSE","8/20/1982"
"10","Australia","Harry Kewell","FW","TUR","Galatasaray S.K. (football team)","FALSE","9/22/1978"
"11","Australia","Scott Chipperfield","DF","SUI","FC Basel","FALSE","12/30/1975"
"12","Australia","Adam Federici","GK","ENG","Reading F.C.","FALSE","1/31/1985"
"13","Australia","Vince Grella","MF","ENG","Blackburn Rovers F.C.","FALSE","10/5/1979"
"14","Australia","Brett Holman","FW","NED","AZ (football club)","FALSE","3/27/1984"
"15","Australia","Mile Jedinak","MF","TUR","Antalyasp","FALSE","8/3/1984"
"16","Australia","Carl Valeri","MF","ITA","U.S. Sassuolo Calcio","FALSE","8/14/1984"
"17","Australia","Nikita Rukavytsya","FW","BEL","clubK.S.V. Roeselare","FALSE","6/22/1987"
"18","Australia","","GK","AUS","Adelaide United FC","FALSE","6/12/1981"
"19","Australia","Richard Garcia","MF","ENG","Hull City A.F.C.","FALSE","9/4/1981"
"20","Australia","Mark Milligan","DF","JPN","JEF United Ichihara Chiba","FALSE","9/4/1985"
"21","Australia","David Carney","DF","NED","FC Twente","FALSE","11/3/1983"
"22","Australia","","MF","GER","MSV Duisbu","FALSE","4/12/1987"
"23","Australia","Mark Bresciano","MF","ITA","U.S. CittÃ  di Palermo","FALSE","2/11/1980"
"1","Serbia","","GK","ENG","Wigan Athletic F.C.","FALSE","7/29/1983"
"2","Serbia","Antonio Rukavina","DF","GER","TSV 1860 MÃ¼nchen","FALSE","1/26/1984"
"3","Serbia","Aleksandar Kolarov","DF","ITA","S.S. Lazio","FALSE","11/10/1985"
"4","Serbia","Gojko KaÄar","MF","GER","Hertha B","FALSE","1/26/1987"
"5","Serbia","","DF","ENG","Manchester United F.C.","FALSE","10/21/1981"
"6","Serbia","","DF","ENG","Chelsea F.C.","FALSE","2/22/1984"
"7","Serbia","","MF","GER","1. FC KÃ¶","FALSE","4/28/1987"
"8","Serbia","","FW","RUS","FC Zenit Saint Petersburg","FALSE","5/17/1983"
"9","Serbia","","FW","NED","AFC Ajax","FALSE","9/15/1978"
"10","Serbia","","MF","ITA","F.C. Internazionale Milano","TRUE","9/11/1978"
"11","Serbia","","MF","ENG","Wolverhampton Wanderers F.C.","FALSE","4/30/1983"
"12","Serbia","","GK","POL","ZagÅ‚Ä™bie Lub","FALSE","3/25/1980"
"13","Serbia","","DF","ITA","Udinese Calcio","FALSE","10/23/1982"
"14","Serbia","","MF","BEL","Standard LiÃ¨","FALSE","4/18/1981"
"15","Serbia","","FW","ESP","Valencia CF","FALSE","9/25/1980"
"16","Serbia","","DF","ESP","Real Zarago","FALSE","7/25/1988"
"17","Serbia","","MF","RUS","PFC CSKA Moscow","FALSE","11/1/1984"
"18","Serbia","","MF","UKR","FC Dynamo Kyiv","FALSE","12/25/1984"
"19","Serbia","","MF","SRB","FK Partizan","FALSE","3/8/1989"
"20","Serbia","","DF","GER","Borussia Dortmu","FALSE","12/10/1988"
"21","Serbia","","FW","SRB","FK Vojvodina","FALSE","1/23/1984"
"22","Serbia","","MF","GER","VfB Stuttga","FALSE","9/22/1987"
"23","Serbia","","GK","POR","U.D. Leiria","FALSE","11/21/1980"
"1","Ghana","Daniel Adjei","GK","GHA","Liberty Professionals F.C.","FALSE","11/10/1989"
"2","Ghana","Hans Sarpei","DF","GER","Bayer 04 Leverkusen","FALSE","6/28/1976"
"3","Ghana","Asamoah Gyan","FW","FRA","Stade Rennais F.C.","FALSE","11/22/1985"
"4","Ghana","John Paintsil","DF","ENG","Fulham F.C.","FALSE","6/15/1981"
"5","Ghana","John Mensah","DF","ENG","Sunderland A.F.C.","TRUE","11/29/1982"
"6","Ghana","Anthony Annan","MF","NOR","Rosenborg BK","FALSE","7/21/1986"
"7","Ghana","Samuel Inkoom","DF","SUI","FC Basel","FALSE","8/22/1989"
"8","Ghana","Jonathan Mensah","DF","ESP","Granada CF","FALSE","7/13/1990"
"9","Ghana","Derek Boateng","MF","ESP","Getafe CF","FALSE","4/2/1983"
"10","Ghana","Stephen Appiah","MF","ITA","Bologna F.C. 1909","FALSE","12/24/1980"
"11","Ghana","Sulley Muntari","MF","ITA","F.C. Internazionale Milano","FALSE","8/27/1984"
"12","Ghana","Prince Tagoe","FW","GER","TSG 1899 Hoffenheim","FALSE","11/9/1986"
"13","Ghana","","MF","FRA","AC Arles-Avignon","FALSE","12/17/1989"
"14","Ghana","Matthew Amoah","FW","NED","NAC Breda","FALSE","10/24/1980"
"15","Ghana","Isaac Vorsah","DF","GER","TSG 1899 Hoffenheim","FALSE","6/21/1988"
"16","Ghana","Stephen Ahorlu","GK","GHA","Heart of Lio","FALSE","5/10/1989"
"17","Ghana","Abdul Rahim Ayew","DF","EGY","Zamalek SC","FALSE","4/16/1988"
"18","Ghana","Dominic Adiyiah","FW","ITA","A.C. Milan","FALSE","11/29/1989"
"19","Ghana","Lee Addy","DF","GHA","Bechem Chels","FALSE","9/26/1985"
"20","Ghana","Quincy Owusu-Abeyie","MF","QAT","Al-Sadd Sports Club","FALSE","4/15/1986"
"21","Ghana","Kwadwo Asamoah","MF","ITA","Udinese Calcio","FALSE","9/9/1988"
"22","Ghana","Richard Kingson","GK","ENG","Wigan Athletic F.C.","FALSE","6/13/1978"
"23","Ghana","Kevin-Prince Boateng","MF","ENG","Portsmouth F.C.","FALSE","3/6/1987"
"1","Netherlands","Maarten Stekelenburg","GK","NED","AFC Ajax","FALSE","9/22/1982"
"2","Netherlands","Gregory van der Wiel","DF","NED","AFC Ajax","FALSE","2/3/1988"
"3","Netherlands","John Heitinga","DF","ENG","Everton F.C.","FALSE","11/15/1983"
"4","Netherlands","Joris Mathijsen","DF","GER","Hamburger ","FALSE","4/5/1980"
"5","Netherlands","Giovanni van Bronckhorst","DF","NED","Feyenoo","TRUE","2/5/1975"
"6","Netherlands","Mark van Bommel","MF","GER","FC Bayern Munich","FALSE","4/22/1977"
"7","Netherlands","Dirk Kuyt","FW","ENG","Liverpool F.C.","FALSE","7/22/1980"
"8","Netherlands","Nigel de Jong","MF","ENG","Manchester City F.C.","FALSE","11/30/1984"
"9","Netherlands","Robin van Persie","FW","ENG","Arsenal F.C.","FALSE","8/6/1983"
"10","Netherlands","Wesley Sneijder","MF","ITA","F.C. Internazionale Milano","FALSE","6/9/1984"
"11","Netherlands","Arjen Robben","FW","GER","FC Bayern Munich","FALSE","1/23/1984"
"12","Netherlands","Khalid Boulahrouz","DF","GER","VfB Stuttga","FALSE","12/28/1981"
"13","Netherlands","","DF","NED","PSV Eindhov","FALSE","7/11/1974"
"14","Netherlands","Demy de Zeeuw","MF","NED","AFC Ajax","FALSE","5/26/1983"
"15","Netherlands","Edson Braafheid","DF","SCO","Celtic F.C.","FALSE","4/8/1983"
"16","Netherlands","Michel Vorm","GK","NED","FC Utrecht","FALSE","10/20/1983"
"17","Netherlands","Eljero Elia","FW","GER","Hamburger ","FALSE","2/13/1987"
"18","Netherlands","Stijn Schaars","MF","NED","AZ (football club)","FALSE","1/11/1984"
"19","Netherlands","Ryan Babel","FW","ENG","Liverpool F.C.","FALSE","12/19/1986"
"20","Netherlands","Ibrahim Afellay","MF","NED","PSV Eindhov","FALSE","4/2/1986"
"21","Netherlands","Klaas-Jan Huntelaar","FW","ITA","A.C. Milan","FALSE","8/12/1983"
"22","Netherlands","Sander Boschker","GK","NED","FC Twente","FALSE","10/20/1970"
"23","Netherlands","Rafael van der Vaart","MF","ESP","Real Madrid C.F.","FALSE","2/11/1983"
"1","Denmark","","GK","ENG","Stoke City F.C.","FALSE","6/12/1976"
"2","Denmark","Christian Poulsen","MF","ITA","Juventus F.C.","FALSE","2/28/1980"
"3","Denmark","","DF","ITA","U.S. CittÃ  di Palermo","FALSE","3/26/1989"
"4","Denmark","Daniel Agger","DF","ENG","Liverpool F.C.","FALSE","12/12/1984"
"5","Denmark","William Kvist","DF","DEN","F.C. Copenhagen","FALSE","2/24/1985"
"6","Denmark","Lars Jacobsen","DF","ENG","Blackburn Rovers F.C.","FALSE","9/20/1979"
"7","Denmark","Daniel Jensen","MF","GER","SV Werder Bremen","FALSE","6/25/1979"
"8","Denmark","","MF","DEN","F.C. Copenhagen","FALSE","8/12/1977"
"9","Denmark","Jon Dahl Tomasson","FW","NED","Feyenoo","TRUE","8/29/1976"
"10","Denmark","","MF","DEN","Aarhus Gymnastikforening","FALSE","10/6/1975"
"11","Denmark","Nicklas Bendtner","FW","ENG","Arsenal F.C.","FALSE","1/16/1988"
"12","Denmark","Thomas Kahlenberg","MF","GER","VfL Wolfsbu","FALSE","3/20/1983"
"13","Denmark","","DF","ITA","ACF Fiorentina","FALSE","7/31/1979"
"14","Denmark","Jakob Poulsen","MF","DEN","Aarhus Gymnastikforening","FALSE","7/7/1983"
"15","Denmark","Simon Poulsen","DF","NED","AZ (football club)","FALSE","10/7/1984"
"16","Denmark","Stephan Andersen","GK","DEN","BrÃ¸ndby IF","FALSE","11/26/1981"
"17","Denmark","Mikkel Beckmann","MF","DEN","Randers FC","FALSE","10/24/1983"
"18","Denmark","","FW","GER","MSV Duisbu","FALSE","9/6/1981"
"19","Denmark","Dennis Rommedahl","MF","NED","AFC Ajax","FALSE","7/22/1978"
"20","Denmark","Thomas Enevoldsen","MF","NED","FC Groningen","FALSE","7/27/1987"
"21","Denmark","Christian Eriksen","MF","NED","AFC Ajax","FALSE","2/14/1992"
"22","Denmark","Jesper Christiansen","GK","DEN","F.C. Copenhagen","FALSE","4/24/1978"
"23","Denmark","Patrick Mtiliga","DF","ESP","MÃ¡laga CF","FALSE","1/28/1981"
"1","Japan","Seigo Narazaki","GK","JPN","Nagoya Gramp","FALSE","4/15/1976"
"2","Japan","Yuki Abe","MF","JPN","Urawa Red Diamon","FALSE","9/6/1981"
"3","Japan","","DF","JPN","JÃºbilo Iwa","FALSE","7/25/1981"
"4","Japan","Marcus Tulio Tanaka","DF","JPN","Nagoya Gramp","FALSE","4/24/1981"
"5","Japan","Yuto Nagatomo","DF","JPN","FC Tok","FALSE","9/12/1986"
"6","Japan","Atsuto Uchida","DF","JPN","Kashima Antle","FALSE","3/27/1988"
"7","Japan","Yasuhito EndÅ","MF","JPN","Gamba Osa","FALSE","1/28/1980"
"8","Japan","Daisuke Matsui","FW","FRA","Grenoble Foot 38","FALSE","5/11/1981"
"9","Japan","Shinji Okazaki","FW","JPN","Shimizu S-Pul","FALSE","4/16/1986"
"10","Japan","Shunsuke Nakamura","MF","JPN","Yokohama F. Marin","FALSE","6/24/1978"
"11","Japan","Keiji Tamada","FW","JPN","Nagoya Gramp","FALSE","4/11/1980"
"12","Japan","Kisho Yano","FW","JPN","Albirex Niiga","FALSE","4/5/1984"
"13","Japan","Daiki Iwamasa","DF","JPN","Kashima Antle","FALSE","1/30/1982"
"14","Japan","Kengo Nakamura","MF","JPN","Kawasaki Fronta","FALSE","10/31/1980"
"15","Japan","Yasuyuki Konno","DF","JPN","FC Tok","FALSE","1/25/1983"
"16","Japan","Yoshito ÅŒkubo","FW","JPN","Vissel Ko","FALSE","6/9/1982"
"17","Japan","Makoto Hasebe","MF","GER","VfL Wolfsbu","FALSE","1/18/1984"
"18","Japan","Keisuke Honda","MF","RUS","PFC CSKA Moscow","FALSE","6/13/1986"
"19","Japan","Takayuki Morimoto","FW","ITA","Calcio Catania","FALSE","5/7/1988"
"20","Japan","Junichi Inamoto","MF","JPN","Kawasaki Fronta","FALSE","9/18/1979"
"21","Japan","Eiji Kawashima","GK","JPN","Kawasaki Fronta","FALSE","3/20/1983"
"22","Japan","Yuji Nakazawa","DF","JPN","Yokohama F. Marin","FALSE","2/25/1978"
"23","Japan","Yoshikatsu Kawaguchi","GK","JPN","JÃºbilo Iwa","TRUE","8/15/1975"
"1","Cameroon","Idriss Carlos Kameni","GK","ESP","RCD Espanyol","FALSE","2/18/1984"
"2","Cameroon","","DF","ENG","Tottenham Hotspur F.C.","FALSE","3/24/1984"
"3","Cameroon","Nicolas N'Koulou","DF","FRA","AS Monaco FC","FALSE","3/27/1990"
"4","Cameroon","Rigobert Song","DF","TUR","Trabzonsp","FALSE","7/1/1976"
"5","Cameroon","","DF","ENG","Tottenham Hotspur F.C","FALSE","7/9/1986"
"6","Cameroon","Alex Song","MF","ENG","Arsenal F.C.","FALSE","9/9/1987"
"7","Cameroon","","MF","SCO","Celtic F.C.","FALSE","11/28/1985"
"8","Cameroon","Geremi Njitap","DF","TUR","AnkaragÃ¼c","FALSE","12/20/1978"
"9","Cameroon","Samuel Eto'o","FW","ITA","F.C. Internazionale Milano","TRUE","3/10/1981"
"10","Cameroon","Achille Emana","MF","ESP","Real Bet","FALSE","6/5/1982"
"11","Cameroon","Jean Makoun","MF","FRA","Olympique Lyonnais","FALSE","5/29/1983"
"12","Cameroon","","DF","FRA","Valenciennes FC","FALSE","4/25/1988"
"13","Cameroon","Eric Maxim Choupo-Moting","FW","GER","1. FC NÃ¼rnbe","FALSE","3/23/1989"
"14","Cameroon","","DF","FRA","Lille OSC","FALSE","6/20/1985"
"15","Cameroon","","FW","ESP","RCD Mallorca","FALSE","1/20/1982"
"16","Cameroon","Souleymanou Hamidou","GK","TUR","Kayserisp","FALSE","11/22/1973"
"17","Cameroon","Mohammadou Idrissou","FW","GER","SC Freibu","FALSE","3/8/1980"
"18","Cameroon","Eyong Enoh","MF","NED","AFC Ajax","FALSE","3/23/1986"
"19","Cameroon","","DF","FRA","Olympique de Marseille","FALSE","5/20/1986"
"20","Cameroon","Georges Mandjeck","MF","GER","1. FC Kaiserslaute","FALSE","12/9/1988"
"21","Cameroon","","MF","GER","FC Schalke 04","FALSE","8/8/1991"
"22","Cameroon","","GK","FRA","Valenciennes FC","FALSE","2/28/1986"
"23","Cameroon","Vincent Aboubakar","FW","CMR","Cotonsport Garo","FALSE","1/22/1992"
"1","Italy","Gianluigi Buffon","GK","ITA","Juventus F.C.","FALSE","1/28/1978"
"2","Italy","Christian Maggio","DF","ITA","S.S.C. Napoli","FALSE","2/11/1982"
"3","Italy","Domenico Criscito","DF","ITA","Genoa C.F.C.","FALSE","12/30/1986"
"4","Italy","Giorgio Chiellini","DF","ITA","Juventus F.C.","FALSE","8/14/1984"
"5","Italy","Fabio Cannavaro","DF","ITA","Juventus F.C.","TRUE","9/13/1973"
"6","Italy","Daniele De Rossi","MF","ITA","A.S. Roma","FALSE","7/24/1983"
"7","Italy","Simone Pepe","MF","ITA","Udinese Calcio","FALSE","8/30/1983"
"8","Italy","Gennaro Gattuso","MF","ITA","A.C. Milan","FALSE","1/9/1978"
"9","Italy","Vincenzo Iaquinta","FW","ITA","Juventus F.C.","FALSE","11/21/1979"
"10","Italy","Antonio Di Natale","FW","ITA","Udinese Calcio","FALSE","10/13/1977"
"11","Italy","Alberto Gilardino","FW","ITA","ACF Fiorentina","FALSE","7/5/1982"
"12","Italy","Federico Marchetti","GK","ITA","Cagliari Calcio","FALSE","2/7/1983"
"13","Italy","Salvatore Bocchetti","DF","ITA","Genoa C.F.C.","FALSE","11/30/1986"
"14","Italy","Morgan De Sanctis","GK","ITA","S.S.C. Napoli","FALSE","3/26/1977"
"15","Italy","Claudio Marchisio","MF","ITA","Juventus F.C.","FALSE","1/19/1986"
"16","Italy","Mauro Camoranesi","MF","ITA","Juventus F.C.","FALSE","10/4/1976"
"17","Italy","Angelo Palombo","MF","ITA","U.C. Sampdoria","FALSE","9/25/1981"
"18","Italy","Fabio Quagliarella","FW","ITA","S.S.C. Napoli","FALSE","1/31/1983"
"19","Italy","Gianluca Zambrotta","DF","ITA","A.C. Milan","FALSE","2/19/1977"
"20","Italy","Giampaolo Pazzini","FW","ITA","U.C. Sampdoria","FALSE","8/2/1984"
"21","Italy","Andrea Pirlo","MF","ITA","A.C. Milan","FALSE","5/19/1979"
"22","Italy","Riccardo Montolivo","MF","ITA","ACF Fiorentina","FALSE","1/18/1985"
"23","Italy","Leonardo Bonucci","DF","ITA","A.S. Bari","FALSE","5/1/1987"
"1","Paraguay","Justo Villar","GK","ESP","Real Valladol","TRUE","6/30/1977"
"2","Paraguay","","DF","MEX","Club Universidad Nacional","FALSE","6/26/1979"
"3","Paraguay","","DF","ARG","Boca Junio","FALSE","2/2/1978"
"4","Paraguay","Denis Caniza","DF","MEX","Club LeÃ³n","FALSE","8/29/1974"
"5","Paraguay","","DF","BRA","AtlÃ©tico Minei","FALSE","10/5/1979"
"6","Paraguay","Carlos Bonet","DF","PAR","Club Olimpia","FALSE","10/2/1977"
"7","Paraguay","","FW","POR","S.L. Benfica","FALSE","5/20/1983"
"8","Paraguay","","MF","ITA","Atalanta Calcio","FALSE","7/15/1984"
"9","Paraguay","Roque Santa Cruz","FW","ENG","Manchester City F.C.","FALSE","8/16/1981"
"10","Paraguay","","FW","MEX","C.F. Pachuca","FALSE","11/8/1987"
"11","Paraguay","Jonathan Santana","MF","GER","VfL Wolfsbu","FALSE","10/19/1981"
"12","Paraguay","Diego Barreto","GK","PAR","Cerro PorteÃ","FALSE","7/16/1981"
"13","Paraguay","Enrique Vera","MF","ECU","Liga Deportiva Universitaria de Quito","FALSE","3/10/1979"
"14","Paraguay","Paulo da Silva","DF","ENG","Sunderland A.F.C.","FALSE","2/1/1980"
"15","Paraguay","","MF","PAR","Club Libertad","FALSE","3/25/1985"
"16","Paraguay","Cristian Riveros","MF","MEX","Cruz Az","FALSE","10/16/1982"
"17","Paraguay","Aureliano Torres","DF","ARG","San Lorenzo de Almagro","FALSE","6/16/1982"
"18","Paraguay","Nelson Haedo Valdez","FW","GER","Borussia Dortmu","FALSE","11/28/1983"
"19","Paraguay","Lucas Barrios","FW","GER","Borussia Dortmu","FALSE","11/13/1984"
"20","Paraguay","","MF","ARG","Argentinos Junio","FALSE","10/7/1984"
"21","Paraguay","","DF","BEL","Club Brugge K.V.","FALSE","7/30/1982"
"22","Paraguay","Aldo Bobadilla","GK","COL","Independiente MedellÃ","FALSE","4/20/1976"
"23","Paraguay","Rodolfo Gamarra","FW","PAR","Club Libertad","FALSE","12/10/1988"
"1","New Zealand","Mark Paston","GK","NZL","Wellington Phoenix FC","FALSE","12/13/1976"
"2","New Zealand","Ben Sigmund","DF","NZL","Wellington Phoenix FC","FALSE","2/3/1981"
"3","New Zealand","Tony Lochhead","DF","NZL","Wellington Phoenix FC","FALSE","1/12/1982"
"4","New Zealand","Winston Reid (footballer)","DF","DEN","FC Midtjylland","FALSE","7/3/1988"
"5","New Zealand","Ivan Vicelich","DF","NZL","Auckland City FC","FALSE","9/3/1976"
"6","New Zealand","Ryan Nelsen","DF","ENG","Blackburn Rovers F.C.","TRUE","10/18/1977"
"7","New Zealand","Simon Elliott","MF","","Free agent","FALSE","6/10/1974"
"8","New Zealand","Tim Brown (footballer)","MF","NZL","Wellington Phoenix FC","FALSE","3/6/1981"
"9","New Zealand","Shane Smeltz","FW","AUS","Gold Coast United FC","FALSE","9/29/1981"
"10","New Zealand","Chris Killen","FW","ENG","Middlesbrough F.C.","FALSE","10/8/1981"
"11","New Zealand","Leo Bertos","MF","NZL","Wellington Phoenix FC","FALSE","12/20/1981"
"12","New Zealand","Glen Moss","GK","AUS","Melbourne Victory FC","FALSE","1/19/1983"
"13","New Zealand","Andrew Barron","MF","NZL","Team Wellingt","FALSE","12/24/1980"
"14","New Zealand","Rory Fallon","FW","ENG","Plymouth Argyle F.C.","FALSE","3/20/1982"
"15","New Zealand","Michael McGlinchey","MF","SCO","Motherwell F.C.","FALSE","1/7/1987"
"16","New Zealand","Aaron Clapham","MF","NZL","Canterbury Unit","FALSE","1/1/1987"
"17","New Zealand","David Mulligan","MF","","Free agent","FALSE","3/24/1982"
"18","New Zealand","Andrew Boyens","DF","USA","New York Red Bul","FALSE","9/18/1983"
"19","New Zealand","Tommy Smith (footballer born 1990)","DF","ENG","Ipswich Town F.C.","FALSE","3/31/1990"
"20","New Zealand","Chris Wood (footballer born 1991)","FW","ENG","West Bromwich Albion F.C.","FALSE","12/7/1991"
"21","New Zealand","Jeremy Christie","MF","USA","FC Tampa Bay","FALSE","5/22/1983"
"22","New Zealand","Jeremy Brockie","MF","AUS","Newcastle United Jets FC","FALSE","10/7/1987"
"23","New Zealand","James Bannatyne","GK","NZL","Team Wellingt","FALSE","6/30/1975"
"1","Slovakia","","GK","POL","Legia Warsza","FALSE","12/5/1982"
"2","Slovakia","","DF","GER","VfL Wolfsbu","FALSE","10/30/1986"
"3","Slovakia","","DF","ENG","Liverpool F.C.","FALSE","12/15/1984"
"4","Slovakia","Marek ÄŒech (Slovak footballer)","DF","ENG","West Bromwich Albion F.C.","FALSE","1/26/1983"
"5","Slovakia","","DF","GER","1. FSV Mainz 05","FALSE","9/16/1980"
"6","Slovakia","","MF","GRE","Skoda Xanthi F.C.","FALSE","6/9/1976"
"7","Slovakia","","MF","ENG","Bolton Wanderers F.C.","FALSE","11/30/1989"
"8","Slovakia","","MF","ROU","FC TimiÅŸoara","FALSE","4/22/1980"
"9","Slovakia","","MF","GER","VfL Boch","FALSE","12/16/1982"
"10","Slovakia","Marek Sapara","MF","TUR","AnkaragÃ¼c","FALSE","7/31/1982"
"11","Slovakia","","FW","TUR","AnkaragÃ¼c","FALSE","4/1/1982"
"12","Slovakia","","GK","SCO","Dundee United F.C.","FALSE","11/28/1984"
"13","Slovakia","","FW","TUR","BeÅŸiktaÅŸ J.K.","FALSE","1/17/1984"
"14","Slovakia","Martin Jakubko","FW","RUS","FC Saturn Moscow Oblast (1946-2011)","FALSE","2/26/1980"
"15","Slovakia","Miroslav Stoch","MF","NED","FC Twente","FALSE","10/19/1989"
"16","Slovakia","","DF","GER","Hannover ","FALSE","12/10/1981"
"17","Slovakia","","MF","ITA","S.S.C. Napoli","TRUE","7/27/1987"
"18","Slovakia","","FW","GER","1. FC Kaiserslaute","FALSE","10/26/1986"
"19","Slovakia","Juraj Kucka","MF","CZE","Sparta Prag","FALSE","2/26/1987"
"20","Slovakia","Kamil KopÃºnek","MF","SVK","FC Spartak Trnava","FALSE","5/18/1984"
"21","Slovakia","","DF","SVK","Å K Slovan Bratislava","FALSE","1/4/1985"
"22","Slovakia","","DF","ITA","A.C. Cesena","FALSE","11/2/1979"
"23","Slovakia","","GK","ROU","FC Vasl","FALSE","5/21/1985"
"1","Brazil","","GK","ITA","F.C. Internazionale Milano","FALSE","9/3/1979"
"2","Brazil","Maicon Sisenando","DF","ITA","F.C. Internazionale Milano","FALSE","7/26/1981"
"3","Brazil","LÃºcio","DF","ITA","F.C. Internazionale Milano","TRUE","5/8/1978"
"4","Brazil","Juan Silveira dos Santos","DF","ITA","A.S. Roma","FALSE","2/1/1979"
"5","Brazil","Felipe Melo","MF","ITA","Juventus F.C.","FALSE","8/26/1983"
"6","Brazil","Michel Bastos","DF","FRA","Olympique Lyonnais","FALSE","8/2/1983"
"7","Brazil","Elano","MF","TUR","Galatasaray S.K. (football team)","FALSE","6/14/1981"
"8","Brazil","Gilberto Silva","MF","GRE","Panathinaikos F.C.","FALSE","10/7/1976"
"9","Brazil","","FW","ESP","Sevilla FC","FALSE","11/8/1980"
"10","Brazil","","MF","ESP","Real Madrid C.F.","FALSE","4/22/1982"
"11","Brazil","Robinho","FW","BRA","Santos FC","FALSE","1/25/1984"
"12","Brazil","Heurelho Gomes","GK","ENG","Tottenham Hotspur F.C.","FALSE","2/15/1981"
"13","Brazil","Daniel Alves","DF","ESP","FC Barcelona","FALSE","5/6/1983"
"14","Brazil","","DF","POR","S.L. Benfica","FALSE","2/13/1981"
"15","Brazil","Thiago Silva (footballer)","DF","ITA","A.C. Milan","FALSE","9/22/1984"
"16","Brazil","Gilberto da Silva Melo","DF","BRA","Cruzeiro Esporte Clube","FALSE","4/25/1976"
"17","Brazil","","MF","GER","VfL Wolfsbu","FALSE","7/19/1979"
"18","Brazil","Ramires","MF","POR","S.L. Benfica","FALSE","3/24/1987"
"19","Brazil","JÃºlio Baptista","MF","ITA","A.S. Roma","FALSE","10/1/1981"
"20","Brazil","","MF","BRA","Clube de Regatas do Flamengo","FALSE","6/19/1979"
"21","Brazil","Nilmar","FW","ESP","Villarreal CF","FALSE","7/14/1984"
"22","Brazil","","GK","ITA","A.S. Roma","FALSE","10/22/1979"
"23","Brazil","Grafite","FW","GER","VfL Wolfsbu","FALSE","4/2/1979"
"1","Korea DPR","Ri Myong-Guk","GK","PRK","Pyongyang City Sports Club","FALSE","9/9/1986"
"2","Korea DPR","Cha Jong-Hyok","DF","PRK","Amrokgang Sports Club","FALSE","9/25/1985"
"3","Korea DPR","Ri Jun-Il","DF","PRK","Sobaeksu Sports Club","FALSE","8/24/1987"
"4","Korea DPR","Pak Nam-Chol (footballer born 1985)","MF","PRK","April 25 Sports Club","FALSE","7/2/1985"
"5","Korea DPR","Ri Kwang-Chon","DF","PRK","April 25 Sports Club","FALSE","9/4/1985"
"6","Korea DPR","Kim Kum-Il","MF","PRK","April 25 Sports Club","FALSE","10/10/1987"
"7","Korea DPR","An Chol-Hyok","FW","PRK","Rimyongsu Sports Club","FALSE","6/27/1985"
"8","Korea DPR","Ji Yun-Nam","DF","PRK","April 25 Sports Club","FALSE","11/20/1976"
