" Shirt Name"," Date of Birth"," Last Name"," First Name"," FIFA Display Name","Country"," Height"," #"," Position"," Club"," Club Country"
" TOMASSON"," 29 Aug 1976"," TOMASSON"," Jon Dahl"," Jon Dahl TOMASSON","Denmark"," 182"," 9"," Forward"," Feyenoord"," NED"
" JØRGENSEN"," 06 Oct 1976"," JORGENSEN"," Lars Martin"," Martin JORGENSEN","Denmark"," 180"," 10"," Midfielder"," AGF Aarhus"," DEN"
" BENDTNER"," 16 Jan 1988"," BENDTNER"," Nicklas"," Nicklas BENDTNER","Denmark"," 194"," 11"," Forward"," Arsenal"," ENG"
" KAHLENBERG"," 20 Mar 1983"," KAHLENBERG"," Thomas"," Thomas KAHLENBERG","Denmark"," 185"," 12"," Midfielder"," Wolfsburg"," GER"
" KRØLDRUP"," 31 Jul 1979"," KROLDRUP"," Per Billeskov"," Per KROLDRUP","Denmark"," 194"," 13"," Defender"," Fiorentina"," ITA"
" J. POULSEN"," 07 Jul 1983"," POULSEN"," Jakob Bendix Uhd"," Jakob POULSEN","Denmark"," 185"," 14"," Midfielder"," AGF Aarhus"," DEN"
" S.B. POULSEN"," 07 Apr 1984"," BUSK POULSEN"," Simon"," Simon POULSEN","Denmark"," 187"," 15"," Defender"," AZ Alkmaar"," NED"
" ANDERSEN"," 26 Nov 1981"," ANDERSEN"," Stephan Maigaard"," Stephan ANDERSEN","Denmark"," 188"," 16"," Goalkeeper"," Brondby"," DEN"
" BECKMANN"," 24 Oct 1983"," BECKMANN"," Mikkel"," Mikkel BECKMANN","Denmark"," 178"," 17"," Forward"," Randers"," DEN"
" LARSEN"," 06 Sep 1981"," LARSEN"," Soren"," Soren LARSEN","Denmark"," 194"," 18"," Forward"," MSV Duisburg"," GER"
" ROMMEDAHL"," 22 Jul 1978"," ROMMEDAHL"," Dennis"," Dennis ROMMEDAHL","Denmark"," 178"," 19"," Forward"," Ajax"," NED"
" ENEVOLDSEN"," 27 Jul 1987"," ENEVOLDSEN"," Thomas"," Thomas ENEVOLDSEN","Denmark"," 182"," 20"," Midfielder"," Groningen"," NED"
" ERIKSEN"," 14 Feb 1992"," ERIKSEN"," Christian Dannemann"," Christian ERIKSEN","Denmark"," 181"," 21"," Midfielder"," Ajax"," NED"
" CHRISTIANSEN"," 24 Apr 1978"," RINGSBORG CHRISTIANSEN"," Jesper"," Jesper CHRISTIANSEN","Denmark"," 192"," 22"," Goalkeeper"," Copenhagen"," DEN"
" MTILIGA"," 28 Jan 1981"," MTILIGA"," Patrick Jan"," Patrick MTILIGA","Denmark"," 170"," 23"," Defender"," Malaga"," ESP"
" JAMES"," 01 Aug 1970"," JAMES"," David Benjamin"," David JAMES","England"," 196"," 1"," Goalkeeper"," Portsmouth"," ENG"
" JOHNSON"," 23 Aug 1984"," JOHNSON"," Glen"," Glen JOHNSON","England"," 178"," 2"," Defender"," Liverpool"," ENG"
" A COLE"," 20 Dec 1980"," COLE"," Ashley"," Ashley COLE","England"," 173"," 3"," Defender"," Chelsea"," ENG"
" GERRARD"," 30 May 1980"," GERRARD"," Steven George"," Steven GERRARD","England"," 185"," 4"," Midfielder"," Liverpool"," ENG"
" FERDINAND"," 07 Nov 1978"," FERDINAND"," Rio Gavin"," Rio FERDINAND","England"," 188"," 5"," Defender"," Manchester Utd."," ENG"
" TERRY"," 07 Dec 1980"," TERRY"," John George"," John TERRY","England"," 188"," 6"," Defender"," Chelsea"," ENG"
" LENNON"," 16 Apr 1987"," LENNON"," Aaron"," Aaron LENNON","England"," 165"," 7"," Midfielder"," Tottenham Hotspur"," ENG"
" LAMPARD"," 20 Jun 1978"," LAMPARD"," Frank James"," Frank LAMPARD","England"," 183"," 8"," Midfielder"," Chelsea"," ENG"
" CROUCH"," 30 Jan 1981"," CROUCH"," Peter James"," Peter CROUCH","England"," 201"," 9"," Forward"," Tottenham Hotspur"," ENG"
" ROONEY"," 24 Oct 1985"," ROONEY"," Wayne Mark"," Wayne ROONEY","England"," 178"," 10"," Forward"," Manchester Utd."," ENG"
" J COLE"," 08 Nov 1981"," COLE"," Joseph John"," Joe COLE","England"," 175"," 11"," Midfielder"," Chelsea"," ENG"
" GREEN"," 18 Jan 1980"," GREEN"," Robert Paul"," Robert GREEN","England"," 187"," 12"," Goalkeeper"," West Ham Utd."," ENG"
" WARNOCK"," 12 Dec 1981"," WARNOCK"," Stephen"," Stephen WARNOCK","England"," 175"," 13"," Defender"," Aston Villa"," ENG"
" BARRY"," 23 Feb 1981"," BARRY"," Gareth"," Gareth BARRY","England"," 180"," 14"," Midfielder"," Manchester City"," ENG"
" UPSON"," 18 Apr 1979"," UPSON"," Matthew"," Matt UPSON","England"," 185"," 15"," Defender"," West Ham Utd."," ENG"
" MILNER"," 04 Jan 1986"," MILNER"," James"," James MILNER","England"," 170"," 16"," Midfielder"," Aston Villa"," ENG"
" WRIGHT-PHILLIPS"," 25 Oct 1981"," WRIGHT-PHILLIPS"," Shaun Cameron"," Shaun WRIGHT-PHILLIPS","England"," 168"," 17"," Midfielder"," Manchester City"," ENG"
" CARRAGHER"," 28 Jan 1978"," CARRAGHER"," James Lee"," Jamie CARRAGHER","England"," 185"," 18"," Defender"," Liverpool"," ENG"
" DEFOE"," 07 Oct 1982"," DEFOE"," Jermain Colin"," Jermain DEFOE","England"," 170"," 19"," Forward"," Tottenham Hotspur"," ENG"
" KING"," 12 Oct 1980"," KING"," Ledley Brenton"," Ledley KING","England"," 188"," 20"," Defender"," Tottenham Hotspur"," ENG"
" HESKEY"," 11 Jan 1978"," HESKEY"," Emile William Ivanhoe"," Emile HESKEY","England"," 188"," 21"," Forward"," Aston Villa"," ENG"
" CARRICK"," 28 Jul 1981"," CARRICK"," Michael"," Michael CARRICK","England"," 183"," 22"," Midfielder"," Manchester Utd."," ENG"
" HART"," 19 Apr 1987"," HART"," Joe"," Joe HART","England"," 191"," 23"," Goalkeeper"," Birmingham City"," ENG"
" LLORIS"," 26 Dec 1986"," LLORIS"," Hugo"," Hugo LLORIS","France"," 188"," 1"," Goalkeeper"," Lyon"," FRA"
" SAGNA"," 14 Feb 1983"," SAGNA"," Bakari"," Bakari SAGNA","France"," 175"," 2"," Defender"," Arsenal"," ENG"
" ABIDAL"," 11 Sep 1979"," ABIDAL"," Eric Sylvain"," Eric ABIDAL","France"," 180"," 3"," Defender"," Barcelona"," ESP"
" REVEILLERE"," 10 Nov 1979"," REVEILLERE"," Anthony"," Anthony REVEILLERE","France"," 181"," 4"," Defender"," Lyon"," FRA"
" GALLAS"," 17 Aug 1977"," GALLAS"," William Eric"," William GALLAS","France"," 181"," 5"," Defender"," Arsenal"," ENG"
" PLANUS"," 07 Mar 1982"," PLANUS"," Marc"," Marc PLANUS","France"," 183"," 6"," Defender"," Bordeaux"," FRA"
" RIBERY"," 07 Apr 1983"," RIBÉRY"," Franck"," Franck RIBERY","France"," 175"," 7"," Forward"," Bayern Munich"," GER"
" GOURCUFF"," 11 Jul 1986"," GOURCUFF"," Yoann Miguel"," Yoann GOURCUFF","France"," 185"," 8"," Midfielder"," Bordeaux"," FRA"
" CISSE"," 12 Aug 1981"," CISSE"," Djibril"," Djibril CISSE","France"," 182"," 9"," Forward"," Panathinaikos"," GRE"
" GOVOU"," 27 Jul 1979"," GOVOU"," Sidney Rodrigue Noukpo"," Sidney GOVOU","France"," 175"," 10"," Forward"," Lyon"," FRA"
" GIGNAC"," 05 Dec 1985"," GIGNAC"," André Pierre"," Andre Pierre GIGNAC","France"," 187"," 11"," Forward"," Toulouse"," FRA"
" HENRY"," 17 Aug 1977"," HENRY"," Thierry Daniel"," Thierry HENRY","France"," 188"," 12"," Forward"," Barcelona"," ESP"
" EVRA"," 15 May 1981"," EVRA"," Patrice Latyr"," Patrice EVRA","France"," 171"," 13"," Defender"," Manchester Utd."," ENG"
" TOULALAN"," 10 Sep 1983"," TOULALAN"," Jeremy"," Jeremy TOULALAN","France"," 183"," 14"," Midfielder"," Lyon"," FRA"
" MALOUDA"," 13 Jun 1980"," MALOUDA"," Florent"," Florent MALOUDA","France"," 184"," 15"," Midfielder"," Chelsea"," ENG"
" MANDANDA"," 28 Mar 1985"," MANDANDA"," Steve"," Steve MANDANDA","France"," 185"," 16"," Goalkeeper"," Marseille"," FRA"
" SQUILLACI"," 11 Aug 1980"," SQUILLACI"," Sébastien"," Sebastien SQUILLACI","France"," 184"," 17"," Defender"," Sevilla FC"," ESP"
" A. DIARRA"," 15 Jul 1981"," DIARRA"," Alou"," Alou DIARRA","France"," 190"," 18"," Midfielder"," Bordeaux"," FRA"
" DIABY"," 11 May 1986"," DIABY"," Abou"," Abou DIABY","France"," 188"," 19"," Midfielder"," Arsenal"," ENG"
" VALBUENA"," 28 Sep 1984"," VALBUENA"," Mathieu"," Mathieu VALBUENA","France"," 167"," 20"," Forward"," Marseille"," FRA"
" ANELKA"," 14 Mar 1979"," ANELKA"," Nicolas Sebastien"," Nicolas ANELKA","France"," 185"," 21"," Forward"," Chelsea"," ENG"
" CLICHY"," 26 Jul 1985"," CLICHY"," Gael"," Gael CLICHY","France"," 181"," 22"," Defender"," Arsenal"," ENG"
" CARRASSO"," 30 Dec 1981"," CARRASSO"," Cedric"," Cedric CARRASSO","France"," 187"," 23"," Goalkeeper"," Bordeaux"," FRA"
" NEUER"," 27 Mar 1986"," NEUER"," Manuel"," Manuel NEUER","Germany"," 190"," 1"," Goalkeeper"," Schalke 04"," GER"
" JANSEN"," 04 Nov 1985"," JANSEN"," Marcell"," Marcell JANSEN","Germany"," 190"," 2"," Midfielder"," Hamburger SV"," GER"
" FRIEDRICH"," 29 May 1979"," FRIEDRICH"," Arne"," Arne FRIEDRICH","Germany"," 185"," 3"," Defender"," Hertha Berlin"," GER"
" AOGO"," 14 Jan 1987"," AOGO"," Dennis"," Dennis AOGO","Germany"," 184"," 4"," Defender"," Hamburger SV"," GER"
" TASCI"," 24 Apr 1987"," TASCI"," Serdar"," Serdar TASCI","Germany"," 186"," 5"," Defender"," VfB Stuttgart"," GER"
" KHEDIRA"," 04 Apr 1987"," KHEDIRA"," Sami"," Sami KHEDIRA","Germany"," 189"," 6"," Midfielder"," VfB Stuttgart"," GER"
" SCHWEINSTEIGER"," 01 Aug 1984"," SCHWEINSTEIGER"," Bastian"," Bastian SCHWEINSTEIGER","Germany"," 180"," 7"," Midfielder"," Bayern Munich"," GER"
" ÖZIL"," 15 Oct 1988"," ÖZIL"," Mesut"," Mesut OEZIL","Germany"," 182"," 8"," Midfielder"," Werder Bremen"," GER"
" KIESSLING"," 25 Jan 1984"," KIESSLING"," Stefan"," Stefan KIESSLING","Germany"," 191"," 9"," Forward"," Bayer Leverkusen"," GER"
" PODOLSKI"," 04 Jun 1985"," PODOLSKI"," Lukas Josef"," Lukas PODOLSKI","Germany"," 180"," 10"," Forward"," FC Cologne"," GER"
" KLOSE"," 09 Jun 1978"," KLOSE"," Miroslaw Josef"," Miroslav KLOSE","Germany"," 182"," 11"," Forward"," Bayern Munich"," GER"
" WIESE"," 17 Dec 1981"," WIESE"," Tim"," Tim WIESE","Germany"," 193"," 12"," Goalkeeper"," Werder Bremen"," GER"
" MÜLLER"," 13 Sep 1989"," MÜLLER"," Thomas"," Thomas MUELLER","Germany"," 186"," 13"," Midfielder"," Bayern Munich"," GER"
" BADSTUBER"," 13 Mar 1989"," BADSTUBER"," Holger"," Holger BADSTUBER","Germany"," 190"," 14"," Defender"," Bayern Munich"," GER"
" TROCHOWSKI"," 22 Mar 1984"," TROCHOWSKI"," Piotr Artur"," Piotr TROCHOWSKI","Germany"," 168"," 15"," Midfielder"," Hamburger SV"," GER"
" LAHM"," 11 Nov 1983"," LAHM"," Philipp"," Philipp LAHM","Germany"," 170"," 16"," Defender"," Bayern Munich"," GER"
" MERTESACKER"," 29 Sep 1984"," MERTESACKER"," Per"," Per MERTESACKER","Germany"," 196"," 17"," Defender"," Werder Bremen"," GER"
" KROOS"," 04 Jan 1990"," KROOS"," Toni"," Toni KROOS","Germany"," 180"," 18"," Midfielder"," Bayer Leverkusen"," GER"
" CACAU"," 27 Mar 1981"," BARRETO"," Claudemir Jeronimo"," CACAU","Germany"," 180"," 19"," Forward"," VfB Stuttgart"," GER"
" BOATENG"," 03 Sep 1988"," BOATENG"," Jerome"," Jerome BOATENG","Germany"," 192"," 20"," Defender"," Hamburger SV"," GER"
" MARIN"," 13 Mar 1989"," MARIN"," Marko"," Marko MARIN","Germany"," 169"," 21"," Midfielder"," Werder Bremen"," GER"
" BUTT"," 28 May 1974"," BUTT"," Hans Jörg"," Hans Joerg BUTT","Germany"," 191"," 22"," Goalkeeper"," Bayern Munich"," GER"
" GOMEZ"," 10 Jul 1985"," GOMEZ GARCIA"," Mario"," Mario GOMEZ","Germany"," 189"," 23"," Forward"," Bayern Munich"," GER"
" AGYEI"," 10 Nov 1989"," AGYEI"," Daniel"," Daniel AGYEI","Ghana"," 186"," 1"," Goalkeeper"," Liberty"," GHA"
" SARPEI"," 28 Jun 1976"," SARPEI"," Hans Adu"," Hans SARPEI","Ghana"," 178"," 2"," Defender"," Bayer Leverkusen"," GER"
" A. GYAN"," 22 Nov 1985"," GYAN"," Asamoah"," Asamoah GYAN","Ghana"," 186"," 3"," Forward"," Rennes"," FRA"
" PANTSIL"," 15 Jun 1981"," PANTSIL"," John"," John PANTSIL","Ghana"," 178"," 4"," Defender"," Fulham"," ENG"
" MENSAH"," 29 Nov 1982"," MENSAH"," John"," John MENSAH","Ghana"," 177"," 5"," Defender"," Sunderland"," ENG"
" ANNAN"," 21 Jul 1986"," ANNAN"," Anthony"," Anthony ANNAN","Ghana"," 171"," 6"," Midfielder"," Rosenborg"," NOR"
" INKOOM"," 01 Jun 1989"," INKOOM"," Samuel"," Samuel INKOOM","Ghana"," 179"," 7"," Defender"," Basel"," SUI"
" JONATHAN"," 13 Jul 1990"," MENSAH"," Jonathan"," Jonathan MENSAH","Ghana"," 182"," 8"," Defender"," Free State Stars"," RSA"
" D. BOATENG"," 02 May 1983"," BOATENG"," Derek Owusu"," Derek BOATENG","Ghana"," 185"," 9"," Midfielder"," Getafe"," ESP"
" S. APPIAH"," 24 Dec 1980"," APPIAH"," Stephen"," Stephen APPIAH","Ghana"," 178"," 10"," Midfielder"," Bologna"," ITA"
" MUNTARI"," 27 Aug 1984"," MUNTARI"," Sulley Ali"," Sulley MUNTARI","Ghana"," 180"," 11"," Midfielder"," Inter"," ITA"
" TAGOE"," 09 Nov 1986"," TAGOE"," Prince"," Prince TAGOE","Ghana"," 179"," 12"," Forward"," Hoffenheim"," GER"
" A. AYEW"," 17 Dec 1989"," AYEW"," Andre Morgan Rami"," Andre AYEW","Ghana"," 175"," 13"," Midfielder"," Arles"," FRA"
" AMOAH"," 24 Oct 1980"," AMOAH"," Matthew"," Matthew AMOAH","Ghana"," 175"," 14"," Forward"," NAC Breda"," NED"
" VORSAH"," 21 Jun 1988"," VORSAH"," Isaac"," Isaac VORSAH","Ghana"," 180"," 15"," Defender"," Hoffenheim"," GER"
" AHORLU"," 05 Sep 1988"," AHORLU"," Stephen"," Stephen AHORLU","Ghana"," 179"," 16"," Goalkeeper"," Heart of Lions"," GHA"
" I. AYEW"," 16 Apr 1988"," AYEW"," Ibrahim"," Ibrahim AYEW","Ghana"," 176"," 17"," Defender"," Zamalek"," EGY"
" ADIYIAH"," 29 Nov 1989"," ADIYIAH"," Dominic"," Dominic ADIYIAH","Ghana"," 170"," 18"," Forward"," AC Milan"," ITA"
" ADDY"," 26 Sep 1985"," ADDY"," Lee"," Lee ADDY","Ghana"," 178"," 19"," Defender"," Bechem Chelsea"," GHA"
" OWUSU ABEYIE"," 15 Apr 1986"," OWUSU-ABEYIE"," Quincy Jamie"," Quincy OWUSU-ABEYIE","Ghana"," 180"," 20"," Forward"," Al Sadd"," QAT"
" K. ASAMOAH"," 09 Dec 1988"," ASAMOAH"," Kwadwo"," Kwadwo ASAMOAH","Ghana"," 168"," 21"," Midfielder"," Udinese"," ITA"
" KINGSON"," 13 Jun 1978"," KINGSON"," Richard"," Richard KINGSON","Ghana"," 182"," 22"," Goalkeeper"," Wigan"," ENG"
" PRINCE"," 06 Mar 1987"," BOATENG"," Kevin Prince"," Kevin Prince BOATENG","Ghana"," 182"," 23"," Forward"," Portsmouth"," ENG"
" CHALKIAS"," 30 May 1974"," CHALKIAS"," Konstantinos"," Konstantinos CHALKIAS","Greece"," 198"," 1"," Goalkeeper"," PAOK"," GRE"
" GIOURKAS"," 04 Jun 1981"," SEITARIDIS"," Georgios"," Giourkas SEITARIDIS","Greece"," 185"," 2"," Defender"," Panathinaikos"," GRE"
" PATSA"," 19 Mar 1979"," PATSATZOGLOU"," Christos"," Christos PATSATZOGLOU","Greece"," 183"," 3"," Defender"," Omonia"," CYP"
" SPYROPOULOS"," 10 Oct 1983"," SPYROPOULOS"," Nikolaos"," Nikos SPIROPOULOS","Greece"," 171"," 4"," Defender"," Panathinaikos"," GRE"
" MORAS"," 26 Aug 1981"," MORAS"," Evangelos"," Vangelis MORAS","Greece"," 193"," 5"," Defender"," Bologna"," ITA"
" TZIOLIS"," 13 Feb 1985"," TZIOLIS"," Alexandros"," Alexandros TZIOLIS","Greece"," 190"," 6"," Midfielder"," Siena"," ITA"
" SAMARAS"," 21 Feb 1985"," SAMARAS"," Georgios"," Georgios SAMARAS","Greece"," 192"," 7"," Forward"," Celtic"," SCO"
" PAPADOPOULOS"," 03 Dec 1984"," PAPADOPOULOS"," Avraam"," Avraam PAPADOPOULOS","Greece"," 186"," 8"," Defender"," Olympiacos"," GRE"
" CHARISTEAS"," 09 Feb 1980"," CHARISTEAS"," Angelos"," Angelos CHARISTEAS","Greece"," 191"," 9"," Forward"," Nuremberg"," GER"
" KARAGOUNIS"," 06 Mar 1977"," KARAGKOUNIS"," Georgios"," Georgios KARAGOUNIS","Greece"," 176"," 10"," Midfielder"," Panathinaikos"," GRE"
" VYNTRA"," 05 Feb 1981"," VYNTRA"," Loukas"," Loukas VYNTRA","Greece"," 184"," 11"," Defender"," Panathinaikos"," GRE"
" TZORVAS"," 12 Aug 1982"," TZORVAS"," Alexandros"," Alexandros TZORVAS","Greece"," 190"," 12"," Goalkeeper"," Panathinaikos"," GRE"
" SIFAKIS"," 09 Sep 1984"," SIFAKIS"," Michail"," Michail SIFAKIS","Greece"," 186"," 13"," Goalkeeper"," Aris Thessaloniki"," GRE"
" SALPINGIDIS"," 18 Aug 1981"," SALPINGIDIS"," Dimitrios"," Dimitrios SALPINGIDIS","Greece"," 171"," 14"," Forward"," Panathinaikos"," GRE"
" TOROSIDIS"," 10 Jun 1985"," TOROSIDIS"," Vasileios"," Vasileios TOROSIDIS","Greece"," 185"," 15"," Defender"," Olympiacos"," GRE"
" KYRGIAKOS"," 23 Jul 1979"," KYRGIAKOS"," Sotirios"," Sotirios KYRGIAKOS","Greece"," 192"," 16"," Defender"," Liverpool"," ENG"
" GEKAS"," 23 May 1980"," GKEKAS"," Theofanis"," Theofanis GEKAS","Greece"," 179"," 17"," Forward"," Hertha Berlin"," GER"
" NINIS"," 03 Apr 1990"," NINIS"," Sotiris"," Sotiris NINIS","Greece"," 173"," 18"," Midfielder"," Panathinaikos"," GRE"
" SOKRATIS"," 09 Jun 1988"," PAPASTATHOPOULOS"," Sokratis"," Sokratis PAPASTATHOPOULOS","Greece"," 186"," 19"," Defender"," Genoa"," ITA"
" KAPETANOS"," 08 Jun 1983"," KAPETANOS"," Pantelis"," Pantelis KAPETANOS","Greece"," 190"," 20"," Forward"," Steaua"," ROU"
" KATSOURANIS"," 21 Jun 1979"," KATSOURANIS"," Konstantinos"," Konstantinos KATSOURANIS","Greece"," 183"," 21"," Midfielder"," Panathinaikos"," GRE"
" MALEZAS"," 11 Mar 1985"," MALEZAS"," Stylianos"," Stelios MALEZAS","Greece"," 192"," 22"," Defender"," PAOK"," GRE"
" PRITTAS"," 09 Jan 1979"," PRITTAS"," Athanasios"," Athanasios PRITTAS","Greece"," 185"," 23"," Midfielder"," Aris Thessaloniki"," GRE"
" CANALES"," 30 May 1982"," CANALES LANZA"," Ricardo Gabriel"," Ricardo CANALES","Honduras"," 180"," 1"," Goalkeeper"," Motagua"," HON"
" CHAVEZ"," 29 Jul 1984"," CHAVEZ GUITY"," Osman Danilo"," Osman CHAVEZ","Honduras"," 187"," 2"," Defender"," Platense"," HON"
" FIGUEROA"," 02 May 1983"," FIGUEROA ROCHEZ"," Maynor Alexis"," Maynor FIGUEROA","Honduras"," 182"," 3"," Defender"," Wigan"," ENG"
" J. PALACIOS"," 20 Dec 1986"," PALACIOS CACHO"," Jhony Eulogio"," Jhony PALACIOS","Honduras"," 182"," 4"," Defender"," Olimpia Tegucigalpa"," HON"
" BERNARDEZ"," 24 May 1982"," BERNARDEZ BLANCO"," Victor Salvador"," Victor BERNARDEZ","Honduras"," 187"," 5"," Defender"," Anderlecht"," BEL"
" THOMAS"," 23 Feb 1985"," THOMAS SUAZO"," Hendry Bernardo"," Hendry THOMAS","Honduras"," 180"," 6"," Midfielder"," Wigan"," ENG"
" NUÑEZ"," 14 Nov 1985"," NUNEZ"," Ramon Fernando"," Ramon NUNEZ","Honduras"," 169"," 7"," Midfielder"," Olimpia Tegucigalpa"," HON"
" W. PALACIOS"," 29 Jul 1984"," PALACIOS SUAZO"," Wilson Roberto"," Wilson PALACIOS","Honduras"," 176"," 8"," Midfielder"," Tottenham Hotspur"," ENG"
" PAVON"," 09 Oct 1973"," PLUMMER PAVON"," Carlos Alberto"," Carlos PAVON","Honduras"," 180"," 9"," Forward"," Real Espana"," HON"
" LEON"," 13 Sep 1979"," DE LEON DAILEY"," Julio Cesar"," Julio Cesar DE LEON","Honduras"," 170"," 10"," Midfielder"," Torino"," ITA"
" SUAZO"," 05 Nov 1979"," SUAZO VELASQUEZ"," Oscar David"," David SUAZO","Honduras"," 183"," 11"," Forward"," Genoa"," ITA"
" WELCOME"," 09 Mar 1985"," WELCOME COLLINS"," George Wilson"," George WELCOME","Honduras"," 192"," 12"," Forward"," Motagua"," HON"
" ESPINOZA"," 25 Oct 1986"," ESPINOZA RAMIREZ"," Roger Anibal"," Roger ESPINOZA","Honduras"," 178"," 13"," Forward"," Kansas City Wizards"," USA"
" GARCIA"," 04 Sep 1984"," GARCIA RAMIREZ"," Oscar Boniek"," Oscar GARCIA","Honduras"," 176"," 14"," Defender"," Olimpia Tegucigalpa"," HON"
" MARTINEZ"," 24 Mar 1982"," MARTINEZ RAMOS"," Walter Julian"," Walter MARTINEZ","Honduras"," 166"," 15"," Forward"," Marathon"," HON"
" SABILLON"," 11 Nov 1978"," SABILLON PEÑA"," Mauricio Alberto"," Mauricio SABILLON","Honduras"," 180"," 16"," Defender"," Hangzhou Greentown"," CHN"
" ALVAREZ"," 18 Jan 1980"," ALVAREZ REYES"," Edgar Anthony"," Edgar ALVAREZ","Honduras"," 170"," 17"," Midfielder"," Bari"," ITA"
" VALLADARES"," 03 May 1977"," VALLADARES BONILLA"," Noel Eduardo"," Noel VALLADARES","Honduras"," 179"," 18"," Goalkeeper"," Olimpia Tegucigalpa"," HON"
" TURCIOS"," 08 May 1978"," TURCIOS FUNEZ"," Elvis Danilo"," Danilo TURCIOS","Honduras"," 166"," 19"," Midfielder"," Olimpia Tegucigalpa"," HON"
" GUEVARRA"," 02 May 1976"," GUEVARA"," Amado"," Amado GUEVARA","Honduras"," 176"," 20"," Midfielder"," Motagua"," HON"
" IZAGUIRRE"," 10 May 1986"," IZAGUIRRE GIRON"," Emilio Arturo"," Emilio IZAGUIRRE","Honduras"," 178"," 21"," Defender"," Motagua"," HON"
" ESCOBER"," 03 Feb 1981"," ESCOBER IZAGUIRRE"," Donis Salatiel"," Donis ESCOBER","Honduras"," 180"," 22"," Goalkeeper"," Olimpia Tegucigalpa"," HON"
" MENDOZA"," 23 May 1981"," MENDOZA ESCOBAR"," Sergio Giovany"," Sergio MENDOZA","Honduras"," 177"," 23"," Defender"," Motagua"," HON"
" BUFFON"," 28 Jan 1978"," BUFFON"," Gianluigi"," Gianluigi BUFFON","Italy"," 190"," 1"," Goalkeeper"," Juventus"," ITA"
" MAGGIO"," 11 Feb 1982"," MAGGIO"," Christian"," Christian MAGGIO","Italy"," 184"," 2"," Defender"," Napoli"," ITA"
" CRISCITO"," 30 Dec 1986"," CRISCITO"," Domenico"," Domenico CRISCITO","Italy"," 175"," 3"," Defender"," Genoa"," ITA"
" CHIELLINI"," 14 Aug 1984"," CHIELLINI"," Giorgio"," Giorgio CHIELLINI","Italy"," 192"," 4"," Defender"," Juventus"," ITA"
" CANNAVARO"," 13 Sep 1973"," CANNAVARO"," Fabio"," Fabio CANNAVARO","Italy"," 175"," 5"," Defender"," Juventus"," ITA"
" DE ROSSI"," 24 Jul 1983"," DE ROSSI"," Daniele"," Daniele DE ROSSI","Italy"," 182"," 6"," Midfielder"," AS Roma"," ITA"
" PEPE"," 30 Aug 1983"," PEPE"," Simone"," Simone PEPE","Italy"," 179"," 7"," Midfielder"," Udinese"," ITA"
" GATTUSO"," 09 Jan 1978"," GATTUSO"," Gennaro Ivan"," Gennaro GATTUSO","Italy"," 177"," 8"," Midfielder"," AC Milan"," ITA"
" IAQUINTA"," 21 Nov 1979"," IAQUINTA"," Vincenzo"," Vincenzo IAQUINTA","Italy"," 186"," 9"," Forward"," Juventus"," ITA"
" DI NATALE"," 13 Oct 1977"," DI NATALE"," Antonio"," Antonio DI NATALE","Italy"," 170"," 10"," Forward"," Udinese"," ITA"
" GILARDINO"," 05 Jul 1982"," GILARDINO"," Alberto"," Alberto GILARDINO","Italy"," 184"," 11"," Forward"," Fiorentina"," ITA"
" MARCHETTI"," 07 Feb 1983"," MARCHETTI"," Federico"," Federico MARCHETTI","Italy"," 188"," 12"," Goalkeeper"," Cagliari"," ITA"
" BOCCHETTI"," 30 Nov 1986"," BOCCHETTI"," Salvatore"," Salvatore BOCCHETTI","Italy"," 178"," 13"," Defender"," Genoa"," ITA"
" DE SANCTIS"," 26 Mar 1977"," DE SANCTIS"," Morgan"," Morgan DE SANCTIS","Italy"," 190"," 14"," Goalkeeper"," Napoli"," ITA"
" MARCHISIO"," 19 Jan 1986"," MARCHISIO"," Claudio"," Claudio MARCHISIO","Italy"," 179"," 15"," Midfielder"," Juventus"," ITA"
" CAMORANESI"," 04 Oct 1976"," CAMORANESI"," Mauro German"," Mauro CAMORANESI","Italy"," 174"," 16"," Midfielder"," Juventus"," ITA"
" PALOMBO"," 25 Sep 1981"," PALOMBO"," Angelo"," Angelo PALOMBO","Italy"," 177"," 17"," Midfielder"," Sampdoria"," ITA"
" QUAGLIARELLA"," 31 Jan 1983"," QUAGLIARELLA"," Fabio"," Fabio QUAGLIARELLA","Italy"," 180"," 18"," Forward"," Napoli"," ITA"
" ZAMBROTTA"," 19 Feb 1977"," ZAMBROTTA"," Gianluca"," Gianluca ZAMBROTTA","Italy"," 181"," 19"," Defender"," AC Milan"," ITA"
" PAZZINI"," 02 Aug 1984"," PAZZINI"," Giampaolo"," Giampaolo PAZZINI","Italy"," 180"," 20"," Forward"," Sampdoria"," ITA"
" PIRLO"," 19 May 1979"," PIRLO"," Andrea"," Andrea PIRLO","Italy"," 177"," 21"," Midfielder"," AC Milan"," ITA"
" MONTOLIVO"," 18 Jan 1985"," MONTOLIVO"," Riccardo"," Riccardo MONTOLIVO","Italy"," 181"," 22"," Midfielder"," Fiorentina"," ITA"
" BONUCCI"," 01 May 1987"," BONUCCI"," Leonardo"," Leonardo BONUCCI","Italy"," 190"," 23"," Defender"," Bari"," ITA"
" NARAZAKI"," 15 Apr 1976"," NARAZAKI"," Seigo"," Seigo NARAZAKI","Japan"," 187"," 1"," Goalkeeper"," Nagoya Grampus Eight"," JPN"
